1554149686,5081
P,1554149715,5078
P,1554149744,5080
P,1554149774,5081
P,1554149803,5078
P,1554149832,5080
P,1554149861,5078
P,1554149891,5082
P,1554149921,5080
P,1554149950,5078
P,1554149980,5080
P,1554150009,5079
P,1554150038,5079
P,1554150067,5079
P,1554150097,5079
P,1554150126,5082
P,1554150155,5080
P,1554150185,5079
P,1554150215,5079
P,1554150244,5080
P,1554150273,5080
P,1554150303,5079
P,1554150332,5079
P,1554150361,5078
P,1554150391,5080
P,1554150420,5077
P,1554150449,5079
P,1554150478,5080
P,1554150509,5078
P,1554150538,5078
P,1554150567,5079
P,1554150597,5078
P,1554150626,5079
P,1554150655,5077
P,1554150684,5078
P,1554150714,5079
P,1554150743,5079
P,1554150772,5078
P,1554150803,5080
P,1554150832,5078
P,1554150861,5080
P,1554150890,5077
P,1554150920,5077
P,1554150949,5078
P,1554150978,5080
P,1554151008,5078
P,1554151037,5079
P,1554151066,5077
P,1554151096,5077
P,1554151126,5078
P,1554151155,5078
P,1554151185,5080
P,1554151214,5079
P,1554151244,5076
P,1554151273,5076
P,1554151302,5078
P,1554151332,5079
P,1554151361,5076
P,1554151391,5078
P,1554151420,5078
P,1554151450,5078
P,1554151479,5078
P,1554151508,5078
P,1554151538,5078
P,1554151567,5078
P,1554151596,5076
P,1554151625,5077
P,1554151655,5076
P,1554151685,5077
P,1554151714,5075
P,1554151744,5078
P,1554151773,5078
P,1554151802,5078
P,1554151831,5078
P,1554151861,5078
P,1554151890,5075
P,1554151919,5077
P,1554151949,5078
P,1554151979,5077
P,1554152008,5075
P,1554152037,5076
P,1554152067,5076
P,1554152096,5075
P,1554152125,5078
P,1554152155,5076
P,1554152184,5076
P,1554152213,5077
P,1554152242,5077
P,1554152273,5077
P,1554152302,5075
P,1554152331,5075
P,1554152361,5077
P,1554152390,5077
P,1554152419,5078
P,1554152448,5075
P,1554152478,5077
P,1554152507,5075
P,1554152536,5076
P,1554152567,5074
P,1554152596,5075
P,1554152625,5077
P,1554152654,5076
P,1554152684,5076
P,1554152713,5073
P,1554152742,5076
P,1554152772,5077
P,1554152801,5077
P,1554152830,5074
P,1554152860,5074
P,1554152890,5074
P,1554152919,5076
P,1554152948,5077
P,1554152977,5076
P,1554153007,5076
P,1554153036,5076
P,1554153065,5074
P,1554153095,5074
P,1554153124,5077
P,1554153154,5075
P,1554153183,5075
P,1554153213,5076
P,1554153242,5075
P,1554153271,5075
P,1554153301,5074
P,1554153330,5074
P,1554153359,5075
P,1554153388,5076
P,1554153418,5075
P,1554153448,5075
P,1554153477,5076
P,1554153507,5075
P,1554153536,5075
P,1554153565,5073
P,1554153594,5074
P,1554153624,5072
P,1554153653,5074
P,1554153682,5075
P,1554153712,5073
P,1554153742,5074
P,1554153771,5075
P,1554153801,5074
P,1554153831,5074
P,1554153860,5073
P,1554153889,5075
P,1554153919,5074
P,1554153948,5073
P,1554153977,5075
P,1554154006,5074
P,1554154037,5074
P,1554154066,5075
P,1554154095,5074
P,1554154125,5076
P,1554154154,5074
P,1554154183,5076
P,1554154212,5076
P,1554154242,5071
P,1554154271,5072
P,1554154300,5073
P,1554154331,5072
P,1554154360,5074
P,1554154389,5073
P,1554154418,5075
P,1554154448,5074
P,1554154477,5074
P,1554154506,5073
P,1554154536,5073
P,1554154565,5073
P,1554154594,5075
P,1554154624,5072
P,1554154654,5072
P,1554154683,5075
P,1554154712,5074
P,1554154741,5070
P,1554154771,5074
P,1554154800,5074
P,1554154829,5073
P,1554154859,5075
P,1554154888,5074
P,1554154918,5075
P,1554154947,5074
P,1554154977,5073
P,1554155006,5075
P,1554155035,5072
P,1554155065,5073
P,1554155094,5073
P,1554155123,5074
P,1554155152,5073
P,1554155182,5074
P,1554155212,5072
P,1554155241,5074
P,1554155271,5073
P,1554155300,5072
P,1554155329,5072
P,1554155358,5074
P,1554155388,5072
P,1554155417,5070
P,1554155446,5072
P,1554155476,5072
P,1554155506,5071
P,1554155535,5073
P,1554155564,5072
P,1554155594,5071
P,1554155623,5072
P,1554155652,5072
P,1554155682,5071
P,1554155711,5071
P,1554155740,5073
P,1554155769,5072
P,1554155800,5072
P,1554155829,5070
P,1554155858,5072
P,1554155888,5072
P,1554155917,5073
P,1554155946,5070
P,1554155975,5074
P,1554156005,5073
P,1554156034,5071
P,1554156063,5072
P,1554156094,5072
P,1554156123,5072
P,1554156152,5072
P,1554156181,5070
P,1554156211,5072
P,1554156240,5070
P,1554156269,5070
P,1554156299,5070
P,1554156328,5071
P,1554156357,5071
P,1554156387,5071
P,1554156417,5072
P,1554156447,5072
P,1554156476,5071
P,1554156505,5070
P,1554156535,5070
P,1554156564,5071
P,1554156593,5071
P,1554156623,5068
P,1554156652,5070
P,1554156682,5070
P,1554156711,5070
P,1554156741,5072
P,1554156770,5070
