982223,732
T,1564952833,2962
U,1564952833,40821
X,1564952835,981754,1515
X,1564952835,981371,5165
X,1564952836,981856,747
X,1564952836,981714,607
X,1564952837,981960,672
X,1564952838,982055,234
X,1564952838,982185,368
X,1564952839,982273,747
X,1564952839,982210,374
X,1564952840,982260,208
X,1564952840,982265,913
X,1564952841,983421,12215
X,1564952842,982131,6205
X,1564952842,982320,771
X,1564952843,983110,11987
X,1564952843,982341,8893
X,1564952843,982459,1722
X,1564952843,982343,1731
X,1564952844,982415,425
X,1564952845,982342,553
X,1564952845,982426,15847
X,1564952846,982496,2918
X,1564952846,982481,12307
X,1564952847,982571,910
X,1564952847,982522,660
X,1564952848,982495,481
X,1564952848,982386,517
X,1564952849,982423,629
X,1564952850,982456,587
X,1564952850,982536,16280
X,1564952851,982595,1290
X,1564952851,982325,8446
X,1564952852,982400,2274
X,1564952852,982338,672
X,1564952853,982333,618
A,1564952853,982268,857
T,1564952853,2962
U,1564952853,40821
X,1564952855,982265,19031
X,1564952856,982412,3962
X,1564952856,982218,772
X,1564952857,982125,4115
X,1564952857,982482,1369
X,1564952858,982361,559
X,1564952858,982443,14195
X,1564952859,982341,1970
P,1564952859,5022
X,1564952860,982247,14447
X,1564952860,982235,11405
X,1564952861,982061,20815
X,1564952861,982248,2988
X,1564952862,982210,4952
X,1564952862,982284,947
X,1564952863,981492,13047
X,1564952864,982232,8428
X,1564952864,982915,6329
X,1564952865,982788,12381
X,1564952865,982569,7141
X,1564952866,982375,12422
X,1564952866,982551,4701
X,1564952867,982674,3437
X,1564952867,981648,8880
X,1564952868,982302,2375
X,1564952869,982432,11166
X,1564952869,982509,1913
X,1564952870,982367,16861
X,1564952870,982299,2825
X,1564952871,982238,5835
X,1564952871,982435,1397
X,1564952872,982406,1068
X,1564952873,982367,17510
X,1564952873,982375,2236
X,1564952874,982447,14439
X,1564952874,982468,816
X,1564952875,982471,13477
X,1564952875,982429,2818
X,1564952876,982122,6016
X,1564952877,982440,2058
X,1564952877,982410,687
X,1564952878,982389,18687
X,1564952878,982181,2920
X,1564952879,982441,10534
X,1564952879,982500,927
X,1564952880,982329,6493
X,1564952881,982526,3738
X,1564952881,982310,14469
X,1564952882,981786,4020
X,1564952882,982191,4619
X,1564952883,982271,903
X,1564952883,982251,338
X,1564952884,982191,16958
X,1564952884,982188,2209
X,1564952884,982190,7847
X,1564952885,982348,866
X,1564952885,982293,754
X,1564952886,982302,15283
X,1564952886,982367,1117
X,1564952887,982259,4838
X,1564952887,982232,1139
X,1564952888,982971,4603
P,1564952889,5022
X,1564952889,982391,5199
X,1564952889,981969,3899
X,1564952890,982328,3756
X,1564952890,982269,875
X,1564952891,982184,912
X,1564952891,982388,22319
X,1564952892,982236,1565
X,1564952893,982062,12347
X,1564952893,982595,4490
X,1564952894,976317,29222
X,1564952894,984668,59783
X,1564952895,983223,50801
X,1564952895,996084,57484
X,1564952896,1016445,35112
X,1564952897,988149,53664
X,1564952897,1193264,21010
X,1564952898,1098615,52650
X,1564952898,1129318,10427
X,1564952899,1139548,23073
X,1564952899,1168593,16137
X,1564952900,900956,45771
X,1564952901,925238,44163
X,1564952901,947123,59653
X,1564952902,959362,59954
X,1564952902,958902,46346
X,1564952903,964430,41893
X,1564952903,960139,21073
X,1564952904,960026,3299
X,1564952905,961055,8846
X,1564952905,963092,5415
X,1564952906,962460,5449
X,1564952906,961542,20916
X,1564952907,963981,55532
X,1564952907,957284,22178
X,1564952908,961836,8771
X,1564952908,962368,50942
X,1564952909,961514,6320
X,1564952910,957716,16103
X,1564952910,958876,7014
X,1564952911,960113,16436
X,1564952911,962472,17185
