H,1564526588,700040
X,1564526588,967545,983
X,1564526589,967368,1493
X,1564526589,967586,1516
X,1564526590,967598,27683
X,1564526590,967682,1584
X,1564526591,967704,13370
X,1564526591,968060,1932
X,1564526592,967891,2422
P,1564526592,5054
X,1564526593,967808,1499
X,1564526593,967884,733
X,1564526594,967741,887
X,1564526594,967860,731
X,1564526595,967858,817
X,1564526595,967797,1579
X,1564526595,967806,22955
X,1564526596,967676,3065
X,1564526596,967689,2102
X,1564526597,967656,10186
X,1564526597,967806,1247
X,1564526598,967535,734
X,1564526598,967563,14676
X,1564526599,967360,1494
X,1564526600,967287,17433
X,1564526600,967388,1183
X,1564526601,967379,1262
X,1564526601,967332,1083
X,1564526602,967602,1451
X,1564526602,967400,1298
X,1564526603,967676,1264
X,1564526603,967659,25411
X,1564526604,967455,1397
X,1564526605,966753,5520
X,1564526605,967730,7949
X,1564526606,967354,1003
X,1564526606,967402,1297
X,1564526607,967523,1135
X,1564526607,967494,804
X,1564526608,967289,1808
X,1564526609,967350,20114
X,1564526609,967218,1206
X,1564526610,967240,4806
X,1564526610,968157,11096
X,1564526611,967423,1659
X,1564526611,967429,1592
X,1564526612,967411,1578
X,1564526613,967422,1073
X,1564526613,967313,17559
X,1564526614,967548,2699
X,1564526614,967463,16093
X,1564526615,967830,1159
X,1564526615,967445,1319
X,1564526616,967372,961
X,1564526617,967581,1016
X,1564526617,967568,998
X,1564526618,967420,993
X,1564526618,967739,28839
X,1564526619,967465,2306
X,1564526619,966786,4590
X,1564526620,967587,8636
X,1564526621,967273,1642
X,1564526621,967206,548
P,1564526621,5053
X,1564526622,967134,20769
X,1564526622,967160,2505
X,1564526623,968022,8761
X,1564526623,967524,1143
X,1564526624,967489,790
X,1564526624,967321,731
X,1564526625,967198,1652
X,1564526626,967255,1114
X,1564526626,967129,23899
X,1564526627,967248,3255
X,1564526627,966646,7224
X,1564526628,967582,6439
X,1564526628,967424,13787
X,1564526629,967709,4655
X,1564526630,967142,13015
X,1564526630,967817,5237
X,1564526631,967478,2994
X,1564526631,967567,743
X,1564526632,967533,862
X,1564526632,967587,777
X,1564526633,967628,592
X,1564526634,969439,17439
X,1564526634,966858,6717
X,1564526635,967377,1929
X,1564526635,967368,11440
X,1564526636,967498,1325
X,1564526636,967518,941
X,1564526636,967462,1109
X,1564526637,967577,1096
X,1564526637,967593,1426
X,1564526638,967582,658
X,1564526638,967552,903
A,1564526638,967563,678
T,1564526639,2940
R,1564526639,6000B79F75
X,1564526640,966803,7613
X,1564526641,967467,2128
X,1564526642,967341,12091
X,1564526642,967424,894
X,1564526643,967511,12090
X,1564526643,967390,2402
X,1564526644,967283,2138
X,1564526644,967445,9016
X,1564526645,967519,1863
X,1564526646,967461,822
X,1564526646,967441,1322
X,1564526647,967519,1136
X,1564526647,967375,899
X,1564526648,967221,1342
X,1564526648,967310,833
X,1564526649,967374,22362
X,1564526650,967461,2515
X,1564526650,967067,6405
P,1564526650,5053
X,1564526651,967344,5207
X,1564526651,967458,1566
X,1564526652,967449,1160
X,1564526652,967457,17256
X,1564526653,967478,2038
X,1564526653,967213,15598
X,1564526654,967706,1112
X,1564526655,967570,759
X,1564526655,967486,16249
X,1564526656,967137,2776
X,1564526656,967103,9933
X,1564526657,967576,1548
X,1564526657,967395,963
X,1564526658,967372,1641
X,1564526659,967246,1076
X,1564526659,967144,28045
X,1564526660,966966,1579
X,1564526660,966583,2358
X,1564526661,967425,8549
X,1564526661,966948,889
X,1564526662,967047,789
X,1564526663,966870,1028
X,1564526663,967061,1517
X,1564526664,967045,814
X,1564526664,966856,1279
X,1564526665,967022,16034
X,1564526665,966629,2352
X,1564526666,966657,2673
X,1564526667,966724,18707
X,1564526667,966889,2211
X,1564526668,966863,1451
X,1564526668,966823,2401
X,1564526669,966778,16347
X,1564526669,966796,1234
X,1564526670,966467,17884
X,1564526671,966893,1260
X,1564526671,966808,892
X,1564526672,966926,561
X,1564526672,966832,711
X,1564526673,966671,1146
X,1564526673,966487,1134
X,1564526674,966173,700
X,1564526674,966400,1526
X,1564526675,966571,553
X,1564526676,965086,10571
X,1564526676,966488,2127
X,1564526677,966548,17119
X,1564526677,966733,4137
X,1564526677,966738,1364
X,1564526677,966784,553
X,1564526678,966696,1017
X,1564526679,966810,1602
X,1564526679,966668,22408
P,1564526680,5052
X,1564526680,966138,2739
