H,1563845838,700040
U,1563845838,46836
X,1563845839,1047418,1209
X,1563845839,1047499,812
X,1563845840,1047539,1645
X,1563845841,1047501,782
X,1563845841,1047532,955
X,1563845842,1047448,823
X,1563845842,1047411,2398
X,1563845843,1047392,684
X,1563845843,1047414,1026
X,1563845844,1047317,858
X,1563845845,1047417,963
X,1563845845,1048333,7785
X,1563845846,1047832,7623
X,1563845846,1047274,719
X,1563845847,1047403,1024
X,1563845847,1047394,1472
X,1563845848,1047445,905
X,1563845849,1047417,756
X,1563845849,1047351,924
X,1563845850,1047383,1224
X,1563845850,1047295,993
X,1563845851,1047389,692
X,1563845851,1047381,650
X,1563845852,1047425,970
X,1563845853,1047407,1365
X,1563845853,1047161,20871
X,1563845854,1047404,3590
X,1563845854,1047349,863
X,1563845855,1047333,868
X,1563845855,1047326,874
X,1563845856,1047370,1338
X,1563845857,1047337,884
X,1563845857,1047382,1287
P,1563845857,5093
X,1563845858,1047354,830
A,1563845858,1047389,258
T,1563845858,2962
U,1563845858,46836
X,1563845860,1047366,639
X,1563845860,1047237,528
X,1563845861,1047287,563
X,1563845861,1047225,813
X,1563845862,1047392,947
X,1563845862,1047444,918
X,1563845863,1047385,734
X,1563845864,1047332,1152
X,1563845864,1047447,531
X,1563845865,1047408,1532
X,1563845865,1047348,825
X,1563845866,1047301,533
X,1563845866,1047344,1268
X,1563845867,1047319,662
X,1563845868,1047299,1181
X,1563845868,1047246,489
X,1563845869,1047195,812
X,1563845869,1047313,1082
X,1563845870,1047334,1010
X,1563845870,1047287,981
X,1563845871,1047352,851
X,1563845871,1047387,819
X,1563845872,1047428,1129
X,1563845873,1047423,572
X,1563845873,1047397,1250
X,1563845874,1047346,938
X,1563845874,1047462,654
X,1563845875,1047453,1171
X,1563845875,1047469,1064
X,1563845876,1047434,1176
X,1563845877,1047440,941
A,1563845877,1047344,267
T,1563845877,2962
U,1563845877,46836
X,1563845879,1047357,2298
X,1563845879,1047402,1192
X,1563845879,1047484,1302
X,1563845879,1047297,2202
X,1563845880,1047607,2570
X,1563845880,1047488,1293
X,1563845881,1047530,1643
X,1563845882,1047481,1261
X,1563845882,1047377,1168
X,1563845883,1047548,3072
X,1563845883,1047479,1368
X,1563845884,1047435,1113
X,1563845884,1047490,742
X,1563845885,1047421,993
X,1563845886,1047440,1162
X,1563845886,1047524,1476
P,1563845886,5093
X,1563845887,1047480,837
X,1563845887,1047511,558
X,1563845888,1047478,754
X,1563845888,1047546,1138
X,1563845889,1047500,1134
X,1563845889,1047427,921
X,1563845890,1047420,753
X,1563845891,1047494,1104
X,1563845891,1047493,1398
X,1563845892,1047480,625
X,1563845892,1047485,1594
X,1563845893,1047547,907
X,1563845893,1047508,1018
X,1563845894,1047488,827
X,1563845895,1047471,898
X,1563845895,1047374,929
X,1563845896,1047430,785
X,1563845896,1047438,1725
X,1563845897,1047419,957
X,1563845897,1047420,1086
X,1563845898,1047445,795
X,1563845899,1047550,1361
X,1563845899,1047427,1082
X,1563845900,1047428,880
X,1563845900,1047429,918
X,1563845901,1047447,595
X,1563845901,1047400,948
X,1563845902,1047382,881
A,1563845902,1047448,173
T,1563845902,2962
U,1563845902,46836
X,1563845904,1047389,894
X,1563845905,1047338,896
X,1563845905,1047266,871
X,1563845906,1047359,406
X,1563845906,1047392,899
X,1563845907,1047424,782
X,1563845907,1047433,624
X,1563845908,1047466,936
X,1563845908,1047506,2005
X,1563845909,1047401,820
X,1563845910,1047431,922
X,1563845910,1047457,630
X,1563845911,1047351,2291
X,1563845911,1047476,1416
X,1563845912,1047425,675
X,1563845912,1047364,647
X,1563845913,1047453,1259
X,1563845914,1047186,2844
X,1563845914,1047466,1943
X,1563845915,1047342,1374
X,1563845915,1047458,2753
X,1563845916,1047356,1207
P,1563845916,5093
X,1563845916,1047351,865
X,1563845917,1047237,756
X,1563845918,1047383,1362
X,1563845918,1047430,1448
X,1563845919,1047332,1447
X,1563845919,1047322,854
X,1563845920,1047262,7703
X,1563845920,1047355,1304
X,1563845920,1047401,2100
X,1563845921,1047462,2022
X,1563845921,1047332,964
X,1563845922,1047333,1250
X,1563845922,1047255,892
X,1563845923,1047368,971
X,1563845923,1047662,2197
X,1563845924,1047334,2873
X,1563845925,1047433,1153
X,1563845925,1047398,805
A,1563845925,1047370,229
T,1563845925,2962
U,1563845926,46836
X,1563845927,1047344,1090
X,1563845928,1047336,733
X,1563845928,1047256,814
X,1563845929,1047353,773
X,1563845929,1047274,1156
X,1563845930,1047565,2400
X,1563845930,1047106,2682
X,1563845931,1047251,723
X,1563845932,1047378,3316
