,1006013,14332
X,1565051553,1006753,7895
X,1565051554,1006656,2800
X,1565051554,1007485,14533
X,1565051555,1006521,3210
X,1565051555,1006601,3041
X,1565051556,1006821,3480
X,1565051556,1006013,22486
X,1565051557,1005988,22672
X,1565051558,1006631,14633
X,1565051558,1006952,11199
X,1565051559,1006362,12886
X,1565051559,1007570,5267
X,1565051560,1006850,1823
X,1565051560,1006677,12124
X,1565051561,1006872,2298
X,1565051561,1006657,3044
X,1565051562,1006394,4844
X,1565051563,1006506,3725
X,1565051563,1006688,2657
X,1565051564,1006347,2959
X,1565051564,1006772,14348
X,1565051565,1006865,3944
X,1565051565,1006791,3757
X,1565051566,1007141,9670
X,1565051567,1006578,2342
X,1565051567,1006336,2672
X,1565051568,1005808,20347
X,1565051568,1006496,16046
X,1565051569,1006360,17441
X,1565051569,1006922,3324
X,1565051570,1006495,4815
X,1565051571,1007583,11479
X,1565051571,1006486,2389
X,1565051572,1006637,2275
X,1565051572,1006270,3309
X,1565051573,1006830,22846
X,1565051573,1006718,11072
X,1565051574,1006947,22913
X,1565051575,1006186,9184
X,1565051575,1008021,7190
X,1565051576,1006074,19404
X,1565051576,1006896,11857
X,1565051577,1004766,18361
P,1565051577,4995
X,1565051577,1008456,17313
X,1565051578,1009289,17235
X,1565051579,1004139,28692
X,1565051579,1005051,16669
X,1565051580,1008622,18551
X,1565051580,1007643,10503
X,1565051581,1006522,16300
X,1565051581,1006371,4541
X,1565051582,1007361,4151
X,1565051582,1005809,11541
X,1565051583,1007076,1176
X,1565051584,1005732,6575
X,1565051584,1006919,14881
X,1565051585,1006464,4123
X,1565051585,1005931,4590
X,1565051586,1006362,6872
X,1565051586,1006594,2013
X,1565051587,1006634,911
A,1565051587,1006941,549
T,1565051587,2971
X,1565051589,1006203,19165
X,1565051590,1006862,5022
X,1565051590,1006908,19898
X,1565051591,1007189,2613
X,1565051591,1005983,3759
X,1565051592,1007217,20168
X,1565051592,1006352,3084
X,1565051593,1007198,4048
X,1565051593,1006485,17136
X,1565051593,1006973,2526
X,1565051594,1006501,3779
X,1565051594,1006508,6568
X,1565051595,1006456,3105
X,1565051595,1006570,19254
X,1565051596,1007019,4398
X,1565051597,1006186,11744
X,1565051597,1006541,1543
X,1565051598,1006325,2045
X,1565051598,1006552,883
X,1565051599,1006164,25952
X,1565051599,1006410,30089
X,1565051600,1006472,3745
X,1565051600,1006165,13040
X,1565051601,1006431,4838
X,1565051602,1006535,692
X,1565051602,1006492,997
X,1565051603,1006524,871
X,1565051603,1006207,23857
X,1565051604,1006419,2914
X,1565051604,1006493,1947
X,1565051605,1006392,15832
X,1565051606,1006562,1081
X,1565051606,1006578,806
P,1565051606,4998
X,1565051607,1006621,634
X,1565051607,1006744,19450
X,1565051608,1006553,1164
X,1565051608,1006192,14263
X,1565051609,1006680,4731
X,1565051610,1006633,1382
X,1565051610,1006639,15867
X,1565051611,1006626,4462
X,1565051611,1006624,2592
X,1565051612,1007323,12556
X,1565051612,1006853,2033
X,1565051613,1006660,17027
X,1565051614,1006208,3858
X,1565051614,1006670,2811
X,1565051615,1007314,9205
X,1565051615,1006657,1390
X,1565051616,1006505,767
X,1565051616,1006393,19501
X,1565051617,1006377,3072
X,1565051618,1005871,4603
X,1565051618,1006453,7100
X,1565051619,1006535,1224
X,1565051619,1006448,979
X,1565051620,1006538,1143
X,1565051620,1006807,26413
X,1565051621,1006665,2650
X,1565051621,1006432,11465
X,1565051622,1006630,1146
X,1565051623,1006582,732
X,1565051623,1006596,1366
X,1565051624,1006413,18024
X,1565051624,1006587,2744
X,1565051625,1006451,12528
X,1565051625,1006922,3066
X,1565051626,1006488,1260
X,1565051627,1006629,1109
X,1565051627,1004970,17205
X,1565051628,1006434,1338
X,1565051628,1006391,14381
X,1565051629,1006444,1038
X,1565051629,1006341,1356
