H,1564619946,700040
X,1564619946,1036496,6616
X,1564619947,1036846,1596
X,1564619948,1036368,2469
X,1564619948,1036327,1333
X,1564619949,1036149,3083
X,1564619949,1035893,25768
X,1564619950,1035922,1171
X,1564619950,1037266,11318
X,1564619951,1036499,1196
X,1564619952,1036259,1441
X,1564619952,1036297,878
X,1564619953,1036110,1222
X,1564619953,1036147,20743
X,1564619954,1035967,2524
X,1564619954,1036145,14956
X,1564619955,1036397,1442
X,1564619956,1036369,1122
X,1564619956,1036140,2155
X,1564619957,1036244,1131
X,1564619957,1036200,559
X,1564619958,1036321,21475
X,1564619958,1035807,2507
X,1564619959,1035662,17001
P,1564619960,5004
X,1564619960,1035934,2024
X,1564619960,1035974,784
X,1564619961,1035758,1614
X,1564619961,1035898,1488
X,1564619962,1035834,983
X,1564619962,1035916,28437
X,1564619963,1036194,7031
X,1564619964,1035327,5187
X,1564619964,1036801,13395
X,1564619964,1036023,2479
X,1564619964,1035903,838
X,1564619965,1036003,1916
X,1564619965,1036102,1032
X,1564619966,1035829,1187
X,1564619966,1036148,24398
X,1564619967,1035717,1209
X,1564619968,1036054,14375
X,1564619968,1036141,5205
X,1564619969,1035828,2184
X,1564619969,1035728,767
X,1564619970,1035824,1067
X,1564619970,1035745,1160
X,1564619971,1035676,1299
X,1564619972,1035532,25011
X,1564619972,1035418,2516
X,1564619973,1035259,17409
X,1564619973,1035747,1629
X,1564619974,1035901,661
X,1564619974,1035625,991
X,1564619975,1035655,24766
X,1564619976,1035598,2687
X,1564619976,1035163,18176
X,1564619977,1035475,2375
X,1564619977,1035716,1151
X,1564619978,1035606,1617
X,1564619978,1036068,1231
X,1564619979,1034529,17189
X,1564619980,1035748,2031
X,1564619980,1035682,14142
X,1564619981,1035500,1065
X,1564619981,1035013,20403
X,1564619982,1035949,3641
X,1564619982,1035198,13993
X,1564619983,1036043,13123
X,1564619984,1035310,6549
X,1564619984,1034999,2290
X,1564619985,1035322,4296
X,1564619985,1035459,24335
X,1564619986,1035217,2965
X,1564619986,1035598,14615
X,1564619987,1035652,20154
X,1564619987,1036219,7710
X,1564619988,1035257,5572
P,1564619989,5024
X,1564619989,1036357,9142
X,1564619989,1036116,2593
X,1564619990,1035767,1418
X,1564619990,1036005,1408
X,1564619991,1036215,21031
X,1564619991,1035925,17340
X,1564619992,1035031,17189
X,1564619993,1035331,3531
X,1564619993,1036357,6099
X,1564619994,1036197,15838
X,1564619994,1035801,2321
X,1564619995,1034835,13205
X,1564619995,1035802,1447
X,1564619996,1035694,876
X,1564619997,1035607,1748
X,1564619997,1035603,1192
X,1564619998,1035622,21421
X,1564619998,1034943,7137
X,1564619999,1036191,9157
X,1564619999,1035822,1157
X,1564620000,1035704,1733
X,1564620001,1035992,873
A,1564620001,1036347,1541
T,1564620001,2917
R,1564620001,6000BBA08A
X,1564620003,1035864,22588
X,1564620003,1035768,2378
X,1564620004,1036052,20343
X,1564620004,1035827,1338
X,1564620005,1036007,754
X,1564620005,1035922,18467
X,1564620005,1035847,1635
X,1564620005,1037212,15281
X,1564620006,1035709,5877
X,1564620007,1035283,5557
X,1564620007,1036743,13482
X,1564620008,1035825,967
X,1564620008,1035649,1976
X,1564620009,1035765,1038
X,1564620009,1035792,899
X,1564620010,1035667,25026
X,1564620011,1035655,1840
X,1564620011,1035427,21514
X,1564620012,1036027,2739
X,1564620012,1036057,878
X,1564620013,1035980,2080
X,1564620013,1035978,1572
X,1564620014,1035554,1941
X,1564620015,1035692,29820
X,1564620015,1035611,2165
X,1564620016,1035657,16960
X,1564620016,1035738,2153
X,1564620017,1035668,1142
X,1564620017,1035703,1853
P,1564620018,5022
X,1564620018,1035649,1280
X,1564620019,1035704,824
X,1564620019,1034628,17716
X,1564620020,1035541,2062
X,1564620020,1035424,14471
X,1564620021,1035551,1182
X,1564620021,1035584,1185
X,1564620022,1035644,961
X,1564620023,1035572,21228
X,1564620023,1035469,1187
X,1564620024,1035244,17439
X,1564620024,1035373,2581
X,1564620025,1035574,973
X,1564620025,1035360,2135
X,1564620026,1035471,1922
X,1564620026,1035266,1779
X,1564620027,1035712,22508
X,1564620028,1035311,5950
X,1564620028,1035106,1547
X,1564620029,1035154,13151
X,1564620029,1035051,2040
X,1564620030,1035233,22827
X,1564620030,1035379,1287
X,1564620031,1035526,11796
X,1564620032,1035293,1480
X,1564620032,1034999,2078
X,1564620033,1035255,1163
X,1564620033,1035245,1719
X,1564620034,1035037,26888
X,1564620034,1035023,2690
X,1564620035,1034783,18232
X,1564620036,1035198,1393
X,1564620036,1035121,919
X,1564620037,1035003,1453
X,1564620037,1035247,981
X,1564620038,1034998,2264
X,1564620038,1035050,1343
