,1564968914,1021419,19438
X,1564968915,1020707,13178
X,1564968915,1022502,14367
X,1564968916,1022132,1296
X,1564968916,1022068,582
X,1564968917,1021966,1130
X,1564968917,1022080,814
X,1564968918,1021879,2940
X,1564968918,1021720,1387
X,1564968919,1021999,26472
X,1564968920,1021939,3595
X,1564968920,1021846,30730
X,1564968921,1021948,795
X,1564968921,1021760,648
X,1564968921,1020761,20298
X,1564968921,1022521,11940
X,1564968922,1021643,694
X,1564968923,1021726,794
X,1564968923,1021911,1922
X,1564968924,1022049,23048
X,1564968924,1022130,3679
X,1564968925,1022006,29045
X,1564968925,1022309,881
X,1564968926,1022148,1277
X,1564968927,1022151,1090
X,1564968927,1022168,788
X,1564968928,1022099,810
X,1564968928,1022102,1391
X,1564968929,1022057,1449
X,1564968929,1022082,1250
X,1564968930,1022144,671
A,1564968930,1022023,666
T,1564968930,2951
U,1564968930,56886
X,1564968932,1022806,24060
X,1564968933,1022184,1076
X,1564968933,1021997,6119
X,1564968934,1021784,5512
X,1564968934,1021841,2746
X,1564968935,1022069,1234
X,1564968935,1022019,1895
X,1564968936,1022155,717
X,1564968936,1022032,557
X,1564968937,1022095,32255
X,1564968938,1022238,2469
P,1564968938,4991
X,1564968938,1022212,25780
X,1564968939,1022379,875
X,1564968939,1022265,873
X,1564968940,1022218,1059
X,1564968940,1022018,24366
X,1564968941,1022289,33651
X,1564968942,1021071,12242
X,1564968942,1022233,7841
X,1564968943,1022767,3347
X,1564968943,1021620,5246
X,1564968944,1021921,1558
X,1564968944,1022121,547
X,1564968945,1022021,1078
X,1564968946,1021919,22793
X,1564968946,1022026,4625
X,1564968947,1022430,19245
X,1564968947,1020463,18646
X,1564968948,1024274,26113
X,1564968948,1021912,3274
X,1564968949,1020490,14233
X,1564968950,1022008,2671
X,1564968950,1022280,26849
X,1564968951,1022109,1264
X,1564968951,1022079,868
X,1564968952,1022002,1403
X,1564968952,1021383,12496
X,1564968953,1021514,5324
X,1564968954,1022681,16316
X,1564968954,1022329,2837
X,1564968955,1021032,11810
X,1564968955,1022051,4256
X,1564968956,1022140,11547
X,1564968956,1022222,3218
X,1564968957,1022006,2280
X,1564968957,1022164,1019
X,1564968958,1022002,875
X,1564968959,1022100,1338
X,1564968959,1022015,1234
X,1564968960,1022235,18193
X,1564968960,1021878,10865
X,1564968961,1022319,22415
X,1564968961,1022281,3144
X,1564968962,1022078,1053
X,1564968962,1022247,2472
X,1564968962,1022247,4528
X,1564968963,1021951,1345
X,1564968963,1021946,627
X,1564968964,1021735,25727
X,1564968964,1022306,5714
X,1564968965,1021726,14012
X,1564968966,1022107,2807
X,1564968966,1022061,907
X,1564968967,1021998,7076
P,1564968967,4989
X,1564968967,1022161,27984
X,1564968968,1022180,1622
X,1564968968,1021829,24462
X,1564968969,1021920,1875
X,1564968970,1021966,818
X,1564968970,1021894,801
X,1564968971,1021924,1864
X,1564968971,1021933,1010
X,1564968972,1021694,18797
X,1564968972,1022024,2242
X,1564968973,1022110,22300
X,1564968974,1022161,2667
X,1564968974,1021981,2072
X,1564968975,1022757,12813
X,1564968975,1020828,22659
X,1564968976,1022489,18146
X,1564968976,1022505,2308
X,1564968977,1021985,878
X,1564968977,1022000,567
X,1564968978,1022002,940
X,1564968979,1022033,1161
X,1564968979,1021943,953
X,1564968980,1021932,3577
X,1564968980,1021999,13107
X,1564968981,1022040,1822
X,1564968981,1023435,14257
X,1564968982,1021997,611
X,1564968983,1024014,11590
X,1564968983,1022096,23388
X,1564968984,1022203,3116
X,1564968984,1021983,1117
X,1564968985,1021341,16826
X,1564968985,1021715,11570
X,1564968986,1021877,6533
X,1564968987,1022293,4423
X,1564968987,1021869,1754
X,1564968988,1022240,1549
X,1564968988,1022031,22168
X,1564968989,1022285,3334
X,1564968989,1022307,22067
X,1564968990,1022135,970
X,1564968991,1022179,929
