,953606,16530
X,1565043826,953826,2621
X,1565043827,953875,1451
X,1565043827,953846,9053
X,1565043828,953877,1086
X,1565043828,953861,1873
X,1565043829,953307,9665
X,1565043830,953995,16242
X,1565043830,954005,5021
X,1565043831,953885,2219
X,1565043831,953746,6873
X,1565043832,953920,1472
X,1565043832,953821,1339
X,1565043833,953779,951
X,1565043834,952840,14129
X,1565043834,953950,1513
X,1565043835,953818,9726
X,1565043835,953825,986
X,1565043836,953682,1036
X,1565043836,953808,989
X,1565043837,953692,1080
X,1565043838,953740,21468
X,1565043838,953748,2637
X,1565043839,953917,1451
X,1565043839,954112,7257
X,1565043840,953787,949
X,1565043840,953738,1258
X,1565043841,953920,15220
X,1565043841,953869,1962
X,1565043841,954017,1597
X,1565043842,954095,8732
X,1565043842,953897,1313
X,1565043843,953837,1015
X,1565043843,953887,1140
X,1565043844,953805,1386
X,1565043845,953837,1022
X,1565043845,953854,1412
X,1565043846,953867,968
P,1565043846,4985
X,1565043846,953932,23031
X,1565043847,954089,1706
X,1565043847,953984,1108
X,1565043848,953889,6885
X,1565043848,953967,1144
X,1565043849,953834,1362
X,1565043850,953933,953
X,1565043850,953843,19446
X,1565043851,953876,1636
X,1565043851,953867,4702
X,1565043852,953938,1609
X,1565043852,953837,1121
X,1565043853,953944,21179
X,1565043854,954079,4008
X,1565043854,954075,1557
X,1565043855,953926,6888
X,1565043855,953899,1195
X,1565043856,953823,1135
X,1565043856,953845,1093
X,1565043857,953748,881
X,1565043858,953784,848
X,1565043858,953745,1052
X,1565043859,953714,24421
X,1565043859,953794,2135
X,1565043860,953982,10748
X,1565043860,953854,5277
X,1565043861,953881,1498
X,1565043862,953750,1632
X,1565043862,953847,1697
X,1565043863,953815,1336
X,1565043863,953868,676
X,1565043864,953774,808
X,1565043864,953642,1309
X,1565043865,953734,908
X,1565043866,954011,21487
X,1565043866,953732,2139
X,1565043867,953389,4276
X,1565043867,953637,3821
X,1565043868,953654,1661
X,1565043868,953686,1803
X,1565043869,953898,16499
X,1565043869,953678,4391
X,1565043870,953812,1669
X,1565043871,953683,10858
X,1565043871,953901,947
X,1565043872,953766,1310
X,1565043872,953848,1024
X,1565043873,953784,851
X,1565043873,953654,1017
X,1565043874,953899,21166
X,1565043875,953866,1989
X,1565043875,953828,1129
X,1565043876,953757,8212
P,1565043876,5018
X,1565043876,953740,1898
X,1565043877,953596,1384
X,1565043877,955049,7310
X,1565043878,954126,3875
X,1565043879,953774,1546
X,1565043879,953651,4387
X,1565043880,953858,1117
X,1565043880,953775,1299
X,1565043881,953824,1231
X,1565043881,953781,1070
X,1565043882,953834,23084
X,1565043882,954006,2963
X,1565043882,953792,1713
X,1565043883,953744,8723
X,1565043883,953763,1295
X,1565043884,953667,1377
X,1565043884,953671,1390
X,1565043885,953018,12482
X,1565043886,953747,1128
X,1565043886,953902,7537
X,1565043887,953875,1923
X,1565043887,953606,994
X,1565043888,953536,1059
X,1565043888,953629,1696
X,1565043889,953637,976
X,1565043889,953515,21787
X,1565043890,953524,6497
X,1565043891,953726,1244
X,1565043891,953850,8595
X,1565043892,953839,9093
X,1565043892,953781,1581
X,1565043893,953719,1015
X,1565043893,953695,20858
X,1565043894,953864,1808
X,1565043895,953653,12526
X,1565043895,953635,9667
X,1565043896,953631,1337
X,1565043896,953455,1408
X,1565043897,953506,1047
X,1565043897,953562,907
A,1565043897,953777,371
T,1565043898,2984
U,1565043898,40821
X,1565043899,953656,901
X,1565043900,953666,8964
X,1565043901,953672,1043
