H,1564616182,700040
T,1564616182,2920
X,1564616184,1008540,910
X,1564616185,1008564,1096
X,1564616185,1007150,13999
X,1564616186,1007122,13642
X,1564616186,1008718,6833
X,1564616187,1008713,1469
X,1564616188,1008660,1058
X,1564616188,1008618,611
X,1564616189,1008719,949
X,1564616189,1008514,674
X,1564616190,1008595,941
X,1564616190,1008545,1609
X,1564616190,1008534,1107
X,1564616191,1008504,637
X,1564616191,1009711,11536
X,1564616192,1007957,6536
X,1564616192,1008563,27409
X,1564616193,1008951,2487
X,1564616193,1008744,709
X,1564616194,1008717,357
X,1564616195,1008497,1134
X,1564616195,1008728,847
P,1564616196,5030
X,1564616196,1008641,677
X,1564616196,1008613,1060
X,1564616197,1008467,1056
X,1564616197,1008584,952
X,1564616198,1008519,896
X,1564616199,1008524,897
X,1564616199,1009527,10786
X,1564616200,1008181,1740
X,1564616200,1008178,19329
X,1564616201,1008450,1302
X,1564616201,1008235,584
X,1564616202,1008276,940
X,1564616203,1008287,632
X,1564616203,1008178,1118
X,1564616204,1008217,1014
X,1564616204,1008186,912
X,1564616205,1008103,712
X,1564616205,1008118,920
X,1564616206,1008009,1079
X,1564616206,1008207,598
A,1564616206,1008467,641
T,1564616207,2920
X,1564616208,1008531,1709
X,1564616209,1008299,729
X,1564616210,1008287,869
X,1564616210,1008281,601
X,1564616211,1008301,1538
X,1564616211,1008316,820
X,1564616212,1008265,833
X,1564616212,1008196,1786
X,1564616213,1008422,1968
X,1564616214,1007884,2887
X,1564616214,1008311,1175
X,1564616215,1008100,1056
X,1564616215,1008111,876
X,1564616216,1008080,804
X,1564616216,1008159,866
X,1564616217,1008052,579
X,1564616218,1008215,872
X,1564616218,1008057,770
X,1564616219,1008020,1269
X,1564616219,1008116,591
X,1564616220,1008221,1009
X,1564616220,1008044,629
X,1564616221,1008048,771
X,1564616222,1008031,675
X,1564616222,1007999,1118
X,1564616223,1008121,18191
X,1564616223,1008105,1709
X,1564616224,1008013,22249
X,1564616224,1008316,1015
X,1564616225,1008165,877
X,1564616225,1008156,985
P,1564616226,5030
X,1564616226,1008146,644
X,1564616227,1008121,613
X,1564616227,1008184,22228
X,1564616228,1008168,1548
X,1564616228,1008147,16982
X,1564616229,1008298,869
A,1564616229,1008162,285
T,1564616229,2920
X,1564616231,1008146,1328
X,1564616231,1008001,870
X,1564616232,1008034,915
X,1564616233,1008151,1368
X,1564616233,1008083,565
X,1564616234,1008006,1013
X,1564616234,1007955,1096
X,1564616235,1007988,764
X,1564616235,1007981,3198
X,1564616236,1007954,1906
X,1564616237,1008134,1615
X,1564616237,1008057,879
X,1564616238,1007998,858
X,1564616238,1007973,975
X,1564616239,1008039,1110
X,1564616239,1007936,578
X,1564616240,1007705,928
X,1564616241,1007870,817
X,1564616241,1007831,567
X,1564616242,1007838,1582
X,1564616242,1007990,962
X,1564616243,1008319,4625
X,1564616243,1007168,10743
X,1564616244,1008193,17509
X,1564616244,1008307,1418
X,1564616245,1008065,987
X,1564616246,1008073,941
X,1564616246,1008066,1110
X,1564616247,1009449,22403
X,1564616247,1006592,22045
X,1564616248,1007463,1728
X,1564616248,1007186,11444
X,1564616249,1008247,25623
X,1564616250,1009428,7510
X,1564616250,1006771,10383
X,1564616251,1008314,9691
X,1564616251,1007863,3040
X,1564616252,1007468,1421
X,1564616252,1007777,1900
X,1564616253,1007765,872
X,1564616254,1007666,13369
X,1564616254,1006875,4563
X,1564616255,1007746,6456
X,1564616255,1007815,1320
X,1564616256,1007896,1009
P,1564616256,5029
X,1564616256,1007841,1705
X,1564616257,1007634,15188
X,1564616258,1008221,3116
X,1564616258,1007772,16663
X,1564616259,1008023,2901
X,1564616259,1007849,1069
X,1564616260,1007720,13820
X,1564616260,1007889,2705
X,1564616261,1008745,15773
X,1564616262,1007999,5300
X,1564616262,1007916,2158
X,1564616263,1007770,1378
X,1564616263,1008087,18766
X,1564616264,1007791,3489
X,1564616264,1007413,19876
X,1564616265,1008431,2607
X,1564616265,1008211,12815
X,1564616266,1007826,1628
X,1564616267,1008053,648
X,1564616267,1007911,480
X,1564616268,1007801,556
X,1564616268,1007762,967
X,1564616269,1007989,1174
X,1564616269,1007269,11447
X,1564616270,1008372,4436
X,1564616271,1007828,2127
X,1564616271,1007967,800
A,1564616271,1007943,378
T,1564616271,2920
X,1564616273,1008148,4570
X,1564616273,1008159,2440
X,1564616273,1007934,660
X,1564616274,1007786,2460
X,1564616274,1007886,3426
X,1564616275,1008019,1255
X,1564616276,1007810,702
X,1564616276,1007811,3500
X,1564616277,1007786,1376
X,1564616277,1007791,965
X,1564616278,1007621,1222
