H,1564801485,700040
X,1564801485,988909,688
X,1564801486,988963,24262
X,1564801486,988994,1215
X,1564801487,988962,16513
X,1564801487,989018,773
X,1564801488,988982,408
X,1564801488,988956,486
A,1564801488,989047,238
T,1564801489,2916
U,1564801489,46836
P,1564801489,5001
X,1564801490,989050,19473
X,1564801491,989105,979
X,1564801492,989061,521
X,1564801492,989034,713
X,1564801493,988987,684
X,1564801493,989737,8451
X,1564801494,989360,6002
X,1564801494,989212,15774
X,1564801495,989548,2917
X,1564801495,989906,5009
X,1564801495,987944,8531
X,1564801496,988895,992
X,1564801496,988954,400
X,1564801497,988748,24240
X,1564801497,988924,2293
X,1564801498,989025,12008
X,1564801498,989144,825
X,1564801499,989038,675
X,1564801500,988983,615
X,1564801500,989008,646
X,1564801501,989016,603
X,1564801501,988971,622
X,1564801502,988696,29107
X,1564801502,989082,2776
X,1564801503,988858,995
X,1564801504,988824,1577
X,1564801504,989343,4721
X,1564801505,987961,20616
X,1564801505,988858,2810
X,1564801506,989316,10387
X,1564801506,989059,690
X,1564801507,989082,25310
X,1564801508,988976,1896
X,1564801508,989031,14017
X,1564801509,989033,2247
X,1564801509,989074,579
X,1564801510,988606,7747
X,1564801510,988837,3951
X,1564801511,988728,20669
X,1564801512,989094,2868
X,1564801512,989429,18680
X,1564801513,989100,606
X,1564801513,989052,895
X,1564801514,989129,15525
X,1564801514,989169,987
X,1564801515,989121,20513
X,1564801516,989124,739
X,1564801516,989059,849
A,1564801516,989034,311
T,1564801516,2916
U,1564801517,46836
X,1564801518,987728,15322
P,1564801518,5001
X,1564801519,988197,7353
X,1564801519,988936,5456
X,1564801520,989076,558
X,1564801520,989076,850
X,1564801521,989046,733
X,1564801521,987795,13842
X,1564801522,989096,18204
X,1564801523,989199,5279
X,1564801523,989121,603
X,1564801524,989050,783
X,1564801524,989249,19696
X,1564801525,989091,1684
X,1564801525,988958,20748
X,1564801526,989147,793
X,1564801527,989045,709
X,1564801527,989047,623
X,1564801528,989041,778
X,1564801528,989006,764
X,1564801529,989132,16789
X,1564801529,988224,5945
X,1564801530,988824,7166
X,1564801531,989039,702
X,1564801531,989053,499
X,1564801532,989010,780
X,1564801532,988990,571
X,1564801533,988998,980
X,1564801533,988996,819
X,1564801534,987846,9921
X,1564801535,988802,4122
X,1564801535,990042,18146
X,1564801536,989008,840
X,1564801536,989056,664
X,1564801536,989025,392
X,1564801536,989080,441
A,1564801537,989045,157
T,1564801537,2916
U,1564801537,46836
X,1564801539,989211,1911
X,1564801539,989005,776
X,1564801540,988999,646
X,1564801540,988971,722
X,1564801541,990217,11686
X,1564801541,989086,3373
X,1564801542,988888,12793
X,1564801542,988967,6462
X,1564801543,989018,782
X,1564801544,988989,566
X,1564801544,988949,18729
X,1564801545,988963,1703
X,1564801545,989062,20370
X,1564801546,989036,390
X,1564801546,989005,893
X,1564801547,988962,665
P,1564801547,5002
X,1564801548,989116,19321
X,1564801548,989064,1379
X,1564801549,989095,11882
X,1564801549,989055,618
X,1564801550,989035,702
X,1564801550,988998,459
X,1564801551,988989,518
X,1564801552,990349,13902
X,1564801552,988832,7921
X,1564801553,989407,13932
X,1564801553,989491,2671
X,1564801554,989058,1037
X,1564801554,989067,451
X,1564801555,989003,868
X,1564801556,988873,1090
X,1564801556,989041,2055
X,1564801557,989000,2955
X,1564801557,987748,12506
X,1564801558,989127,1124
X,1564801558,989917,9943
X,1564801559,988986,618
X,1564801560,989184,11238
X,1564801560,988979,4557
X,1564801561,988774,16180
X,1564801561,988907,4364
X,1564801562,988860,740
X,1564801562,988929,569
X,1564801563,988914,521
X,1564801563,988954,25129
X,1564801564,988888,1452
X,1564801565,988882,10973
X,1564801565,989010,991
X,1564801566,988933,799
A,1564801566,988988,207
T,1564801566,2916
U,1564801566,46836
X,1564801568,988964,627
X,1564801568,989028,24340
X,1564801569,988907,1511
X,1564801569,990095,12829
X,1564801570,988836,535
X,1564801571,988891,609
X,1564801571,988917,500
X,1564801572,988940,443
X,1564801572,988859,2463
X,1564801573,988961,28907
X,1564801573,988980,1888
X,1564801574,988995,19343
X,1564801575,988953,930
X,1564801575,988967,401
X,1564801576,989106,1762
X,1564801576,988011,8559
X,1564801577,988917,1109
X,1564801577,988860,24094
P,1564801577,5001
X,1564801577,988783,3389
