H,1564700986,700040
T,1564700986,2948
U,1564700987,29114
X,1564700988,1035446,6032
X,1564700989,1034986,851
X,1564700989,1034875,692
X,1564700989,1035097,4079
X,1564700989,1035558,6333
X,1564700990,1034717,1487
X,1564700990,1034888,2154
X,1564700991,1034981,996
X,1564700992,1035064,17619
X,1564700992,1034906,3048
X,1564700993,1035011,6008
X,1564700993,1035199,1578
X,1564700994,1035246,7598
X,1564700994,1035056,1273
X,1564700995,1035702,5052
X,1564700996,1035031,6413
X,1564700996,1035237,1648
X,1564700997,1035098,10836
X,1564700997,1035270,1977
X,1564700998,1035132,741
X,1564700998,1035297,2298
X,1564700999,1034244,6125
X,1564701000,1035009,953
X,1564701000,1035407,4024
X,1564701001,1033932,8709
X,1564701001,1035053,1041
X,1564701002,1034905,784
X,1564701002,1034911,1192
X,1564701003,1035022,736
X,1564701004,1034955,1222
X,1564701004,1034921,755
X,1564701005,1034928,3574
X,1564701005,1034973,1539
X,1564701006,1034870,921
X,1564701006,1035000,574
X,1564701007,1034915,1497
X,1564701007,1034920,981
X,1564701008,1035081,2290
X,1564701009,1034296,12607
P,1564701009,5030
X,1564701009,1035102,1465
X,1564701010,1035034,7404
X,1564701010,1035176,1447
X,1564701011,1034975,834
X,1564701011,1034952,734
X,1564701012,1035017,805
X,1564701013,1034892,853
X,1564701013,1034888,846
X,1564701014,1034994,1588
X,1564701014,1034952,892
X,1564701015,1034911,939
X,1564701015,1035006,1134
X,1564701016,1034962,1676
X,1564701017,1034928,477
X,1564701017,1034963,921
A,1564701017,1034954,262
T,1564701017,2948
U,1564701018,29114
X,1564701019,1035018,15330
X,1564701020,1035309,12331
X,1564701020,1035606,7583
X,1564701021,1035154,1840
X,1564701021,1035042,816
X,1564701022,1035025,1586
X,1564701023,1035048,703
X,1564701023,1034962,1493
X,1564701024,1035081,817
X,1564701024,1035021,1191
X,1564701025,1034900,2746
X,1564701025,1035004,783
X,1564701026,1034874,933
X,1564701026,1034950,807
X,1564701027,1034928,1241
X,1564701028,1034972,694
X,1564701028,1034883,2101
X,1564701029,1034904,591
X,1564701029,1034833,751
X,1564701030,1034903,997
X,1564701030,1034890,1152
X,1564701030,1034830,819
X,1564701031,1034882,16800
X,1564701031,1034982,852
X,1564701032,1034951,7754
X,1564701032,1035090,2610
X,1564701033,1034944,2112
X,1564701033,1035048,1416
X,1564701034,1035053,1281
X,1564701035,1035048,3147
X,1564701035,1034996,1596
X,1564701036,1034962,1050
X,1564701036,1034932,851
X,1564701037,1035020,938
X,1564701037,1035046,811
P,1564701038,5031
X,1564701038,1034954,764
X,1564701039,1034858,887
X,1564701039,1034955,780
X,1564701040,1034824,1008
X,1564701040,1034961,699
X,1564701041,1034959,1139
X,1564701041,1034930,704
A,1564701041,1034953,251
T,1564701042,2948
U,1564701042,29114
X,1564701043,1034912,1053
X,1564701044,1034846,1652
X,1564701044,1035084,1107
X,1564701045,1034985,1377
X,1564701046,1035009,938
X,1564701046,1034966,1019
X,1564701047,1034933,853
X,1564701047,1034953,1923
X,1564701048,1035124,2456
X,1564701048,1035082,4054
X,1564701049,1034782,4516
X,1564701050,1034882,2683
X,1564701050,1035399,2885
X,1564701051,1035149,3436
X,1564701051,1034951,998
X,1564701052,1035055,969
X,1564701052,1034946,660
X,1564701053,1035026,851
X,1564701054,1035033,1125
X,1564701054,1034946,777
X,1564701055,1035033,855
X,1564701055,1034930,2491
X,1564701056,1035219,1382
X,1564701056,1034936,1698
X,1564701057,1035160,1633
X,1564701058,1035027,1088
X,1564701058,1034812,1950
X,1564701059,1035338,3570
X,1564701059,1034897,3074
X,1564701060,1034866,1408
X,1564701060,1035065,776
X,1564701061,1034794,4553
X,1564701062,1035234,1601
X,1564701062,1034921,1495
X,1564701063,1035162,1116
X,1564701063,1034768,1543
X,1564701064,1035200,2401
X,1564701064,1034926,759
X,1564701065,1035080,3095
X,1564701065,1034949,1487
X,1564701066,1034754,3401
X,1564701067,1035080,720
X,1564701067,1034946,1701
X,1564701068,1035044,940
P,1564701068,5031
X,1564701068,1035072,1184
X,1564701069,1035131,1371
X,1564701069,1035038,2163
X,1564701070,1035022,1367
X,1564701071,1035001,2546
X,1564701071,1034914,1011
X,1564701071,1034936,722
X,1564701071,1034994,689
X,1564701072,1034981,1287
X,1564701072,1034822,1364
X,1564701073,1035025,1606
X,1564701074,1034807,1432
X,1564701074,1034958,998
X,1564701075,1034885,3226
X,1564701075,1034929,2041
X,1564701076,1034925,894
X,1564701076,1034915,844
X,1564701077,1034937,716
X,1564701078,1034902,1073
X,1564701078,1034841,985
X,1564701079,1034883,3225
X,1564701079,1035202,1938
