H,1563580161,700040
X,1563580161,1060840,905
X,1563580162,1060916,1066
X,1563580162,1060861,1134
X,1563580163,1060767,989
X,1563580164,1060775,836
X,1563580164,1060558,1042
X,1563580165,1060840,1611
X,1563580165,1060699,4100
X,1563580166,1060526,3923
X,1563580166,1060745,5851
X,1563580167,1061544,24463
X,1563580168,1060399,35004
X,1563580168,1061125,37129
X,1563580169,1058986,22559
X,1563580169,1061123,44248
X,1563580170,1059951,11604
X,1563580170,1060458,2556
X,1563580171,1060421,1661
X,1563580171,1060370,8141
X,1563580172,1060537,4775
X,1563580173,1060678,1323
X,1563580173,1060803,1629
X,1563580174,1060602,11942
X,1563580174,1061030,2757
X,1563580175,1060767,1002
X,1563580175,1060627,815
X,1563580176,1060678,964
X,1563580177,1061048,4765
X,1563580177,1060954,2907
X,1563580178,1060812,1454
X,1563580178,1060929,1730
X,1563580178,1060797,921
X,1563580178,1060798,789
X,1563580179,1060740,1073
X,1563580180,1060756,843
X,1563580180,1060726,967
X,1563580181,1060768,728
X,1563580181,1060798,555
A,1563580181,1060721,266
T,1563580181,2951
X,1563580183,1060778,758
X,1563580184,1060795,596
X,1563580184,1060679,404
X,1563580185,1060574,646
X,1563580186,1060633,848
X,1563580186,1060622,970
X,1563580187,1060640,486
X,1563580187,1060288,16065
P,1563580188,5120
X,1563580188,1060478,1606
X,1563580188,1060563,1438
X,1563580189,1060492,834
X,1563580189,1060524,1061
X,1563580190,1060534,1004
X,1563580191,1060519,709
X,1563580191,1060578,803
X,1563580192,1060611,777
X,1563580192,1060557,987
X,1563580193,1060778,1048
X,1563580193,1060814,1037
X,1563580194,1060827,712
X,1563580195,1060683,1215
X,1563580195,1060789,1118
X,1563580196,1060795,531
X,1563580196,1060730,915
X,1563580197,1060746,1419
X,1563580197,1060596,2708
X,1563580198,1060631,2464
X,1563580199,1060793,878
X,1563580199,1060710,619
X,1563580200,1060637,1607
X,1563580200,1060609,1088
X,1563580201,1061684,11945
X,1563580201,1060291,4514
X,1563580202,1060997,22320
X,1563580203,1061637,19316
X,1563580203,1060928,5413
X,1563580204,1060683,2116
X,1563580204,1060525,19580
X,1563580205,1060521,21383
X,1563580205,1060733,16732
X,1563580206,1060620,2561
X,1563580207,1060824,1021
X,1563580207,1060816,1600
X,1563580208,1060869,537
X,1563580208,1060878,720
X,1563580209,1060780,2119
X,1563580209,1060787,1088
X,1563580210,1060779,869
A,1563580210,1060692,386
T,1563580210,2951
X,1563580212,1060847,352
X,1563580212,1060804,897
X,1563580213,1060770,730
X,1563580214,1060925,1005
X,1563580214,1060802,438
X,1563580215,1060780,425
X,1563580215,1060749,290
X,1563580216,1060678,653
X,1563580216,1060802,641
X,1563580217,1060775,540
X,1563580218,1060724,1046
P,1563580218,5123
X,1563580218,1060773,1157
X,1563580219,1060882,602
X,1563580219,1060681,700
X,1563580219,1060754,1055
X,1563580219,1060819,793
X,1563580220,1060822,662
X,1563580221,1060798,1110
X,1563580221,1060791,1085
X,1563580222,1060833,962
X,1563580222,1060856,938
X,1563580223,1060849,879
X,1563580223,1060854,531
X,1563580224,1060848,820
X,1563580225,1060836,826
X,1563580225,1060799,982
A,1563580225,1060804,204
T,1563580225,2951
X,1563580227,1060822,400
X,1563580228,1060827,1427
X,1563580228,1060809,784
X,1563580229,1060858,398
X,1563580229,1060775,935
X,1563580230,1060760,804
X,1563580230,1060915,551
X,1563580231,1060812,968
X,1563580232,1060833,1071
X,1563580232,1060842,683
X,1563580233,1060963,1063
X,1563580233,1060907,701
X,1563580234,1060828,704
X,1563580234,1060753,630
X,1563580235,1060730,803
X,1563580236,1060689,811
X,1563580236,1060648,787
X,1563580237,1060602,940
X,1563580237,1060700,899
X,1563580238,1060794,1139
X,1563580238,1060842,787
X,1563580239,1060829,701
X,1563580240,1060791,589
X,1563580240,1060826,1100
X,1563580241,1060841,910
A,1563580241,1060787,313
T,1563580241,2951
X,1563580243,1060799,1577
X,1563580243,1060842,1292
X,1563580244,1060763,944
X,1563580244,1060791,892
X,1563580245,1060753,1064
X,1563580245,1060850,1107
X,1563580246,1060819,1241
X,1563580247,1060876,1168
P,1563580247,5121
X,1563580247,1060780,424
X,1563580248,1060775,1240
X,1563580248,1060771,1189
X,1563580249,1060815,1083
X,1563580249,1060711,1241
X,1563580250,1060751,686
X,1563580251,1060750,1110
X,1563580251,1060748,731
X,1563580252,1060713,752
X,1563580252,1060718,623
X,1563580253,1060789,1015
X,1563580253,1060814,886
X,1563580254,1060850,1266
X,1563580255,1060879,525
X,1563580255,1060802,560
X,1563580256,1060828,1028
X,1563580256,1060686,865
