129156,859392
P,1565129157,4998
D,1565129158,847872
D,1565129160,851200
D,1565129162,850688
D,1565129164,854016
D,1565129167,859904
D,1565129169,851968
D,1565129171,855040
D,1565129173,852480
D,1565129175,854272
D,1565129177,854272
D,1565129179,853760
D,1565129181,856832
D,1565129183,854016
D,1565129185,854272
P,1565129187,4998
D,1565129188,854272
D,1565129190,854272
D,1565129192,856832
D,1565129194,854272
D,1565129196,854528
D,1565129199,853760
D,1565129201,857856
D,1565129203,854272
D,1565129205,854016
D,1565129207,859648
D,1565129210,854784
D,1565129212,854016
D,1565129214,854272
D,1565129216,853760
P,1565129217,4997
D,1565129218,855040
D,1565129220,852992
D,1565129222,853504
D,1565129224,854272
D,1565129226,855296
D,1565129228,854016
D,1565129231,853504
D,1565129233,854272
D,1565129235,854272
D,1565129237,853248
D,1565129239,854528
D,1565129242,854016
D,1565129244,853760
P,1565129246,4997
D,1565129246,854272
D,1565129248,855808
D,1565129250,857088
D,1565129253,853504
D,1565129255,857344
D,1565129257,854272
D,1565129259,854528
D,1565129260,854272
D,1565129263,854016
D,1565129265,853760
D,1565129267,854272
D,1565129269,852480
D,1565129271,853760
D,1565129274,854528
P,1565129275,4997
D,1565129276,853760
D,1565129278,853760
D,1565129280,854016
D,1565129282,856064
D,1565129285,853760
D,1565129287,844800
D,1565129289,854016
D,1565129291,853760
D,1565129293,854016
D,1565129296,853248
D,1565129298,853504
D,1565129300,854272
D,1565129301,855296
D,1565129303,853760
P,1565129304,4996
D,1565129306,847616
D,1565129308,854528
D,1565129310,853760
D,1565129312,854016
D,1565129314,853504
D,1565129317,852736
D,1565129319,853760
D,1565129321,853248
D,1565129323,855808
D,1565129325,851968
D,1565129328,852224
D,1565129330,852736
D,1565129332,852480
P,1565129334,4999
D,1565129334,855040
D,1565129336,852224
D,1565129339,853248
D,1565129341,851712
D,1565129342,844032
D,1565129344,852480
D,1565129346,851968
D,1565129349,854528
D,1565129351,853504
D,1565129353,854272
D,1565129355,854272
D,1565129358,847616
D,1565129360,853760
D,1565129362,853504
P,1565129363,4999
D,1565129364,854528
D,1565129366,853760
D,1565129369,855040
D,1565129371,854272
D,1565129373,852992
D,1565129375,853760
D,1565129377,853248
D,1565129380,853504
D,1565129382,853760
D,1565129383,854016
D,1565129385,853760
D,1565129387,853504
D,1565129390,853248
D,1565129392,854016
P,1565129392,4996
D,1565129394,853504
D,1565129396,855040
D,1565129398,853504
D,1565129401,853248
D,1565129403,851456
D,1565129405,848896
D,1565129407,853760
D,1565129409,853248
D,1565129412,854016
D,1565129414,853504
D,1565129416,852992
D,1565129418,853248
D,1565129420,854784
P,1565129422,4997
D,1565129423,854272
D,1565129424,854272
D,1565129426,853760
D,1565129428,854784
D,1565129430,852992
D,1565129433,853760
D,1565129435,853760
D,1565129437,852480
D,1565129439,853504
D,1565129441,854272
D,1565129444,853248
D,1565129446,854784
D,1565129448,855040
D,1565129450,854528
P,1565129451,4997
D,1565129452,854016
D,1565129455,853504
D,1565129457,853248
D,1565129459,852224
D,1565129461,851968
D,1565129463,853760
D,1565129465,850688
D,1565129467,860160
D,1565129469,853248
D,1565129471,854016
D,1565129473,853760
D,1565129476,853248
D,1565129478,853760
D,1565129480,853760
P,1565129481,4996
D,1565129482,853760
D,1565129484,852992
D,1565129487,851200
D,1565129489,851968
D,1565129491,853504
D,1565129493,850432
D,1565129495,851968
D,1565129498,846592
D,1565129500,854528
D,1565129502,854272
D,1565129504,865280
D,1565129505,849664
D,1565129508,837632
P,1565129510,4997
D,1565129510,863488
D,1565129512,854272
D,1565129514,854016
D,1565129516,853504
D,1565129519,858368
D,1565129521,854272
D,1565129523,852736
D,1565129525,852736
D,1565129527,853504
D,1565129530,853248
D,1565129532,853504
D,1565129534,853760
D,1565129536,864768
D,1565129538,854016
P,1565129540,4997
D,1565129541,853760
D,1565129543,852224
D,1565129545,854016
D,1565129546,854528
D,1565129548,852992
D,1565129551,853760
D,1565129553,852992
D,1565129555,856832
D,1565129557,854784
D,1565129559,853760
D,1565129562,855808
D,1565129564,852736
D,1565129566,853248
D,1565129568,852992
P,1565129569,4997
D,1565129570,853760
D,1565129573,853504
