H,1561785867,700040
P,1561785867,5227
P,1561785896,5227
P,1561785925,5226
P,1561785955,5228
P,1561785984,5227
P,1561786013,5226
P,1561786042,5228
P,1561786072,5228
P,1561786101,5227
P,1561786130,5229
P,1561786161,5227
P,1561786190,5228
P,1561786219,5228
P,1561786248,5228
P,1561786278,5227
P,1561786307,5228
P,1561786336,5228
P,1561786366,5227
P,1561786395,5226
P,1561786424,5227
P,1561786454,5227
P,1561786484,5227
P,1561786513,5226
P,1561786542,5227
P,1561786572,5228
P,1561786601,5228
P,1561786630,5228
P,1561786659,5226
P,1561786689,5227
P,1561786718,5226
P,1561786748,5227
P,1561786777,5227
P,1561786807,5228
P,1561786836,5228
P,1561786865,5228
P,1561786895,5228
P,1561786924,5228
P,1561786953,5230
P,1561786982,5226
P,1561787012,5227
P,1561787042,5229
P,1561787072,5228
P,1561787102,5228
P,1561787131,5227
P,1561787160,5228
P,1561787189,5229
P,1561787219,5228
P,1561787248,5229
P,1561787277,5227
P,1561787307,5226
P,1561787337,5227
P,1561787366,5228
P,1561787395,5228
P,1561787425,5226
P,1561787454,5228
P,1561787483,5227
P,1561787513,5228
P,1561787542,5228
P,1561787571,5227
P,1561787600,5229
P,1561787631,5229
P,1561787660,5225
O,1561787661,696721,5057
O,1561787661,698222,2580
O,1561787662,701244,1863
O,1561787662,700079,713
O,1561787663,699201,2179
O,1561787664,697812,1190
O,1561787664,698026,798
O,1561787665,698100,973
O,1561787665,697702,1348
O,1561787666,698237,1459
O,1561787666,696479,2865
O,1561787667,696870,1425
O,1561787668,698150,813
O,1561787668,697850,280
O,1561787669,697847,373
O,1561787669,697957,885
O,1561787670,698145,754
O,1561787670,698703,1235
O,1561787671,697373,1643
O,1561787672,697082,2173
O,1561787672,697362,1968
O,1561787673,697344,1609
O,1561787673,697307,1252
O,1561787674,696905,3349
O,1561787674,697043,1879
O,1561787675,697573,1920
O,1561787675,699418,1709
O,1561787676,700760,2230
O,1561787677,701548,669
O,1561787677,700966,1124
O,1561787678,700240,400
O,1561787678,702254,3011
O,1561787679,703493,1634
O,1561787679,701212,1205
O,1561787680,699521,1581
O,1561787680,699026,889
O,1561787680,698273,522
O,1561787681,698377,615
O,1561787681,698086,872
O,1561787682,698378,1083
O,1561787682,698277,1583
O,1561787683,696910,3164
O,1561787684,696083,1952
O,1561787684,696956,1628
O,1561787685,696649,1681
O,1561787685,696975,1896
O,1561787686,698419,1971
O,1561787686,698541,1635
O,1561787687,698240,1024
O,1561787688,698926,913
O,1561787688,698771,581
O,1561787689,698650,1113
P,1561787689,5221
O,1561787689,697700,2774
O,1561787690,696960,1476
O,1561787690,698683,2866
O,1561787691,699150,1071
O,1561787692,698605,298
O,1561787692,698635,483
O,1561787693,699042,408
O,1561787693,699694,630
O,1561787694,699655,574
O,1561787694,698775,2007
O,1561787695,697654,528
O,1561787695,697430,1445
O,1561787696,698157,1154
O,1561787697,698753,2479
O,1561787697,699754,778
O,1561787698,699435,537
O,1561787698,698724,873
O,1561787699,698296,927
O,1561787699,698649,421
O,1561787700,698608,267
O,1561787701,698415,737
O,1561787701,698368,476
O,1561787702,698489,643
O,1561787702,698364,689
O,1561787703,697584,1645
O,1561787703,697646,1491
O,1561787704,697926,1136
O,1561787705,698117,547
O,1561787705,698727,263
O,1561787706,698892,248
O,1561787706,698868,257
O,1561787707,698775,557
O,1561787707,698339,993
O,1561787708,698148,654
O,1561787709,697710,684
O,1561787709,697737,845
O,1561787710,697839,1807
O,1561787710,697383,3335
O,1561787711,697475,2361
O,1561787711,696937,1681
O,1561787712,697168,1021
O,1561787713,697224,2086
O,1561787713,697649,1365
O,1561787714,697620,1764
O,1561787714,698053,463
O,1561787715,698403,572
O,1561787715,698173,706
O,1561787716,697852,1201
O,1561787716,697968,1384
T,1561787717,3014
P,1561787719,5228
P,1561787748,5227
P,1561787777,5229
P,1561787806,5228
P,1561787836,5228
P,1561787865,5227
P,1561787894,5228
P,1561787925,5227
P,1561787954,5228
P,1561787983,5227
P,1561788012,5227
P,1561788042,5228
P,1561788071,5228
P,1561788100,5228
P,1561788130,5227
P,1561788159,5226
P,1561788188,5229
P,1561788218,5228
P,1561788248,5225
P,1561788277,5228
P,1561788306,5228
P,1561788336,5228
P,1561788365,5228
P,1561788394,5229
P,1561788423,5227
P,1561788453,5226
P,1561788482,5228
P,1561788512,5228
P,1561788541,5228
P,1561788571,5229
P,1561788600,5229
P,1561788629,5228
P,1561788659,5229
P,1561788688,5228
P,1561788717,5229
P,1561788746,5226
P,1561788776,5229
P,1561788806,5228
