H,1564540309,700040
T,1564540309,2926
X,1564540311,991283,17883
X,1564540312,991299,455
X,1564540312,991317,888
X,1564540313,991283,516
X,1564540313,991207,1119
X,1564540314,991134,914
X,1564540314,991193,594
X,1564540315,991459,26003
X,1564540316,991307,4259
X,1564540316,991164,20939
X,1564540317,991307,1458
X,1564540317,991228,920
X,1564540318,991293,742
X,1564540318,991241,794
X,1564540319,991192,1149
X,1564540319,991347,25892
P,1564540320,5031
X,1564540320,991224,3069
X,1564540321,991163,20667
X,1564540321,991436,1619
X,1564540322,991270,1019
X,1564540322,991339,781
X,1564540323,991377,1055
X,1564540323,991402,654
X,1564540324,991316,651
X,1564540325,991303,745
X,1564540325,991548,580
X,1564540326,991534,20192
X,1564540326,991442,1783
X,1564540327,991530,19348
X,1564540327,991537,1090
X,1564540328,991311,547
X,1564540329,991295,734
X,1564540329,991583,25160
X,1564540330,991288,8086
X,1564540330,991084,15317
X,1564540331,991324,3278
X,1564540331,991316,1106
X,1564540332,991297,573
X,1564540333,991134,655
X,1564540333,991149,709
X,1564540334,991251,859
X,1564540334,991073,16936
X,1564540335,991106,2145
X,1564540335,990958,25359
X,1564540336,991105,705
A,1564540336,991271,443
T,1564540336,2926
X,1564540337,991219,18939
X,1564540337,991030,1140
X,1564540338,991180,20048
X,1564540339,991234,755
X,1564540339,991151,898
X,1564540340,991207,976
X,1564540340,991174,859
X,1564540341,991240,18624
X,1564540341,991045,2212
X,1564540342,991056,23792
X,1564540343,991075,926
X,1564540343,991049,817
X,1564540344,991018,966
X,1564540344,991080,563
X,1564540345,990112,16309
X,1564540345,990684,3353
X,1564540346,992333,17117
X,1564540347,991226,674
X,1564540347,991257,617
X,1564540348,991256,571
X,1564540348,991236,719
X,1564540349,991148,773
P,1564540349,5033
X,1564540349,991359,896
X,1564540350,991246,674
X,1564540351,991249,649
X,1564540351,991374,18688
X,1564540352,991394,3831
X,1564540352,991339,25424
X,1564540353,991359,641
X,1564540353,991327,607
X,1564540354,991239,1135
X,1564540355,991216,616
X,1564540355,991234,1083
X,1564540356,991183,21513
X,1564540356,991017,2112
X,1564540357,991115,17418
X,1564540357,991193,1277
X,1564540358,991145,585
A,1564540358,991200,341
T,1564540358,2926
X,1564540360,991126,1066
X,1564540360,991040,18772
X,1564540361,990100,10699
X,1564540362,991672,12727
X,1564540362,991097,1075
X,1564540363,991087,396
X,1564540363,991084,451
X,1564540364,990944,984
X,1564540364,991155,771
X,1564540365,991083,826
X,1564540366,991151,580
X,1564540366,991211,982
X,1564540367,991325,1275
X,1564540367,991349,551
X,1564540368,991472,614
X,1564540368,991517,596
X,1564540369,991482,20100
X,1564540370,991487,1669
X,1564540370,991588,20586
X,1564540371,991600,818
X,1564540371,991600,649
X,1564540372,991524,724
X,1564540372,991595,1168
X,1564540373,991554,1006
X,1564540374,991440,22560
X,1564540374,991438,6119
X,1564540375,991976,23138
X,1564540375,992349,4678
X,1564540376,991959,712
X,1564540376,991848,781
X,1564540377,991963,20060
X,1564540377,991888,1662
X,1564540377,993042,14847
X,1564540378,992040,1209
P,1564540378,5030
X,1564540378,991891,715
X,1564540379,992001,10003
X,1564540379,991574,2067
X,1564540380,992053,24456
X,1564540380,991950,2931
X,1564540381,991824,25186
X,1564540382,991894,764
X,1564540382,991720,1020
X,1564540383,991710,674
X,1564540383,991968,465
X,1564540384,991770,711
A,1564540384,991490,1024
T,1564540384,2926
X,1564540386,991997,1956
X,1564540386,992420,6937
X,1564540387,991697,3580
X,1564540388,991688,1324
X,1564540388,991582,1032
X,1564540389,991580,17744
X,1564540389,991344,1746
X,1564540390,991300,18122
X,1564540390,991541,967
X,1564540391,991525,849
X,1564540392,991603,661
X,1564540392,991436,828
X,1564540393,991520,715
X,1564540393,991638,21053
X,1564540394,991647,1398
X,1564540394,991759,16303
X,1564540395,991623,1153
X,1564540395,991695,808
X,1564540396,991899,594
X,1564540397,991836,972
X,1564540397,991881,1311
X,1564540398,991897,616
X,1564540398,992088,21007
X,1564540399,991862,2229
X,1564540399,992109,20319
X,1564540400,992340,1889
X,1564540401,992088,915
X,1564540401,992195,708
X,1564540402,992027,751
X,1564540402,992211,23417
X,1564540403,991923,2634
X,1564540403,991846,20582
X,1564540404,992252,2125
X,1564540405,991959,680
