,1564883989,1360399,4363
X,1564883989,1360317,1035
X,1564883990,1360095,13230
X,1564883991,1360449,866
X,1564883991,1360368,917
X,1564883992,1360379,647
X,1564883992,1360402,1461
X,1564883993,1360550,19682
X,1564883993,1360808,1852
X,1564883994,1360721,28381
X,1564883994,1360792,1023
X,1564883994,1360804,1601
X,1564883995,1362002,12103
X,1564883995,1359850,14370
X,1564883996,1360610,2012
X,1564883996,1360519,15620
X,1564883997,1360714,938
X,1564883998,1360700,1680
X,1564883998,1360722,996
X,1564883999,1360808,21102
X,1564883999,1360602,1136
X,1564884000,1360658,11521
X,1564884000,1360843,1087
X,1564884001,1360967,935
X,1564884002,1360763,1702
X,1564884002,1360803,21515
X,1564884003,1360845,2781
X,1564884003,1360649,12045
X,1564884004,1360772,913
X,1564884004,1360580,836
X,1564884005,1360647,1353
X,1564884006,1360630,876
X,1564884006,1360501,1921
X,1564884007,1360516,1144
X,1564884007,1360609,735
X,1564884008,1360321,20406
X,1564884008,1360435,4216
P,1564884009,4990
X,1564884009,1360611,1743
X,1564884009,1360882,14853
X,1564884010,1360656,1734
X,1564884011,1360626,943
X,1564884011,1360742,1430
X,1564884012,1360617,12163
X,1564884012,1360750,18971
X,1564884013,1360883,2786
X,1564884013,1360513,29884
X,1564884014,1360596,4258
X,1564884015,1360789,20048
X,1564884015,1360718,788
X,1564884016,1360606,15085
X,1564884016,1360769,998
X,1564884017,1360919,20105
X,1564884017,1361031,2802
X,1564884018,1360557,28556
X,1564884019,1360703,3961
X,1564884019,1360958,777
X,1564884020,1360749,1006
X,1564884020,1360840,887
X,1564884021,1360596,1464
X,1564884021,1360802,1203
X,1564884022,1360571,19036
X,1564884023,1361327,14593
X,1564884023,1362421,21675
X,1564884024,1360477,2583
X,1564884024,1360458,4453
X,1564884025,1360053,13004
X,1564884025,1360495,1576
X,1564884026,1360648,2073
X,1564884027,1362167,12633
X,1564884027,1360196,9148
X,1564884028,1360660,17512
X,1564884028,1361295,3995
X,1564884029,1360822,1036
X,1564884029,1360769,1498
X,1564884030,1360783,1157
X,1564884030,1360655,1190
X,1564884031,1360708,1159
X,1564884032,1360571,1314
X,1564884032,1361618,10757
X,1564884033,1359758,14880
X,1564884033,1360482,2499
X,1564884034,1360337,10091
X,1564884034,1360658,1888
X,1564884035,1360522,1132
X,1564884035,1360613,1575
X,1564884035,1360702,632
X,1564884036,1360592,878
X,1564884036,1360587,1858
X,1564884037,1360511,693
X,1564884037,1359407,13148
P,1564884038,4991
X,1564884038,1360502,873
A,1564884038,1360632,729
T,1564884038,2918
R,1564884038,6000B7DE36
X,1564884040,1360537,1172
X,1564884041,1360515,778
X,1564884041,1360425,1371
X,1564884042,1360418,985
X,1564884042,1360539,1090
X,1564884043,1360545,23673
X,1564884043,1360632,4039
X,1564884044,1360702,35183
X,1564884045,1362119,13366
X,1564884045,1360247,8283
X,1564884046,1360421,868
X,1564884046,1361235,13004
X,1564884047,1360456,1491
X,1564884047,1360419,1153
X,1564884048,1360416,694
X,1564884048,1360388,1198
X,1564884049,1360450,1661
X,1564884050,1360485,19366
X,1564884050,1360312,2166
X,1564884051,1360391,17003
X,1564884051,1360972,3238
X,1564884052,1360750,1124
X,1564884052,1360669,1297
X,1564884053,1359531,13624
X,1564884054,1360627,1696
X,1564884054,1360487,28218
X,1564884055,1360324,1120
X,1564884055,1361051,7975
X,1564884056,1360811,23591
X,1564884056,1360615,4231
X,1564884057,1360665,14457
X,1564884058,1361120,1891
X,1564884058,1360914,1650
X,1564884059,1361020,1295
X,1564884059,1360894,1801
X,1564884060,1360881,19402
X,1564884060,1360845,550
X,1564884061,1360892,9876
X,1564884062,1361004,3115
X,1564884062,1360860,941
X,1564884063,1360940,6725
X,1564884063,1360836,1776
X,1564884064,1360574,1211
X,1564884064,1360519,876
X,1564884065,1360535,915
X,1564884066,1360502,25142
X,1564884066,1360591,2802
X,1564884067,1360399,13740
X,1564884067,1361198,4209
X,1564884068,1361470,8702
P,1564884068,4990
