,1564888409,1005404,1381
X,1564888409,1005409,693
X,1564888410,1005448,564
X,1564888411,1005438,1074
X,1564888411,1005551,23866
X,1564888412,1005531,1781
X,1564888412,1005988,2135
X,1564888413,1006163,12893
X,1564888413,1004954,1079
X,1564888414,1005432,9931
X,1564888415,1005576,2695
X,1564888415,1005365,10629
X,1564888416,1004927,1987
X,1564888416,1005030,14905
X,1564888417,1005557,4636
X,1564888417,1005552,1553
P,1564888418,4984
X,1564888418,1005629,6576
X,1564888419,1005350,3777
X,1564888419,1005599,5821
X,1564888420,1005673,23990
X,1564888420,1005474,8760
X,1564888421,1006718,18477
X,1564888421,1004596,5280
X,1564888422,1005695,7159
X,1564888423,1005022,3961
X,1564888423,1005182,1625
X,1564888423,1004833,13260
X,1564888423,1005333,2666
X,1564888424,1005259,7683
X,1564888424,1005203,1215
X,1564888425,1005176,779
X,1564888426,1005120,516
X,1564888426,1005143,953
X,1564888427,1005009,1060
X,1564888427,1005097,937
X,1564888428,1005018,821
X,1564888428,1005117,708
X,1564888429,1005032,976
X,1564888429,1004993,28178
X,1564888430,1005230,3560
X,1564888431,1005430,4980
X,1564888431,1005565,8780
X,1564888432,1005968,8104
X,1564888432,1004397,13689
X,1564888433,1005007,9151
X,1564888433,1006062,7165
X,1564888434,1005849,1467
X,1564888435,1005711,1363
X,1564888435,1005973,21587
X,1564888436,1005074,6118
X,1564888436,1005095,10579
X,1564888437,1005496,11419
X,1564888437,1005525,4803
X,1564888438,1005726,14487
X,1564888439,1005806,8721
X,1564888439,1004385,11335
X,1564888440,1005489,3500
X,1564888440,1005506,484
X,1564888441,1005504,815
X,1564888441,1005876,23811
X,1564888442,1005201,3855
X,1564888443,1004838,5385
X,1564888443,1005671,8725
X,1564888444,1005181,970
X,1564888444,1005266,1106
X,1564888445,1004962,27317
X,1564888445,1004687,2491
X,1564888446,1005103,2063
X,1564888447,1005807,11221
P,1564888447,4959
X,1564888447,1004923,5234
X,1564888448,1003624,18556
X,1564888448,1004932,1497
X,1564888449,1004869,9049
X,1564888449,1005249,1301
X,1564888450,1004973,3800
X,1564888450,1005233,9726
X,1564888451,1005347,15264
X,1564888452,1003277,6343
X,1564888452,1004642,8847
X,1564888453,1004615,1519
X,1564888453,1004932,11712
X,1564888454,1003724,13587
X,1564888454,1004446,3956
X,1564888455,1004798,4797
X,1564888456,1004864,9409
X,1564888456,1005102,1800
X,1564888457,1005091,1058
X,1564888457,1005172,30783
X,1564888458,1005235,2339
X,1564888458,1005091,2136
X,1564888459,1005597,5334
X,1564888460,1005571,4182
X,1564888460,1005162,768
X,1564888461,1005202,25100
X,1564888461,1005545,2083
X,1564888462,1005232,10220
X,1564888462,1004726,4305
X,1564888463,1005919,9835
X,1564888464,1004850,15054
X,1564888464,1003223,8622
X,1564888464,1002504,14864
X,1564888464,1003856,3492
X,1564888465,1003439,6104
X,1564888465,1003855,2440
X,1564888466,1003603,2890
X,1564888467,1003561,11172
X,1564888467,1003658,24393
X,1564888468,1003628,7008
X,1564888468,1003649,11101
X,1564888469,1003634,19569
X,1564888469,1004349,2308
X,1564888470,1006468,15562
X,1564888470,1002888,10241
X,1564888471,1004431,10965
X,1564888472,1004812,12008
X,1564888472,1005274,2116
X,1564888473,1005199,8343
X,1564888473,1005173,12519
X,1564888474,1004940,7354
X,1564888474,1003844,8898
X,1564888475,1004428,2314
X,1564888476,1004479,1264
P,1564888476,4988
X,1564888476,1004294,946
X,1564888477,1002874,12344
X,1564888477,1004874,4812
X,1564888478,1004621,11226
X,1564888478,1004918,2176
X,1564888479,1004773,812
X,1564888480,1004677,728
X,1564888480,1005912,11698
X,1564888481,1002608,11978
X,1564888481,1004565,3483
X,1564888482,1004797,12871
X,1564888482,1005135,3762
X,1564888483,1004909,1547
X,1564888484,1005078,17289
X,1564888484,1005661,6733
X,1564888485,1003944,13614
X,1564888485,1005261,3327
X,1564888486,1005137,26436
X,1564888486,1004843,3060
X,1564888487,1004829,1397
