5141025,1023700,228
T,1565141025,2932
U,1565141026,56886
X,1565141027,1024781,9587
X,1565141028,1024085,6933
X,1565141028,1023781,23380
X,1565141029,1023886,1164
X,1565141029,1023799,694
X,1565141030,1023792,412
X,1565141030,1023721,937
X,1565141031,1023798,572
X,1565141031,1023771,1062
X,1565141031,1023720,539
X,1565141032,1023754,951
X,1565141032,1023731,797
P,1565141033,4958
X,1565141033,1023638,1604
X,1565141033,1025131,13825
X,1565141034,1023791,6552
X,1565141035,1023776,8805
X,1565141035,1026013,38594
X,1565141036,1023842,1513
X,1565141036,1023902,750
X,1565141037,1023814,22388
X,1565141037,1023748,952
X,1565141038,1023782,352
X,1565141039,1023770,716
X,1565141039,1023697,1821
X,1565141040,1023709,1100
X,1565141040,1023653,20842
X,1565141041,1023864,2345
X,1565141041,1023850,31789
X,1565141042,1023887,1934
X,1565141043,1023827,565
X,1565141043,1023849,805
X,1565141044,1023797,2021
X,1565141044,1023738,954
X,1565141045,1023550,23327
X,1565141045,1023640,2918
X,1565141046,1023539,16716
X,1565141046,1024122,1809
X,1565141047,1023926,678
X,1565141048,1023772,740
X,1565141048,1023738,647
X,1565141049,1023704,657
X,1565141049,1023664,528
X,1565141050,1023688,541
A,1565141050,1023771,262
T,1565141050,2932
U,1565141050,56886
X,1565141052,1023550,27806
X,1565141052,1023911,1922
X,1565141053,1023876,929
X,1565141054,1023870,642
X,1565141054,1023793,2757
X,1565141055,1023627,4964
X,1565141055,1023650,1327
X,1565141056,1023941,19140
X,1565141056,1023642,994
X,1565141057,1023588,19329
X,1565141058,1023794,477
X,1565141058,1023725,544
X,1565141059,1023718,866
X,1565141059,1023719,1365
X,1565141060,1023687,731
X,1565141060,1023910,22744
X,1565141061,1023743,4090
X,1565141062,1023539,19896
X,1565141062,1023778,1044
X,1565141063,1023727,783
P,1565141063,4968
X,1565141063,1023758,743
X,1565141064,1023752,966
X,1565141064,1023543,18085
X,1565141065,1023760,29250
X,1565141065,1023662,3757
X,1565141066,1023619,22431
X,1565141067,1023863,1806
X,1565141067,1023793,467
X,1565141068,1023766,779
X,1565141068,1023666,673
X,1565141069,1023784,861
X,1565141069,1023727,647
X,1565141070,1024494,5834
X,1565141071,1023880,8647
X,1565141071,1023652,18232
X,1565141072,1024160,4961
X,1565141072,1024071,33266
X,1565141072,1024571,5353
X,1565141072,1023942,582
X,1565141073,1023920,828
X,1565141074,1023800,1877
X,1565141074,1023804,1251
X,1565141075,1023702,23335
X,1565141075,1023708,1543
X,1565141076,1023736,23674
X,1565141076,1023917,1116
X,1565141077,1023891,456
X,1565141078,1023822,726
X,1565141078,1023873,771
A,1565141078,1023786,300
T,1565141078,2932
U,1565141079,56886
X,1565141080,1023691,2265
X,1565141081,1023945,31309
X,1565141081,1024537,6293
X,1565141082,1023965,1183
X,1565141082,1023759,903
X,1565141083,1023790,913
X,1565141083,1023879,759
X,1565141084,1023812,862
X,1565141085,1023698,745
X,1565141085,1023567,739
X,1565141086,1023614,581
X,1565141086,1023532,2315
X,1565141087,1023747,29450
X,1565141087,1023701,2210
X,1565141088,1023828,32277
X,1565141089,1023968,1348
X,1565141089,1023895,722
X,1565141090,1023763,1091
X,1565141090,1023792,1273
X,1565141091,1023791,1035
X,1565141091,1023787,26610
X,1565141092,1023408,5984
P,1565141092,4968
X,1565141093,1025328,21792
X,1565141093,1023897,1292
X,1565141094,1023998,5117
X,1565141094,1023806,1646
X,1565141095,1023831,898
X,1565141095,1024304,26275
X,1565141096,1023667,3886
X,1565141097,1023782,21737
X,1565141097,1024145,5496
