H,1552005050,281190
T,1552005050,2788
X,1552005051,668923,1418
X,1552005051,668813,1220
X,1552005052,668958,921
X,1552005052,668207,4608
X,1552005053,668598,7362
X,1552005053,668257,9901
X,1552005054,667311,2791
X,1552005055,667039,3137
X,1552005055,668050,1506
X,1552005056,667287,2198
X,1552005056,668459,1276
X,1552005057,668434,1147
X,1552005057,668374,628
X,1552005058,668460,912
X,1552005059,668390,780
P,1552005059,5150
X,1552005059,668244,1556
X,1552005060,667781,1475
X,1552005060,667813,927
X,1552005061,667916,1325
X,1552005061,667819,1318
X,1552005062,668260,787
X,1552005063,668707,12597
X,1552005063,668185,8893
X,1552005064,668306,1336
X,1552005064,668873,3771
X,1552005065,668426,1781
X,1552005065,669000,1348
X,1552005066,669086,830
X,1552005066,669173,670
X,1552005067,669014,799
X,1552005068,668904,1288
X,1552005068,668036,1052
X,1552005069,668197,1576
X,1552005069,668784,1327
X,1552005070,669068,1061
X,1552005070,669048,1078
X,1552005071,668561,1690
X,1552005072,667947,1336
X,1552005072,668374,1262
X,1552005073,668685,1108
X,1552005073,668203,965
X,1552005074,668469,1025
X,1552005074,668606,1116
X,1552005075,668525,799
X,1552005076,668179,1070
X,1552005076,668567,863
X,1552005077,669130,1359
X,1552005077,668900,1215
X,1552005078,668603,1184
X,1552005078,668656,3191
X,1552005079,670026,5817
X,1552005079,668862,3612
X,1552005080,669036,2139
X,1552005081,669485,1212
X,1552005081,669058,806
X,1552005082,668294,1247
X,1552005082,668298,677
X,1552005083,668399,1519
X,1552005083,668848,1211
X,1552005084,668503,1008
X,1552005085,668266,1240
X,1552005085,667897,1602
X,1552005086,668024,1779
X,1552005086,668057,923
X,1552005087,668625,1504
X,1552005087,668588,1339
X,1552005088,668680,23313
X,1552005089,668778,2018
P,1552005089,5180
X,1552005089,668796,1467
X,1552005090,668706,911
X,1552005090,668834,1686
X,1552005091,669562,4897
X,1552005091,668075,3789
X,1552005092,667234,2526
X,1552005092,669243,4257
X,1552005092,668725,4398
X,1552005093,669945,3858
X,1552005093,670163,2364
X,1552005094,669516,2049
X,1552005094,668920,1086
X,1552005095,668967,1205
X,1552005095,668911,7447
X,1552005096,669788,5186
X,1552005097,668239,956
X,1552005097,668617,1657
X,1552005098,667979,1754
X,1552005098,668995,1363
X,1552005099,669305,1524
X,1552005099,669039,30163
X,1552005100,669948,2326
X,1552005101,669639,1340
X,1552005101,669842,9306
X,1552005102,668294,3349
X,1552005102,668615,2830
X,1552005103,670221,2363
X,1552005103,670475,2222
X,1552005104,668972,3025
X,1552005105,669197,3443
X,1552005105,668550,2302
X,1552005106,669884,1882
X,1552005106,669534,1105
X,1552005107,669591,2101
X,1552005107,669483,2405
X,1552005108,670149,2828
X,1552005109,669733,7025
X,1552005109,667844,17141
X,1552005110,670751,15931
X,1552005110,669250,15450
X,1552005111,668926,15704
X,1552005111,668513,8172
X,1552005112,668480,8283
X,1552005112,667728,5693
X,1552005113,668609,8739
X,1552005114,668333,1423
X,1552005114,668762,1636
X,1552005115,668613,1834
X,1552005115,669255,1193
X,1552005116,668777,2700
X,1552005116,669043,1219
X,1552005117,668693,1260
X,1552005118,668319,7054
P,1552005118,5180
X,1552005118,668882,8923
X,1552005119,669303,2103
X,1552005119,668644,1383
X,1552005120,668760,759
X,1552005120,669297,3651
X,1552005121,667964,3948
X,1552005122,669010,2871
X,1552005122,668710,2130
X,1552005123,668434,1038
X,1552005123,668675,879
X,1552005124,668784,1167
X,1552005124,669238,508
A,1552005124,668592,1425
T,1552005125,2788
X,1552005126,668998,1444
X,1552005127,669470,1204
X,1552005127,668937,1376
X,1552005128,669521,7702
X,1552005129,668815,5496
X,1552005129,669131,3599
X,1552005130,669295,1855
X,1552005130,669342,1745
X,1552005131,669065,2087
X,1552005131,668491,2233
X,1552005132,668798,2645
X,1552005133,669060,6557
X,1552005133,667853,18489
X,1552005133,669020,24568
X,1552005133,670808,9628
X,1552005134,669843,10361
X,1552005134,669958,11377
X,1552005135,668304,5096
X,1552005136,669095,6288
X,1552005136,668744,2987
X,1552005137,668644,1227
X,1552005137,669579,2129
X,1552005138,669184,6350
X,1552005138,669436,6220
X,1552005139,668486,845
X,1552005139,667524,6471
X,1552005140,668247,5090
X,1552005141,668590,1196
X,1552005141,668902,825
X,1552005142,668786,889
X,1552005142,668265,1610
X,1552005143,668130,1521
X,1552005143,667981
