H,1551989653,281190
T,1551989653,2793
X,1551989655,652767,1073
X,1551989656,652800,1264
P,1551989656,5212
X,1551989656,652678,1287
X,1551989657,652858,2231
X,1551989658,652745,1589
X,1551989658,652597,1999
X,1551989659,652527,1077
X,1551989659,652682,1269
X,1551989660,652570,722
X,1551989660,652762,4168
X,1551989661,651987,6902
X,1551989661,652372,2741
X,1551989662,652530,1811
X,1551989663,652703,1127
X,1551989663,652990,784
X,1551989664,652927,4691
X,1551989664,653423,4185
X,1551989665,653560,1385
X,1551989665,653166,2160
X,1551989666,652260,1290
X,1551989667,652697,1407
X,1551989667,652954,1204
X,1551989668,653018,1669
X,1551989668,653324,1599
X,1551989669,653085,1609
X,1551989669,653188,1138
X,1551989670,653367,547
X,1551989670,654538,8448
X,1551989670,651992,10301
X,1551989671,652619,8979
X,1551989671,653383,5870
X,1551989672,653157,10993
X,1551989672,652917,1633
X,1551989673,652681,2704
X,1551989673,652775,1002
X,1551989674,652769,1600
X,1551989675,652483,1846
X,1551989675,652803,1147
X,1551989676,653070,716
X,1551989676,653275,752
X,1551989677,653188,582
X,1551989677,653344,1294
X,1551989678,653068,1218
X,1551989679,653027,1026
X,1551989679,653177,1111
X,1551989680,653065,1373
X,1551989680,652987,1316
X,1551989681,652853,1506
X,1551989681,652660,1192
X,1551989682,652826,1035
X,1551989683,652947,1082
X,1551989683,652833,1332
X,1551989684,653044,1622
X,1551989684,653024,1217
X,1551989685,653044,1426
P,1551989685,5210
X,1551989685,653235,1252
X,1551989686,653619,979
X,1551989687,652602,3595
X,1551989687,651754,1737
X,1551989688,651142,3836
X,1551989688,651547,2455
X,1551989689,650742,2188
X,1551989689,651708,1489
X,1551989690,652457,1454
X,1551989690,652731,822
X,1551989691,652624,1797
X,1551989692,652467,1909
X,1551989692,652472,930
X,1551989693,652726,5003
X,1551989693,653068,1208
X,1551989694,652996,765
X,1551989694,653226,924
X,1551989695,652959,1300
X,1551989696,652585,1872
X,1551989696,652733,577
X,1551989697,652792,443
X,1551989697,652927,1069
X,1551989698,652985,823
X,1551989698,652839,1004
X,1551989699,652628,990
X,1551989700,652426,1696
X,1551989700,652684,1455
X,1551989701,652889,866
X,1551989701,652742,666
X,1551989702,652538,1263
X,1551989702,652691,1054
X,1551989703,652399,853
X,1551989704,652652,1224
X,1551989704,652522,1097
X,1551989705,652584,867
X,1551989705,652748,1237
X,1551989706,653070,1043
X,1551989706,652732,908
A,1551989706,652899,1220
T,1551989706,2793
X,1551989708,652776,1786
X,1551989709,652562,1007
X,1551989709,652419,1010
X,1551989710,652157,1526
X,1551989711,652224,669
X,1551989711,652348,1796
X,1551989711,652293,1728
X,1551989711,652637,1522
X,1551989712,652445,474
X,1551989712,652335,1045
X,1551989713,652177,1333
X,1551989714,652300,1800
X,1551989714,652437,1057
P,1551989714,5211
X,1551989715,652607,871
X,1551989715,652739,795
X,1551989716,652782,623
X,1551989716,652540,1184
X,1551989717,652503,1332
X,1551989717,652770,1479
X,1551989718,652886,1956
X,1551989719,652958,1228
X,1551989719,652915,466
X,1551989720,652779,552
X,1551989720,652808,810
X,1551989721,653124,894
X,1551989721,652702,1797
X,1551989722,652680,1970
X,1551989723,652690,813
X,1551989723,652588,1121
X,1551989724,652741,1253
X,1551989724,652758,1001
X,1551989725,652691,1067
X,1551989725,652661,1468
X,1551989726,652741,1120
X,1551989727,652856,1815
X,1551989727,652898,996
X,1551989728,652779,1253
X,1551989728,652282,5740
X,1551989729,653333,2452
X,1551989729,653166,2000
X,1551989730,652963,1257
X,1551989731,652812,1205
X,1551989731,653035,841
X,1551989732,653094,932
X,1551989732,653183,812
X,1551989733,653388,832
X,1551989733,653521,1687
X,1551989734,653173,2983
X,1551989734,652800,3259
X,1551989735,652668,1144
X,1551989736,652564,916
X,1551989736,652324,665
X,1551989737,652514,1133
X,1551989737,652309,1105
X,1551989738,652327,721
X,1551989738,652009,1518
X,1551989739,652038,6766
X,1551989740,652250,1595
X,1551989740,652405,857
X,1551989741,652789,1231
X,1551989741,652957,1465
X,1551989742,652664,2006
X,1551989742,652811,695
A,1551989742,652757,1164
T,1551989743,2793
X,1551989744,652878,604
P,1551989744,5210
X,1551989745,652803,940
X,1551989746,652887,1414
X,1551989746,652811,1697
X,1551989747,652916,1430
X,1551989747,652868,776
X,1551989748,652884,1129
X,1551989748,652869,1205
