H,1556661969,281190
D,1556661969,374016
D,1556661971,375296
D,1556661974,375040
D,1556661976,366336
D,1556661978,373760
D,1556661979,369920
D,1556661981,374272
D,1556661984,372736
D,1556661986,375040
P,1556661987,5067
D,1556661988,375808
D,1556661990,373760
D,1556661992,375808
D,1556661995,373504
D,1556661997,371200
D,1556661999,374784
D,1556662001,374272
D,1556662003,369920
D,1556662006,373248
D,1556662008,371712
D,1556662010,371712
D,1556662012,361216
D,1556662014,373504
D,1556662017,370944
P,1556662017,5068
D,1556662019,369664
D,1556662020,370944
D,1556662022,372992
D,1556662024,370944
D,1556662027,374784
D,1556662029,374016
D,1556662031,374784
D,1556662033,370432
D,1556662035,373760
D,1556662038,372480
D,1556662040,374272
D,1556662042,374272
D,1556662044,366080
D,1556662046,371200
P,1556662046,5069
D,1556662049,360448
D,1556662051,360448
D,1556662053,376576
R,1556662053,700D9CE41
X,1556662055,566532,7082
X,1556662055,583930,24426
X,1556662056,583328,21110
X,1556662056,584620,17985
X,1556662057,583893,13663
X,1556662058,585031,14758
X,1556662058,584160,27044
X,1556662059,585235,19652
X,1556662059,585673,14406
X,1556662060,585900,7781
X,1556662060,585275,4903
X,1556662060,585477,19857
X,1556662061,585413,5263
X,1556662061,585026,8555
X,1556662062,584985,6426
X,1556662062,586607,3523
X,1556662063,586896,3641
X,1556662063,584735,7662
X,1556662064,585057,12833
X,1556662065,586233,10435
X,1556662065,586517,14763
X,1556662066,587091,12845
X,1556662066,586865,5829
X,1556662067,586783,6532
X,1556662067,586910,2633
X,1556662068,586900,4063
X,1556662069,586163,6964
X,1556662069,585789,4091
X,1556662070,586146,1943
X,1556662070,587031,4048
X,1556662071,586278,4860
X,1556662071,585965,16407
X,1556662072,584830,10647
X,1556662072,586151,5963
X,1556662073,586448,5908
X,1556662074,586499,4310
X,1556662074,585641,2923
X,1556662075,586109,3549
X,1556662075,586247,6664
P,1556662076,5063
X,1556662076,584594,10125
X,1556662076,586122,13677
X,1556662077,584518,6799
X,1556662078,583404,7093
X,1556662078,583333,5048
X,1556662079,582785,3417
X,1556662079,582517,5600
X,1556662080,584252,5369
X,1556662080,582554,9100
X,1556662081,582101,8479
X,1556662082,583075,6807
X,1556662082,583846,5750
X,1556662083,581469,5897
X,1556662083,581334,1491
X,1556662084,581620,3516
X,1556662084,580710,6259
X,1556662085,577636,5676
X,1556662086,580344,14450
X,1556662086,582632,10713
X,1556662087,584673,12721
X,1556662087,585310,13651
X,1556662088,578892,9838
X,1556662088,575664,12864
X,1556662089,580506,4531
X,1556662089,581032,7173
X,1556662090,578729,7490
X,1556662091,581609,11824
X,1556662091,580447,11196
X,1556662092,584720,7737
X,1556662092,587407,13022
X,1556662093,586647,10041
X,1556662093,587322,4680
X,1556662094,588472,5942
X,1556662095,587980,2837
X,1556662095,588761,8351
X,1556662096,587960,7549
X,1556662096,588141,9111
X,1556662097,587577,11706
X,1556662097,588128,4118
X,1556662098,587585,5613
X,1556662099,589284,6814
X,1556662099,589915,10881
X,1556662100,589096,11689
X,1556662100,588544,4270
X,1556662101,588268,7867
X,1556662101,588446,3496
X,1556662101,587535,9825
X,1556662101,588414,5406
X,1556662102,589124,3954
X,1556662103,588509,5462
X,1556662103,588469,7247
X,1556662104,589730,6801
X,1556662104,590558,9304
P,1556662105,5061
X,1556662105,590697,3038
X,1556662105,590033,3938
X,1556662106,590940,3112
X,1556662107,590429,3639
X,1556662107,590975,5554
X,1556662108,590451,6816
X,1556662108,590626,6752
X,1556662109,589275,9660
X,1556662109,590094,7442
X,1556662110,590211,4506
X,1556662111,589613,4400
X,1556662111,589487,5973
X,1556662112,587754,4960
X,1556662112,587901,5935
X,1556662113,589403,5866
X,1556662113,590803,3313
X,1556662114,589045,26185
X,1556662115,589509,6006
X,1556662115,591307,2979
X,1556662116,592258,1650
X,1556662116,591307,8291
X,1556662117,591537,3431
X,1556662117,591359,13427
X,1556662118,592404,1318
X,1556662118,592343,1857
X,1556662119,592174,1504
X,1556662120,592011,1734
X,1556662120,590501,4136
X,1556662121,590564,8508
X,1556662121,591800,2625
X,1556662122,592107,5474
X,1556662122,591590,6773
X,1556662123,589746,6310
X,1556662124,591522,18508
X,1556662124,591215,14965
X,1556662125,591701,4318
X,1556662125,590171,10081
X,1556662126,592223,2722
X,1556662126,591884,4696
X,1556662127,593020,2426
X,1556662128,592450,2121
X,1556662128,591911,6887
X,1556662129,591618,1417
X,1556662129,591797,11287
X,1556662130,591517,6567
X,1556662130,592253,2859
X,1556662131,592232,7629
