H,1552967985,281190
U,1552967985,0
X,1552967987,720512,1899
X,1552967987,720548,901
X,1552967988,720466,1023
X,1552967988,720519,1091
X,1552967988,720653,1512
X,1552967989,720686,1599
X,1552967989,720757,1034
X,1552967990,720734,1155
X,1552967990,720749,1225
X,1552967991,720667,1130
X,1552967991,720540,1392
X,1552967992,720767,1235
X,1552967993,720695,1057
X,1552967993,720909,942
X,1552967994,719869,1455
X,1552967994,720253,2579
X,1552967995,719780,1417
X,1552967995,719565,1711
X,1552967996,719818,1295
X,1552967997,719974,1144
X,1552967997,720128,1206
X,1552967998,720414,1004
X,1552967998,720389,1947
X,1552967999,720431,832
X,1552967999,720435,1484
X,1552968000,720330,1153
X,1552968001,720292,1736
X,1552968001,720241,1119
X,1552968002,720162,1213
X,1552968002,720136,1203
X,1552968003,720180,1124
X,1552968003,720065,2262
X,1552968004,720200,996
X,1552968005,720206,1297
X,1552968005,720363,1771
X,1552968006,720458,1224
X,1552968006,720426,1389
X,1552968007,720467,1792
X,1552968007,720543,1225
X,1552968008,720520,1613
X,1552968008,720576,807
X,1552968009,720584,1285
X,1552968010,720457,1561
X,1552968010,720503,1663
P,1552968011,5097
X,1552968011,720436,1069
X,1552968011,720502,667
X,1552968012,720495,3708
X,1552968012,720313,4684
X,1552968013,720202,2195
X,1552968014,720232,1440
X,1552968014,720153,1333
X,1552968015,720026,1258
X,1552968015,720006,1078
X,1552968016,720473,1433
X,1552968016,719915,2234
X,1552968017,719015,3714
X,1552968018,720486,1116
X,1552968018,719940,1466
X,1552968019,719658,1452
X,1552968019,719773,1542
X,1552968020,719836,905
X,1552968020,719967,1642
X,1552968021,720079,893
X,1552968022,720040,1106
X,1552968022,720079,1193
X,1552968023,720115,1519
X,1552968023,719937,1732
X,1552968024,720195,1060
X,1552968024,720218,1730
X,1552968025,720162,1353
X,1552968025,720370,1922
X,1552968026,720426,845
X,1552968027,720454,1157
X,1552968027,720346,944
X,1552968028,720138,1343
X,1552968028,720181,1411
X,1552968029,720215,936
X,1552968029,720282,1739
X,1552968029,720224,980
X,1552968030,720021,14115
X,1552968030,719293,3012
X,1552968031,717967,2377
X,1552968031,717614,2493
X,1552968032,719375,1265
X,1552968032,720043,1601
X,1552968033,718748,8116
X,1552968034,716158,8990
X,1552968034,718329,3664
X,1552968035,718061,4706
X,1552968035,719380,1570
X,1552968036,719749,1780
X,1552968036,719688,1126
X,1552968037,719718,1367
X,1552968037,719931,1620
X,1552968038,720005,1831
X,1552968039,719902,1177
X,1552968039,720004,923
P,1552968040,5095
X,1552968040,719955,1276
X,1552968040,719757,1507
X,1552968041,719796,1514
X,1552968041,719701,1444
X,1552968042,719871,1176
X,1552968043,719886,957
X,1552968043,719629,1276
X,1552968044,719539,1038
X,1552968044,719315,1077
X,1552968045,719244,1087
X,1552968045,719429,1268
X,1552968046,719413,967
X,1552968047,719477,1341
X,1552968047,719775,1229
X,1552968048,719588,1068
X,1552968048,719814,1063
X,1552968049,719477,1411
X,1552968049,719745,1581
X,1552968050,719862,3963
X,1552968051,720143,1992
X,1552968051,720218,966
X,1552968052,720192,1109
X,1552968052,720184,1608
X,1552968053,720157,1264
X,1552968053,720156,1121
X,1552968054,720253,1388
X,1552968054,720198,1377
X,1552968055,720294,1097
X,1552968056,720386,1285
X,1552968056,720351,1376
X,1552968057,720284,1599
X,1552968057,720254,985
X,1552968058,719926,1448
X,1552968058,719866,1196
X,1552968059,719652,1500
X,1552968060,719587,1316
X,1552968060,719928,1304
X,1552968061,720182,1115
X,1552968061,720149,1075
X,1552968062,720234,2025
X,1552968062,720086,1466
X,1552968063,720468,1281
X,1552968064,720321,1285
X,1552968064,720226,966
X,1552968065,720121,1403
X,1552968065,720322,982
X,1552968066,720135,1729
X,1552968066,720223,1281
X,1552968067,720398,1136
X,1552968067,720230,1343
X,1552968068,720391,1296
X,1552968069,720215,1836
X,1552968069,720059,3367
P,1552968070,5095
X,1552968070,720265,1649
X,1552968070,720201,1619
X,1552968070,720149,1737
X,1552968070,720118,1395
X,1552968071,720240,1110
X,1552968072,720111,1062
X,1552968072,720080,1334
X,1552968073,720255,1184
X,1552968073,719972,1153
X,1552968074,720185,1474
X,1552968074,720276,1326
X,1552968075,720014,1410
X,1552968076,720053,1536
X,1552968076,720059,1689
X,1552968077,720534,9068
X,1552968077,720204,3016
X,1552968078,720260,1239
