H,1551914726,281190
P,1551914726,5264
P,1551914755,5266
P,1551914785,5265
P,1551914815,5267
P,1551914844,5267
P,1551914874,5267
P,1551914903,5268
P,1551914932,5267
P,1551914961,5267
P,1551914991,5267
P,1551915020,5269
P,1551915049,5265
P,1551915079,5268
P,1551915109,5268
P,1551915138,5268
P,1551915167,5268
P,1551915197,5267
P,1551915226,5269
P,1551915255,5269
P,1551915285,5269
P,1551915314,5268
P,1551915343,5268
P,1551915372,5269
P,1551915403,5269
P,1551915432,5267
P,1551915461,5269
P,1551915491,5269
P,1551915520,5269
P,1551915549,5267
P,1551915578,5269
P,1551915608,5267
P,1551915637,5267
P,1551915666,5269
P,1551915696,5268
P,1551915726,5269
P,1551915755,5269
P,1551915784,5268
P,1551915814,5270
P,1551915843,5269
P,1551915872,5269
P,1551915901,5267
P,1551915931,5270
P,1551915960,5267
P,1551915990,5268
P,1551916020,5268
D,1551916028,420608
D,1551916030,409344
D,1551916032,427776
R,1551916032,700D9CE41
R,1551916032,700D9CE41
X,1551916034,636692,7853
X,1551916034,636029,56500
X,1551916035,634809,19046
X,1551916036,635264,18272
X,1551916036,634966,9323
X,1551916037,639296,6752
X,1551916037,642578,13399
X,1551916038,644030,5040
X,1551916038,643539,7558
X,1551916039,644358,4582
X,1551916039,644566,2289
X,1551916040,645073,2627
X,1551916041,645120,2957
X,1551916041,645716,8206
X,1551916042,644844,13134
X,1551916042,645573,31416
X,1551916043,645728,5765
X,1551916043,645659,3426
X,1551916044,645784,1625
X,1551916045,645397,2019
X,1551916045,645114,2422
X,1551916046,644934,2753
X,1551916046,644340,2174
X,1551916047,643752,4730
X,1551916047,643565,2489
X,1551916048,643410,1665
X,1551916049,642478,2656
P,1551916049,5260
X,1551916049,642315,1676
X,1551916050,641925,2242
X,1551916050,641389,2505
X,1551916051,641134,7793
X,1551916051,640180,3390
X,1551916052,639873,4226
X,1551916053,640287,3600
X,1551916053,641051,2264
X,1551916054,640757,3212
X,1551916054,640693,3545
X,1551916055,640170,2685
X,1551916055,639627,3781
X,1551916056,639207,2791
X,1551916056,639136,2679
X,1551916057,639461,4229
X,1551916058,639055,5325
X,1551916058,638909,7160
X,1551916059,639046,1618
X,1551916059,638989,4266
X,1551916060,639009,3644
X,1551916060,636826,20471
X,1551916061,640396,12116
X,1551916062,638445,3196
X,1551916062,639318,7492
X,1551916063,638546,3273
X,1551916063,638230,51596
X,1551916064,637597,9551
X,1551916064,638890,6258
X,1551916065,643929,3633
X,1551916065,644140,4118
X,1551916065,644033,3582
X,1551916066,643515,3187
X,1551916066,643530,4317
X,1551916067,647154,5203
X,1551916067,646656,8726
X,1551916068,646052,3414
X,1551916069,648348,3261
X,1551916069,648963,3547
X,1551916070,647551,2760
X,1551916070,648128,3560
X,1551916071,647768,4287
X,1551916071,647173,2908
X,1551916072,645953,2833
X,1551916072,642601,2150
X,1551916073,640001,2791
X,1551916074,638569,2782
X,1551916074,637537,3786
X,1551916075,636660,3419
X,1551916075,635239,3009
X,1551916076,633273,3227
X,1551916076,631738,2966
X,1551916077,631004,4757
X,1551916078,633524,2903
P,1551916078,5262
X,1551916078,633592,3473
X,1551916079,633148,2629
X,1551916079,632245,4531
X,1551916080,633041,5981
X,1551916080,629557,36692
X,1551916081,639841,6731
X,1551916082,639974,3929
X,1551916082,638918,5377
X,1551916083,635145,5877
X,1551916083,634376,6716
X,1551916084,631695,13683
X,1551916084,631192,6189
X,1551916085,629206,3446
X,1551916086,631756,3339
X,1551916086,631210,3072
X,1551916087,629171,3832
X,1551916087,627889,3496
X,1551916088,626681,2451
X,1551916088,625135,3700
X,1551916089,630603,3595
X,1551916089,629733,3004
X,1551916090,629023,3246
X,1551916091,627975,3137
X,1551916091,627156,3111
X,1551916092,631101,11018
X,1551916092,633657,3068
X,1551916093,632695,3579
X,1551916093,634693,10037
X,1551916094,642225,4096
X,1551916095,643656,2743
X,1551916095,643674,3072
X,1551916096,644096,3441
X,1551916096,645116,7273
X,1551916097,644782,6679
X,1551916097,645167,8762
X,1551916098,645363,9684
X,1551916099,646705,3137
X,1551916099,647063,11525
X,1551916100,648896,3649
X,1551916100,648932,3769
X,1551916101,648768,2097
X,1551916101,649034,1687
X,1551916102,649753,4147
X,1551916102,649461,5580
X,1551916103,650772,17071
X,1551916104,650452,8799
X,1551916104,651105,3465
X,1551916105,651131,2332
X,1551916105,651139,1866
X,1551916106,651339,2772
X,1551916106,651698,2560
X,1551916106,651937,2276
X,1551916107,653122,7456
P,1551916107,5260
X,1551916107,651994,8580
