H,1556324424,281190
T,1556324424,2810
X,1556324426,672307,1809
X,1556324427,672209,3082
X,1556324427,672295,1278
X,1556324428,672204,930
X,1556324428,672216,783
X,1556324429,672159,576
X,1556324429,672286,692
X,1556324430,672325,831
X,1556324431,672260,677
X,1556324431,672221,885
X,1556324432,672289,905
X,1556324432,672187,745
X,1556324433,672187,1185
X,1556324433,672127,836
X,1556324434,672145,689
X,1556324434,672114,824
X,1556324434,672270,289
X,1556324435,672194,496
X,1556324435,672142,1073
X,1556324436,672135,1225
X,1556324436,672185,927
X,1556324437,672320,592
X,1556324438,672351,761
X,1556324438,672342,1417
X,1556324439,672286,1528
X,1556324439,672316,548
X,1556324440,672392,754
P,1556324440,5051
X,1556324440,672454,659
A,1556324440,672250,340
T,1556324441,2810
X,1556324442,672138,1739
X,1556324443,672407,1251
X,1556324443,672424,509
X,1556324444,672201,792
X,1556324445,672305,978
X,1556324445,672218,1369
X,1556324446,672208,851
X,1556324446,672312,1007
X,1556324447,672417,596
X,1556324447,672484,1171
X,1556324448,672463,1452
X,1556324449,672440,1143
X,1556324449,672468,1267
X,1556324450,672545,1853
X,1556324450,672651,1295
X,1556324451,672692,2278
X,1556324451,672316,6589
X,1556324452,672701,2983
X,1556324453,672496,1147
X,1556324453,672463,1456
X,1556324454,672371,1678
X,1556324454,672167,1618
X,1556324455,672246,1222
X,1556324455,672212,1220
X,1556324456,671977,6429
X,1556324456,672408,2491
X,1556324457,672365,2238
X,1556324458,672089,910
X,1556324458,671992,1352
X,1556324459,672146,1206
X,1556324459,672297,1663
X,1556324460,672283,1255
X,1556324460,672224,459
X,1556324461,672252,568
X,1556324462,672609,1539
X,1556324462,671700,2244
X,1556324463,671977,4416
X,1556324463,672125,1031
X,1556324464,671854,17418
X,1556324464,672052,2021
X,1556324465,672055,683
X,1556324466,672171,700
X,1556324466,672231,784
X,1556324467,672265,1052
X,1556324467,672289,1260
X,1556324468,672393,987
X,1556324468,672248,1282
X,1556324469,672236,1236
X,1556324470,672270,975
X,1556324470,672171,499
P,1556324470,5049
X,1556324471,672159,960
X,1556324471,672313,1342
X,1556324472,672305,1540
X,1556324472,672433,1222
X,1556324473,672391,978
X,1556324473,672343,922
X,1556324474,672439,727
X,1556324475,672534,1093
X,1556324475,672369,1242
X,1556324475,672311,4546
X,1556324475,672428,1153
X,1556324476,672449,577
X,1556324476,672454,792
A,1556324476,672282,399
T,1556324477,2810
X,1556324478,672368,716
X,1556324479,672306,749
X,1556324480,672282,1536
X,1556324480,672330,1677
X,1556324481,672484,1069
X,1556324481,672651,775
X,1556324482,672773,936
X,1556324482,672666,619
X,1556324483,672474,789
X,1556324484,672286,1684
X,1556324484,672447,2037
X,1556324485,672444,2126
X,1556324485,672614,853
X,1556324486,672607,1153
X,1556324486,672646,1310
X,1556324487,672614,1257
X,1556324487,672478,988
X,1556324488,672572,719
X,1556324489,672601,782
X,1556324489,672609,1197
X,1556324490,672540,2052
X,1556324490,672622,1820
X,1556324491,672500,1164
X,1556324491,672526,1037
X,1556324492,672423,1079
X,1556324493,672529,1303
X,1556324493,672643,2282
X,1556324494,672671,1286
X,1556324494,672694,1142
X,1556324495,672668,1168
X,1556324495,672362,835
X,1556324496,672180,1050
X,1556324497,672178,959
X,1556324497,672340,335
X,1556324498,672401,869
X,1556324498,672347,1063
X,1556324499,672423,1257
X,1556324499,672582,489
P,1556324499,5048
X,1556324500,672451,1281
X,1556324500,672543,1374
X,1556324501,672505,749
X,1556324502,672481,642
X,1556324502,672397,835
X,1556324503,672480,732
X,1556324503,672381,1167
X,1556324504,672490,578
A,1556324504,672485,595
T,1556324504,2810
X,1556324506,672545,1802
X,1556324506,672539,1178
X,1556324507,672610,1355
X,1556324508,672839,563
X,1556324508,672697,1179
X,1556324509,672586,969
X,1556324509,672703,1464
X,1556324510,672805,1208
X,1556324510,672932,1487
X,1556324511,672523,948
X,1556324512,672929,1193
X,1556324512,672827,1637
X,1556324513,672725,1440
X,1556324513,672738,763
X,1556324514,672861,864
X,1556324514,672834,914
X,1556324515,672964,1194
X,1556324515,672939,1568
X,1556324516,672940,1605
X,1556324516,672822,872
X,1556324516,672685,997
X,1556324517,672589,1176
X,1556324517,672577,843
X,1556324518,672641,1548
X,1556324518,672661,1207
X,1556324519,672378,3633
