H,1553797736,281190
P,1553797736,5131
P,1553797765,5130
P,1553797795,5131
P,1553797825,5130
P,1553797854,5131
P,1553797883,5132
D,1553797889,421632
D,1553797891,418816
D,1553797894,416768
D,1553797896,418304
D,1553797898,426240
D,1553797900,421632
D,1553797902,419840
D,1553797905,417024
D,1553797907,418304
D,1553797909,416512
D,1553797911,419840
P,1553797913,5132
D,1553797913,414720
D,1553797916,418304
D,1553797918,404224
D,1553797920,414208
D,1553797921,414720
D,1553797923,413696
D,1553797926,411136
D,1553797928,420096
D,1553797930,415232
D,1553797932,418560
D,1553797934,418816
D,1553797937,416000
D,1553797939,415744
D,1553797941,413440
P,1553797942,5130
D,1553797943,416256
D,1553797945,413952
D,1553797948,417536
D,1553797950,416512
D,1553797952,419072
D,1553797954,417792
D,1553797956,417024
D,1553797959,418304
R,1553797959,700D9CE41
X,1553797960,633396,7852
X,1553797961,633931,2032
X,1553797961,632164,3922
X,1553797961,633117,3967
X,1553797962,634226,3448
X,1553797962,634486,30663
X,1553797963,632696,4757
X,1553797963,633784,2977
X,1553797964,634182,4057
X,1553797965,635326,2853
X,1553797965,633456,4487
X,1553797966,632596,4076
X,1553797966,633541,1293
X,1553797967,634618,3961
X,1553797967,632091,5464
X,1553797968,630071,10522
X,1553797969,629719,9908
X,1553797969,629912,16462
X,1553797970,631373,5338
X,1553797970,632945,4544
X,1553797971,630324,2531
P,1553797971,5123
X,1553797971,634367,5085
X,1553797972,634531,4045
X,1553797972,633812,2560
X,1553797973,633726,2057
X,1553797974,630497,7024
X,1553797974,633014,3257
X,1553797975,632179,4373
X,1553797975,632159,4970
X,1553797976,636906,3142
X,1553797976,635062,5251
X,1553797977,629813,10875
X,1553797978,627717,7401
X,1553797978,630459,5546
X,1553797979,631155,4624
X,1553797979,632383,3253
X,1553797980,634890,4751
X,1553797980,629696,12573
X,1553797981,627533,12976
X,1553797982,631177,10523
X,1553797982,631391,4044
X,1553797983,632067,3818
X,1553797983,632130,7020
X,1553797984,626811,8312
X,1553797984,625972,9426
X,1553797985,633245,9277
X,1553797986,636414,2219
X,1553797986,636179,2471
X,1553797987,635304,2743
X,1553797987,635485,3205
X,1553797988,635619,3883
X,1553797988,634402,6588
X,1553797989,633039,2474
X,1553797989,635601,2997
X,1553797990,636991,1607
X,1553797991,635161,3730
X,1553797991,632575,6039
X,1553797992,635681,3276
X,1553797992,634520,3842
X,1553797993,634104,2870
X,1553797993,634602,3288
X,1553797994,633169,4540
X,1553797995,632958,7529
X,1553797995,626970,11183
X,1553797996,632249,7783
X,1553797996,630494,3869
X,1553797997,627280,11725
X,1553797997,628716,9509
X,1553797998,628557,8561
X,1553797999,632607,8266
X,1553797999,635226,1906
X,1553798000,636189,4224
X,1553798000,636267,2926
X,1553798001,637292,1182
P,1553798001,5122
X,1553798001,635743,1639
X,1553798002,634383,4255
X,1553798002,629345,18591
X,1553798002,627159,10381
X,1553798003,624555,12188
X,1553798003,629865,7050
X,1553798004,630326,3324
X,1553798004,631473,2798
X,1553798005,634353,2802
X,1553798005,635350,2159
X,1553798006,634299,4256
X,1553798007,636446,3480
X,1553798007,635708,4079
X,1553798008,631505,3498
X,1553798008,632593,1472
X,1553798009,633278,2829
X,1553798009,632566,7565
X,1553798010,633530,6778
X,1553798011,633946,3131
X,1553798011,634887,3369
X,1553798012,634634,2261
X,1553798012,632554,4930
X,1553798013,634698,4410
X,1553798013,634845,3288
X,1553798014,634663,6309
X,1553798015,634368,4429
X,1553798015,635520,7135
X,1553798016,637707,3788
X,1553798016,636913,6984
X,1553798017,636802,24340
X,1553798017,634224,7821
X,1553798018,632775,4058
X,1553798018,633789,3880
X,1553798019,635264,2734
X,1553798020,636394,1336
X,1553798020,634981,11274
X,1553798021,630964,5979
X,1553798021,633010,4022
X,1553798022,634223,3618
X,1553798022,635441,5748
X,1553798023,634712,3351
X,1553798024,634719,3431
X,1553798024,632634,4585
X,1553798025,630915,2907
X,1553798025,630859,5032
X,1553798026,633398,4232
X,1553798026,629189,3838
X,1553798027,631100,3372
X,1553798028,633036,9203
X,1553798028,632104,6936
X,1553798029,630601,23494
X,1553798029,629551,19679
X,1553798030,631043,8569
P,1553798030,5122
X,1553798030,632896,8574
X,1553798031,630305,6213
X,1553798032,633174,4811
X,1553798032,633887,6299
X,1553798033,636483,2524
X,1553798033,637693,1043
X,1553798034,637768,1219
X,1553798034,636399,4937
X,1553798035,633432,15822
X,1553798035,626216,13153
X,1553798036,631660,10010
X,1553798037,634360,5274
