H,1552173709,281190
T,1552173709,2812
X,1552173710,687680,18528
X,1552173711,687959,3060
X,1552173711,687933,1762
X,1552173712,686834,20816
X,1552173713,688228,1282
X,1552173713,688105,2690
X,1552173714,688026,1204
X,1552173714,688062,36197
P,1552173715,5147
X,1552173715,688229,23323
X,1552173715,688988,24938
X,1552173716,688757,25495
X,1552173717,688180,3476
X,1552173717,688191,1215
X,1552173718,688138,1683
X,1552173718,688155,956
X,1552173719,688358,1055
X,1552173719,688294,2840
X,1552173720,688193,38204
X,1552173721,688094,19515
X,1552173721,688155,1775
X,1552173722,688202,1534
X,1552173722,688331,3642
X,1552173722,688497,28524
X,1552173722,688250,22291
X,1552173723,688260,1540
X,1552173723,688533,30271
X,1552173724,688919,13567
X,1552173725,688328,33423
X,1552173725,688461,19495
X,1552173726,688328,2242
X,1552173726,688172,26461
X,1552173727,688316,18782
X,1552173727,688357,1399
X,1552173728,688283,1205
X,1552173729,688385,24580
X,1552173729,688477,17063
X,1552173730,688321,1415
X,1552173730,688390,1133
X,1552173731,688197,1366
X,1552173731,688032,30956
X,1552173732,688376,21120
X,1552173733,688203,2701
X,1552173733,688193,1207
X,1552173734,687958,1204
X,1552173734,688230,1490
X,1552173735,688267,23400
X,1552173735,688276,17579
X,1552173736,688283,1620
X,1552173737,688201,23816
X,1552173737,688191,16982
X,1552173738,688200,1880
X,1552173738,688172,1296
X,1552173739,686002,23198
X,1552173739,688033,3171
X,1552173740,688320,21852
X,1552173740,687988,17025
X,1552173741,687961,2454
X,1552173742,688142,1146
X,1552173742,688239,778
X,1552173743,688408,2565
X,1552173743,688347,25305
P,1552173744,5148
X,1552173744,688110,20236
X,1552173744,688182,973
X,1552173745,688034,929
X,1552173746,687858,1477
X,1552173746,688762,37378
X,1552173747,688965,20993
X,1552173747,688666,1324
X,1552173748,688574,1218
X,1552173748,688467,683
X,1552173749,688502,1095
X,1552173750,688442,2355
X,1552173750,688447,25702
X,1552173751,688658,20103
X,1552173751,689312,15244
X,1552173752,689019,13165
X,1552173752,688491,1375
X,1552173753,688393,1222
X,1552173753,688477,1496
X,1552173754,688228,2787
X,1552173755,688468,25536
X,1552173755,688110,27221
X,1552173756,688305,1124
X,1552173756,689766,12281
X,1552173757,688949,18856
X,1552173757,688488,2963
X,1552173758,688408,24784
X,1552173759,688419,21811
X,1552173759,688205,5207
X,1552173760,688287,858
X,1552173760,688022,3199
X,1552173761,688223,1501
X,1552173761,688125,1361
X,1552173762,688321,30981
X,1552173763,688120,16466
X,1552173763,687805,33922
X,1552173763,687790,21155
X,1552173763,688216,2850
X,1552173764,688267,1331
X,1552173764,687887,1670
X,1552173765,688147,1085
X,1552173766,688075,883
X,1552173766,687710,22151
X,1552173767,688027,15776
X,1552173767,688290,1181
X,1552173768,688406,23141
X,1552173768,688058,20024
X,1552173769,688119,1751
X,1552173769,688308,1238
X,1552173770,688183,1149
X,1552173771,688365,1018
X,1552173771,687749,27298
X,1552173772,689495,14335
X,1552173772,688203,1843
P,1552173773,5148
X,1552173773,688236,796
X,1552173773,689947,16868
X,1552173774,688090,27787
X,1552173775,688109,5118
X,1552173775,688266,1368
X,1552173776,688225,519
X,1552173776,688082,2176
X,1552173777,688100,1200
X,1552173777,686183,18000
X,1552173778,688891,9853
X,1552173779,688154,1827
X,1552173779,688079,898
X,1552173780,688096,1365
X,1552173780,687854,30547
X,1552173781,688038,18125
X,1552173781,688100,2469
X,1552173782,688184,1434
X,1552173783,688196,1059
X,1552173783,688128,2833
X,1552173784,688077,35603
X,1552173784,688137,20731
X,1552173785,688084,1518
X,1552173785,687854,594
X,1552173786,686015,20748
X,1552173786,688034,2934
X,1552173787,688223,748
X,1552173788,686085,19495
X,1552173788,688091,942
X,1552173789,687879,21160
X,1552173789,687744,19674
X,1552173790,688066,1733
X,1552173790,688122,1197
X,1552173791,687902,2971
X,1552173792,688385,27349
X,1552173792,688209,5574
X,1552173793,687981,1937
X,1552173793,687618,32359
X,1552173794,688172,3047
X,1552173794,688204,1973
X,1552173795,688127,27419
X,1552173796,688138,12643
X,1552173796,687896,1004
X,1552173797,688194,1146
X,1552173797,688467,943
X,1552173798,687931,2648
X,1552173798,688312,1392
X,1552173799,688352,1422
X,1552173799,688482,1040
X,1552173800,688198,922
X,1552173801,688441,29179
X,1552173801,688286,19265
X,1552173802,688572,37593
X,1552173802,688380,19285
