H,1559527385,400700
P,1559527385,5162
P,1559527415,5159
P,1559527444,5160
P,1559527473,5160
P,1559527502,5160
D,1559527509,465408
D,1559527511,462592
D,1559527514,461056
D,1559527516,462336
D,1559527518,455424
D,1559527520,461312
D,1559527522,463360
D,1559527525,467200
D,1559527527,461056
D,1559527529,454656
D,1559527531,462080
P,1559527533,5160
D,1559527533,461568
D,1559527536,461824
D,1559527538,454400
D,1559527539,462336
D,1559527541,462080
D,1559527543,462336
D,1559527546,462592
D,1559527548,470016
D,1559527550,462336
D,1559527552,462080
D,1559527554,461312
D,1559527557,462080
R,1559527557,000000000
X,1559527559,696768,13782
X,1559527559,693511,2624
X,1559527560,694550,6476
X,1559527560,694516,2244
X,1559527561,695432,5829
X,1559527561,695117,1872
P,1559527562,5152
X,1559527562,694968,3983
X,1559527562,695883,2796
X,1559527563,691842,6196
X,1559527564,702324,1433
X,1559527564,699723,3314
X,1559527565,701363,14052
X,1559527565,698984,8526
X,1559527566,700760,5263
X,1559527566,703867,28124
X,1559527567,704751,5157
X,1559527568,704866,1816
X,1559527568,705396,1588
X,1559527569,705827,1607
X,1559527569,706822,7235
X,1559527570,706243,14038
X,1559527570,705935,20672
X,1559527571,707007,27466
X,1559527572,706948,5588
X,1559527572,707364,3561
X,1559527573,708033,5458
X,1559527573,707837,9367
X,1559527574,705839,22192
X,1559527574,706483,2000
X,1559527575,705680,1804
X,1559527576,704859,2554
X,1559527576,704306,2179
X,1559527577,703183,1704
X,1559527577,701549,15891
X,1559527578,696640,4390
X,1559527578,695021,10291
X,1559527579,709075,3882
X,1559527579,711185,2252
X,1559527580,711395,6499
X,1559527580,712014,14680
X,1559527580,711853,10244
X,1559527581,712747,19623
X,1559527581,712845,18490
X,1559527582,713538,7041
X,1559527582,714672,27820
X,1559527583,715003,26402
X,1559527584,715440,11128
X,1559527584,715539,18229
X,1559527585,716295,20051
X,1559527585,715979,10198
X,1559527586,716564,4062
X,1559527586,716512,3264
X,1559527587,716920,1587
X,1559527588,716860,3250
X,1559527588,717166,2016
X,1559527589,717304,1466
X,1559527589,717378,2937
X,1559527590,717455,3738
X,1559527590,717851,1671
P,1559527591,5154
X,1559527591,717871,2127
X,1559527592,718447,10144
X,1559527592,718345,13541
X,1559527593,718643,13961
X,1559527593,719809,17855
X,1559527594,719819,21238
X,1559527594,719805,20259
X,1559527595,718884,13721
X,1559527595,718655,2000
X,1559527596,718832,18317
X,1559527597,718742,13479
X,1559527597,719161,2426
X,1559527598,719153,1999
X,1559527598,719510,1558
X,1559527599,719501,1926
X,1559527599,719489,2949
X,1559527600,720483,7246
X,1559527601,719952,18763
X,1559527601,719990,4832
X,1559527602,719948,1201
X,1559527602,720024,1610
X,1559527603,720151,3333
X,1559527603,719871,1726
X,1559527604,720034,1459
X,1559527605,720110,2123
X,1559527605,719937,1434
X,1559527606,719866,2105
X,1559527606,720061,2243
X,1559527607,720093,6432
X,1559527607,719915,3672
X,1559527608,720220,1822
X,1559527609,720219,1643
X,1559527609,720098,16118
X,1559527610,822695,29271
X,1559527610,1057599,64318
X,1559527611,1058580,56895
X,1559527611,1036279,22848
X,1559527612,1066795,45377
X,1559527612,1067948,4333
X,1559527613,879234,62154
X,1559527614,701675,20113
X,1559527614,695849,64950
X,1559527615,714059,56041
X,1559527615,711432,12439
X,1559527616,711391,2708
X,1559527616,712221,10144
X,1559527617,712317,12199
X,1559527618,711657,1957
X,1559527618,711667,2669
X,1559527619,711748,9967
X,1559527619,711732,2218
X,1559527620,711747,1858
X,1559527620,712009,2350
P,1559527621,5154
X,1559527621,712152,4941
X,1559527621,711925,1720
X,1559527621,711937,3366
X,1559527622,712170,1721
X,1559527622,712227,2812
X,1559527623,712088,2057
X,1559527623,711989,2240
X,1559527624,712212,2426
X,1559527625,712123,2800
X,1559527625,711643,6117
X,1559527626,712312,3846
X,1559527626,711256,47745
X,1559527627,714650,17402
X,1559527627,710316,29196
X,1559527628,711776,52112
X,1559527628,711111,9557
X,1559527629,712316,2389
X,1559527630,712156,1756
X,1559527630,714307,26567
X,1559527631,708888,52053
X,1559527631,712645,15862
X,1559527632,712595,601
X,1559527632,712491,18655
X,1559527633,710708,55710
X,1559527634,709277,19376
X,1559527634,622425,45981
X,1559527635,375993,5415
X,1559527635,375526,2049
X,1559527636,376392,1763
X,1559527636,376136,428
X,1559527637,375772,191
X,1559527638,375716,207
X,1559527638,375732,125
X,1559527639,375712,134
X,1559527639,375692,232
