H,1561504885,359469
P,1561504885,5229
P,1561504914,5229
P,1561504943,5228
P,1561504973,5227
P,1561505002,5227
P,1561505032,5227
P,1561505061,5229
P,1561505091,5230
P,1561505120,5229
P,1561505149,5227
P,1561505179,5227
P,1561505208,5227
P,1561505237,5228
P,1561505266,5228
P,1561505296,5225
P,1561505326,5229
P,1561505355,5227
P,1561505385,5230
P,1561505414,5229
P,1561505443,5228
P,1561505472,5226
P,1561505502,5226
P,1561505531,5226
P,1561505560,5228
P,1561505590,5229
P,1561505620,5227
P,1561505649,5229
P,1561505678,5227
P,1561505708,5229
P,1561505737,5225
P,1561505766,5229
P,1561505796,5228
P,1561505825,5226
D,1561505845,454400
R,1561505845,700D98F75
X,1561505847,694428,10157
X,1561505847,694737,4713
X,1561505848,694051,24705
X,1561505848,695626,15799
X,1561505849,694830,15054
X,1561505850,695342,4172
X,1561505850,695911,3041
X,1561505851,696400,16748
X,1561505851,696628,8701
X,1561505852,696475,14649
X,1561505852,696792,10095
X,1561505853,696518,51888
X,1561505854,696576,24944
X,1561505854,738627,46481
P,1561505854,5222
X,1561505855,354062,5642
X,1561505855,359414,15208
X,1561505856,359915,1942
X,1561505856,359794,1184
X,1561505857,359679,696
X,1561505858,359636,302
X,1561505858,359674,266
X,1561505859,359741,206
X,1561505859,359717,154
X,1561505860,359726,187
X,1561505860,359777,175
O,1561505861,359891,131
O,1561505862,359831,213
O,1561505862,359852,151
O,1561505863,359893,118
O,1561505863,359954,84
O,1561505864,359920,78
O,1561505864,359926,88
O,1561505865,359939,174
O,1561505866,359878,213
O,1561505866,359893,127
O,1561505867,359866,161
O,1561505867,359965,159
O,1561505868,360019,148
O,1561505868,360045,116
O,1561505869,360035,113
O,1561505869,359899,178
O,1561505870,359798,158
O,1561505871,359874,180
O,1561505871,359926,174
O,1561505872,359968,137
O,1561505872,359950,149
O,1561505873,359936,158
O,1561505873,360020,126
O,1561505874,359973,133
O,1561505875,359894,123
O,1561505875,359897,50
O,1561505876,359872,107
O,1561505876,359932,109
O,1561505877,359869,101
O,1561505877,359830,145
O,1561505878,359746,139
O,1561505878,359773,173
O,1561505878,359849,127
O,1561505879,359877,218
O,1561505879,360003,273
O,1561505880,360016,115
O,1561505880,360024,138
O,1561505881,360015,122
O,1561505882,360000,124
O,1561505882,359999,159
O,1561505883,360069,150
O,1561505883,360147,117
P,1561505883,5222
O,1561505884,360197,119
O,1561505884,360200,137
O,1561505885,360271,110
O,1561505885,360324,192
O,1561505886,360292,142
O,1561505887,360313,145
O,1561505887,360319,77
O,1561505888,360318,106
O,1561505888,360362,121
O,1561505889,360386,114
O,1561505889,360342,111
O,1561505890,360244,110
O,1561505891,360218,185
O,1561505891,360211,173
O,1561505892,360110,125
O,1561505892,360107,143
O,1561505893,360132,74
O,1561505893,360144,111
O,1561505894,360110,80
O,1561505895,360073,106
O,1561505895,360114,221
O,1561505896,360223,161
O,1561505896,360253,134
O,1561505897,360143,84
O,1561505897,360191,76
O,1561505898,360233,176
O,1561505899,360299,77
O,1561505899,360282,118
O,1561505900,360291,107
O,1561505900,360215,174
O,1561505901,360124,157
O,1561505901,360122,138
O,1561505902,360120,128
O,1561505902,360054,145
O,1561505903,360011,122
O,1561505904,359977,120
O,1561505904,359926,185
O,1561505905,359893,117
O,1561505905,359955,93
O,1561505906,359913,141
O,1561505906,359869,107
O,1561505907,359940,82
O,1561505908,359926,123
O,1561505908,359890,146
O,1561505909,359865,137
O,1561505909,359781,100
O,1561505910,359770,193
O,1561505910,359694,127
T,1561505911,2982
P,1561505914,5229
P,1561505943,5227
P,1561505972,5229
P,1561506001,5229
P,1561506031,5225
P,1561506061,5228
P,1561506090,5227
P,1561506120,5229
P,1561506149,5227
P,1561506178,5228
P,1561506208,5227
P,1561506238,5228
P,1561506267,5227
P,1561506296,5225
P,1561506326,5226
P,1561506355,5228
P,1561506384,5228
P,1561506413,5228
P,1561506443,5228
P,1561506472,5228
P,1561506502,5229
P,1561506532,5227
P,1561506561,5227
P,1561506590,5228
P,1561506619,5227
P,1561506649,5229
P,1561506678,5228
P,1561506707,5228
P,1561506737,5228
P,1561506766,5228
P,1561506796,5229
P,1561506825,5228
P,1561506855,5227
P,1561506884,5224
P,1561506913,5229
P,1561506943,5228
P,1561506972,5229
P,1561507001,5226
P,1561507030,5226
P,1561507060,5225
P,1561507090,5225
P,1561507119,5226
P,1561507149,5228
