H,1560324736,359469
D,1560324736,404736
D,1560324738,406272
P,1560324739,5255
D,1560324740,407296
D,1560324742,406784
D,1560324743,407040
D,1560324746,409344
D,1560324748,408064
D,1560324750,409600
D,1560324752,407552
D,1560324754,408320
P,1560324768,5287
P,1560324798,5287
P,1560324827,5287
P,1560324857,5288
P,1560324886,5286
P,1560324915,5287
P,1560324945,5287
P,1560324974,5288
D,1560324994,380160
D,1560324996,391168
D,1560324999,392192
D,1560325001,391936
D,1560325003,392704
P,1560325003,5196
D,1560325005,392448
D,1560325007,394240
D,1560325010,390400
D,1560325012,394240
D,1560325014,393984
R,1560325014,000000000
X,1560325016,614274,4923
X,1560325016,614973,2491
X,1560325017,614385,1903
X,1560325017,614391,7241
X,1560325018,614574,5055
X,1560325019,614680,3735
X,1560325019,614952,10426
X,1560325020,614437,6990
X,1560325020,614483,2944
X,1560325021,613790,4435
X,1560325021,614210,5044
X,1560325022,613902,3214
X,1560325023,614017,1970
X,1560325023,614294,1308
X,1560325024,611338,19113
X,1560325024,502819,33520
X,1560325025,389215,474
X,1560325025,389250,222
X,1560325026,389285,184
X,1560325027,389409,114
X,1560325027,389461,254
X,1560325028,389308,335
X,1560325028,389263,88
X,1560325029,389216,206
X,1560325029,389103,348
X,1560325030,389156,217
X,1560325030,389299,144
O,1560325030,389321,214
O,1560325031,389273,224
O,1560325031,389376,135
O,1560325032,389320,179
P,1560325032,5281
O,1560325032,389238,68
O,1560325033,389217,144
O,1560325033,389286,121
O,1560325034,389254,116
O,1560325035,389164,209
O,1560325035,389217,211
O,1560325036,389359,134
O,1560325036,389408,74
O,1560325037,389412,114
O,1560325037,389414,130
O,1560325038,389327,174
O,1560325039,389168,187
O,1560325039,389037,434
O,1560325040,388932,155
O,1560325040,389086,386
O,1560325041,388928,200
O,1560325041,388817,184
O,1560325042,388993,349
O,1560325043,389281,150
O,1560325043,389292,286
O,1560325044,389282,204
O,1560325044,389478,190
O,1560325045,389532,129
O,1560325045,389351,364
O,1560325046,389285,244
O,1560325046,389098,206
O,1560325047,389142,283
O,1560325048,389012,406
O,1560325048,388957,198
O,1560325049,388938,140
O,1560325049,388908,247
O,1560325050,389096,416
O,1560325050,389046,240
O,1560325051,388936,113
O,1560325052,389167,205
O,1560325052,389181,174
O,1560325053,389074,112
O,1560325053,389011,188
O,1560325054,388888,119
O,1560325054,388803,212
O,1560325055,388826,177
O,1560325056,388720,615
O,1560325056,388562,723
O,1560325057,390472,14685
O,1560325057,388686,647
O,1560325058,389037,238
O,1560325058,389044,220
O,1560325059,388710,219
O,1560325060,388696,124
O,1560325060,388716,225
O,1560325061,388831,116
O,1560325061,388838,183
O,1560325062,388694,174
O,1560325062,388885,182
P,1560325062,5280
O,1560325063,388932,230
O,1560325063,388955,295
O,1560325064,388927,163
O,1560325065,388829,84
O,1560325065,388881,85
O,1560325066,388865,148
O,1560325066,388888,115
O,1560325067,388919,250
O,1560325067,388989,134
O,1560325068,389099,125
O,1560325069,389090,124
O,1560325069,389075,96
O,1560325070,389075,126
O,1560325070,389071,149
O,1560325071,388934,160
O,1560325071,389025,306
O,1560325071,389043,132
O,1560325072,388782,528
O,1560325072,388446,226
O,1560325073,388566,146
O,1560325073,388476,186
O,1560325074,388367,110
O,1560325074,388548,160
O,1560325075,388495,433
O,1560325076,388438,278
O,1560325076,388471,108
O,1560325077,388356,191
O,1560325077,388277,333
O,1560325078,388205,300
O,1560325078,388150,325
O,1560325079,387966,175
O,1560325079,388161,192
T,1560325080,2860
P,1560325092,5287
P,1560325121,5287
P,1560325151,5288
P,1560325180,5287
P,1560325209,5286
P,1560325238,5289
P,1560325268,5288
P,1560325297,5287
P,1560325326,5288
P,1560325356,5289
P,1560325386,5288
P,1560325415,5289
P,1560325444,5287
P,1560325474,5289
P,1560325503,5287
P,1560325532,5289
P,1560325562,5288
P,1560325591,5287
P,1560325620,5288
P,1560325649,5286
P,1560325680,5286
P,1560325709,5289
P,1560325738,5286
P,1560325768,5286
P,1560325797,5287
P,1560325826,5289
P,1560325855,5286
P,1560325885,5289
P,1560325914,5289
P,1560325943,5287
O,1560325951,381652,2821
O,1560325952,382093,293
O,1560325952,382353,404
O,1560325953,382920,618
O,1560325954,383299,94
O,1560325954,382851,622
O,1560325955,382246,557
O,1560325955,382097,447
O,1560325956,381994,683
O,1560325956,38215
