H,1559267518,400700
T,1559267518,2854
P,1559267539,5145
P,1559267568,5144
P,1559267597,5143
P,1559267626,5145
P,1559267656,5145
P,1559267686,5142
P,1559267715,5145
P,1559267745,5142
P,1559267774,5142
P,1559267803,5146
P,1559267832,5145
P,1559267862,5146
P,1559267891,5145
P,1559267920,5145
P,1559267950,5144
P,1559267980,5144
P,1559268009,5145
D,1559268009,485120
D,1559268012,468224
D,1559268014,476416
D,1559268016,479488
D,1559268033,462336
D,1559268035,458752
D,1559268038,458496
P,1559268038,5057
D,1559268040,458752
R,1559268040,000000000
X,1559268042,693863,6048
X,1559268042,694898,2458
X,1559268043,694790,2654
X,1559268043,694546,2774
X,1559268044,694622,8114
X,1559268044,694209,2286
X,1559268045,694390,2588
X,1559268046,694870,5330
X,1559268046,696998,63687
X,1559268047,693990,4256
X,1559268047,691816,48842
X,1559268048,694637,31126
X,1559268048,689116,13937
X,1559268049,693781,7138
X,1559268050,693124,9329
X,1559268050,693314,10619
X,1559268051,693424,9334
X,1559268051,693363,3284
X,1559268052,693378,2934
X,1559268052,693175,2386
X,1559268053,693077,2750
X,1559268054,692904,1922
X,1559268054,692966,1928
X,1559268055,693285,1736
X,1559268055,693615,1531
X,1559268056,693339,1852
X,1559268056,693090,1388
X,1559268057,693249,1745
X,1559268057,693277,2662
X,1559268058,693135,2642
X,1559268059,692966,1772
X,1559268059,693201,3915
X,1559268060,693125,1673
X,1559268060,693103,1433
X,1559268061,693122,1922
X,1559268061,693125,1655
X,1559268062,692982,1370
X,1559268063,692914,2008
X,1559268063,692927,1700
X,1559268064,692898,2169
X,1559268064,692707,1503
X,1559268065,692743,1744
X,1559268065,693011,1355
X,1559268066,693315,2446
X,1559268067,693367,1429
X,1559268067,693257,2838
X,1559268068,693304,2799
P,1559268068,5138
X,1559268068,693328,1671
X,1559268069,693657,1691
X,1559268069,693492,1415
X,1559268070,693458,11969
X,1559268071,693368,5106
X,1559268071,693127,1729
X,1559268072,693321,1804
X,1559268072,693247,2053
X,1559268073,693106,1715
X,1559268073,693097,1488
X,1559268074,693055,1187
X,1559268074,693177,1271
X,1559268074,693199,1436
X,1559268075,693166,2145
X,1559268075,693563,6901
X,1559268076,693212,1965
X,1559268076,693581,1427
X,1559268077,693372,1702
X,1559268077,693272,1405
X,1559268078,693537,1579
X,1559268079,693459,2321
X,1559268079,693302,1988
X,1559268080,693330,2076
X,1559268080,693411,2226
X,1559268081,693355,2574
X,1559268081,693364,1485
X,1559268082,693457,1857
X,1559268083,693285,10621
X,1559268083,693139,1246
X,1559268084,693383,1770
X,1559268084,693192,12255
X,1559268085,692778,2138
X,1559268085,693186,1851
X,1559268086,693241,4840
X,1559268087,693211,1141
X,1559268087,693040,878
X,1559268088,693056,1330
X,1559268088,693236,1225
X,1559268089,693393,2312
X,1559268089,693217,1148
X,1559268090,693228,2533
X,1559268090,693486,1798
X,1559268091,693550,34078
X,1559268092,685696,50585
X,1559268092,613965,20191
X,1559268093,373663,18191
X,1559268093,373994,5149
X,1559268094,374529,1016
X,1559268094,373929,612
X,1559268095,373792,465
X,1559268096,373841,247
X,1559268096,373683,119
X,1559268097,373673,192
P,1559268097,5136
X,1559268097,373588,139
X,1559268098,373581,116
X,1559268098,373600,174
O,1559268099,373573,179
O,1559268100,373565,227
O,1559268100,373614,122
O,1559268101,373595,124
O,1559268101,373548,84
O,1559268102,373502,179
O,1559268102,373516,87
O,1559268103,373490,196
O,1559268104,373525,215
O,1559268104,373499,227
O,1559268105,373493,192
O,1559268105,373447,111
O,1559268106,373417,111
O,1559268106,373329,195
O,1559268107,373319,205
O,1559268107,373199,142
O,1559268108,373157,142
O,1559268109,373110,127
O,1559268109,373185,142
O,1559268110,373174,146
O,1559268110,373172,142
O,1559268111,373126,156
O,1559268111,373139,146
O,1559268112,373062,119
O,1559268113,373049,70
O,1559268113,373024,174
O,1559268114,373101,92
O,1559268114,373165,89
O,1559268115,373193,112
O,1559268115,373131,93
O,1559268115,373161,127
O,1559268116,373159,171
O,1559268116,373188,122
O,1559268117,373121,143
O,1559268117,373064,144
O,1559268118,373052,154
O,1559268118,373059,104
O,1559268119,372989,170
O,1559268120,373007,94
O,1559268120,373054,141
O,1559268121,373106,217
O,1559268121,373067,100
O,1559268122,373040,156
O,1559268122,373017,105
O,1559268123,373069,196
O,1559268123,373188,220
O,1559268124,373234
