H,1549488903,173567
X,1549488903,609199,777
X,1549488904,609213,618
P,1549488904,5098
X,1549488904,609128,1068
X,1549488905,609196,883
X,1549488906,609104,910
X,1549488906,609177,1341
X,1549488907,609248,594
X,1549488907,609184,727
X,1549488908,609131,868
X,1549488908,609267,1070
X,1549488909,609202,1091
X,1549488910,609043,903
X,1549488910,608684,853
X,1549488911,608912,990
X,1549488911,609007,857
A,1549488911,609159,626
T,1549488911,2715
X,1549488913,609291,1077
X,1549488914,609032,926
X,1549488914,609041,836
X,1549488915,609093,826
X,1549488916,609090,857
X,1549488916,609095,516
X,1549488917,609044,718
X,1549488917,609024,919
X,1549488918,609083,957
X,1549488918,609223,921
X,1549488919,609143,1249
X,1549488919,609019,769
X,1549488920,608810,1075
X,1549488921,608949,1720
X,1549488921,609078,1180
X,1549488922,609060,1209
X,1549488922,609089,1312
X,1549488923,609038,1427
X,1549488923,608909,1101
X,1549488924,609188,1183
X,1549488925,609086,1467
X,1549488925,609087,875
X,1549488926,608992,577
X,1549488926,609088,1148
X,1549488927,609153,821
X,1549488927,609079,984
X,1549488928,609133,641
X,1549488929,609114,890
X,1549488929,609097,800
X,1549488930,609191,766
X,1549488930,609171,1155
X,1549488931,609181,724
X,1549488931,609151,883
A,1549488932,609096,231
T,1549488932,2715
X,1549488934,609109,1173
X,1549488934,609181,921
P,1549488934,5099
X,1549488935,609029,665
X,1549488935,609165,968
X,1549488936,609320,1082
X,1549488936,609115,1498
X,1549488937,609094,821
X,1549488938,609001,802
X,1549488938,609119,822
X,1549488939,609149,1237
X,1549488939,609200,1083
X,1549488940,609307,1072
X,1549488940,609237,887
X,1549488941,609151,769
X,1549488941,609103,1184
X,1549488942,609192,825
X,1549488943,609253,905
X,1549488943,609228,884
X,1549488943,609182,895
X,1549488943,609157,833
X,1549488944,609228,931
X,1549488944,609252,987
X,1549488945,609166,1162
X,1549488946,609182,744
X,1549488946,609155,439
X,1549488947,609116,835
X,1549488947,609266,1016
X,1549488948,609245,1002
X,1549488948,609210,1155
X,1549488949,609271,1001
X,1549488950,609220,995
X,1549488950,609169,1111
X,1549488951,609176,1102
X,1549488951,609172,1065
X,1549488952,609147,1156
X,1549488952,609184,1408
X,1549488953,609184,1291
X,1549488953,609251,981
A,1549488953,609169,252
T,1549488954,2715
R,1549488954,5C00DDFC1E
X,1549488955,609085,1200
X,1549488956,609062,1101
X,1549488957,608456,1159
X,1549488957,608728,1073
X,1549488958,609043,1157
X,1549488958,609074,1083
X,1549488959,609063,1073
X,1549488959,609113,1083
X,1549488960,609208,1074
X,1549488961,609291,1065
X,1549488961,609237,851
X,1549488962,609101,1346
X,1549488962,609146,991
X,1549488963,609278,710
P,1549488963,5099
X,1549488963,609088,969
X,1549488964,608938,754
X,1549488965,608976,651
X,1549488965,608836,1021
X,1549488966,608980,1144
X,1549488966,609028,922
X,1549488967,609117,869
X,1549488967,609063,840
X,1549488968,608700,762
X,1549488968,609085,1017
X,1549488969,609110,1303
X,1549488970,609222,944
X,1549488970,608993,1174
X,1549488971,608787,1003
X,1549488971,609025,1097
X,1549488972,609043,1931
X,1549488972,609015,997
X,1549488973,609067,1028
X,1549488974,609076,719
X,1549488974,609141,1048
X,1549488975,609134,957
X,1549488975,609119,934
X,1549488976,609137,1096
X,1549488976,609121,1015
X,1549488977,609137,1229
X,1549488978,609225,1252
X,1549488978,609278,1233
X,1549488979,609221,1216
X,1549488979,609242,859
X,1549488980,609188,932
X,1549488980,609130,1251
X,1549488981,609038,1568
X,1549488982,609145,1141
X,1549488982,609068,1081
X,1549488983,609000,1320
X,1549488983,609057,1525
X,1549488984,609176,1305
X,1549488984,609107,959
X,1549488984,609136,1294
X,1549488984,609024,1140
X,1549488985,608908,814
X,1549488986,609066,1281
X,1549488986,609263,702
A,1549488986,609092,578
T,1549488986,2715
X,1549488988,609162,634
X,1549488989,609042,614
X,1549488989,609073,734
X,1549488990,609125,963
X,1549488990,608740,1126
X,1549488991,608696,963
X,1549488992,608484,728
X,1549488992,608537,1056
P,1549488992,5099
X,1549488993,608957,600
X,1549488993,609115,1142
X,1549488994,609251,666
X,1549488994,609181,1204
X,1549488995,609154,982
X,1549488996,609292,1175
X,1549488996,609291,959
X,1549488997,609322,926
X,1549488997,609154,726
