H,1548204640,92071
T,1548204640,2720
X,1548204642,171976,318
X,1548204642,172020,261
X,1548204643,172488,555
X,1548204643,172173,491
X,1548204644,172298,299
X,1548204644,172044,174
X,1548204645,171820,526
X,1548204646,171505,564
X,1548204646,171733,239
X,1548204647,171697,167
X,1548204647,171445,261
X,1548204647,171467,299
X,1548204647,171433,389
X,1548204648,171556,237
X,1548204649,171614,115
X,1548204649,171738,111
X,1548204650,171794,101
X,1548204650,171820,119
X,1548204651,171859,173
X,1548204651,171873,99
A,1548204651,171817,1055
T,1548204651,2720
X,1548204653,171903,152
X,1548204654,171719,427
X,1548204654,171516,410
X,1548204655,171367,213
X,1548204656,171534,274
X,1548204656,171585,189
X,1548204657,171846,181
X,1548204657,171749,377
X,1548204658,171688,256
X,1548204658,171374,201
X,1548204659,171420,376
X,1548204660,171547,112
X,1548204660,171666,183
X,1548204661,171517,113
X,1548204661,171129,517
X,1548204662,171430,277
X,1548204662,171589,261
X,1548204663,171581,150
P,1548204663,5138
X,1548204664,171570,116
X,1548204664,171588,234
A,1548204664,171565,774
T,1548204664,2720
X,1548204666,171889,240
X,1548204667,171788,185
X,1548204667,171787,159
X,1548204668,171804,170
X,1548204668,171798,100
X,1548204669,171779,86
X,1548204669,171821,95
X,1548204670,171835,123
X,1548204671,171782,117
X,1548204671,171858,50
X,1548204672,171858,112
X,1548204672,171862,226
X,1548204673,171964,214
X,1548204673,171935,128
X,1548204674,171880,123
X,1548204675,171860,132
X,1548204675,171672,535
X,1548204676,171511,196
X,1548204676,171596,253
X,1548204677,171449,269
A,1548204677,171786,515
T,1548204677,2720
X,1548204679,171331,195
X,1548204679,171319,265
X,1548204680,171477,319
X,1548204681,171537,171
X,1548204681,171837,378
X,1548204682,171776,379
X,1548204682,171742,164
X,1548204683,171738,338
X,1548204683,171599,336
X,1548204684,171211,179
X,1548204684,171250,483
X,1548204685,171271,359
X,1548204686,171298,899
X,1548204686,171460,407
X,1548204687,171353,454
X,1548204687,171551,356
X,1548204688,171585,229
X,1548204688,171902,332
X,1548204688,172022,166
X,1548204689,171975,172
A,1548204689,171561,811
T,1548204689,2720
X,1548204691,171776,373
X,1548204691,171726,221
X,1548204692,171603,560
X,1548204692,171644,457
P,1548204692,5138
X,1548204693,171914,156
X,1548204693,172091,451
X,1548204694,171803,865
X,1548204695,171613,535
X,1548204695,171581,229
X,1548204696,171717,369
X,1548204696,171973,164
X,1548204697,171917,197
X,1548204697,171864,206
X,1548204698,171964,106
X,1548204698,172070,275
X,1548204699,172175,327
X,1548204700,172032,265
X,1548204700,172109,243
X,1548204701,172278,200
X,1548204701,172137,232
A,1548204701,171899,697
T,1548204701,2720
X,1548204703,172169,164
X,1548204704,172152,322
X,1548204704,172467,265
X,1548204705,172439,257
X,1548204706,172425,351
X,1548204706,172275,203
X,1548204707,171965,594
X,1548204707,171465,257
X,1548204708,171354,177
X,1548204708,171217,428
X,1548204709,171401,415
X,1548204710,171396,363
X,1548204710,171877,738
X,1548204711,172229,268
X,1548204711,171852,355
X,1548204712,171807,105
X,1548204712,171834,172
X,1548204713,171982,98
X,1548204714,171952,71
X,1548204714,171896,86
A,1548204714,171907,1250
T,1548204714,2720
X,1548204716,171824,67
X,1548204717,171823,143
X,1548204717,171825,134
X,1548204718,171853,218
X,1548204718,171863,110
X,1548204719,171877,131
X,1548204719,171873,172
X,1548204720,171908,384
X,1548204721,171805,382
X,1548204721,172050,309
X,1548204722,173003,627
X,1548204722,172789,231
P,1548204723,5138
X,1548204723,172403,294
X,1548204723,172262,161
X,1548204724,172154,247
X,1548204725,171957,366
X,1548204725,171894,283
X,1548204726,171804,316
X,1548204726,171930,336
X,1548204727,172118,179
A,1548204727,172050,1199
T,1548204727,2720
X,1548204729,171711,193
X,1548204729,171796,166
X,1548204729,171769,133
X,1548204729,171609,181
X,1548204730,171794,270
X,1548204731,172130,130
X,1548204731,172245,140
X,1548204732,172369,316
X,1548204732,172225,151
X,1548204733,172180,167
X,1548204733,172220,145
X,1548204734,172409,256
X,1548204735,172241,180
X,1548204735,172186,69
X,1548204736,172142,98
X,1548204736,172153,194
