H,1558657623,295663
P,1558657623,5396
P,1558657653,5396
P,1558657682,5396
P,1558657711,5392
P,1558657741,5396
P,1558657771,5395
P,1558657800,5394
P,1558657829,5395
P,1558657859,5396
P,1558657888,5396
P,1558657917,5396
P,1558657946,5397
P,1558657976,5395
P,1558658005,5395
P,1558658035,5396
P,1558658065,5397
P,1558658094,5394
P,1558658123,5397
P,1558658152,5396
P,1558658182,5396
P,1558658211,5396
P,1558658240,5396
P,1558658270,5396
P,1558658299,5396
P,1558658329,5396
P,1558658358,5396
P,1558658388,5395
P,1558658417,5396
P,1558658446,5395
P,1558658476,5395
P,1558658505,5394
P,1558658534,5394
P,1558658563,5396
P,1558658593,5396
P,1558658623,5396
P,1558658652,5397
P,1558658681,5396
P,1558658711,5394
P,1558658740,5396
P,1558658769,5394
P,1558658799,5395
P,1558658828,5396
P,1558658857,5395
P,1558658886,5396
P,1558658917,5395
P,1558658946,5394
P,1558658975,5397
P,1558659005,5395
P,1558659034,5393
P,1558659063,5398
P,1558659092,5396
P,1558659122,5396
D,1558659142,415744
D,1558659144,390656
D,1558659146,393984
D,1558659148,391680
D,1558659151,392448
P,1558659151,5397
D,1558659153,387072
D,1558659155,385280
D,1558659157,390656
D,1558659159,405504
D,1558659162,398080
R,1558659162,700D9DFBA
R,1558659162,700D9DFBA
R,1558659162,700D9DFBA
X,1558659163,590439,33954
X,1558659164,588603,7689
X,1558659165,589206,60373
X,1558659165,587589,27839
X,1558659166,589063,22541
X,1558659166,585379,30046
X,1558659167,593410,45519
X,1558659167,588383,10668
X,1558659168,588912,5358
X,1558659169,588563,3348
X,1558659169,587375,19786
X,1558659170,588435,22522
X,1558659170,588492,2148
X,1558659171,588267,1526
X,1558659171,588497,2569
X,1558659172,588389,1316
X,1558659173,588312,2630
X,1558659173,588351,1689
X,1558659173,588221,9739
X,1558659173,590373,30555
X,1558659174,585496,59892
X,1558659174,582649,14424
X,1558659175,371977,40253
X,1558659176,262903,958
X,1558659176,262684,362
X,1558659177,263217,452
X,1558659177,263457,191
X,1558659178,263110,339
X,1558659178,262962,133
X,1558659179,263225,300
X,1558659179,263145,81
X,1558659180,262997,201
P,1558659180,5386
X,1558659181,262998,82
X,1558659181,262951,100
O,1558659182,262943,99
O,1558659182,262902,101
O,1558659183,262927,107
O,1558659183,262945,105
O,1558659184,262945,178
O,1558659185,262968,86
O,1558659185,262918,93
O,1558659186,262868,96
O,1558659186,262841,187
O,1558659187,262862,94
O,1558659187,262859,80
O,1558659188,262884,117
O,1558659189,262835,217
O,1558659189,262911,95
O,1558659190,262847,80
O,1558659190,262846,161
O,1558659191,262809,82
O,1558659191,262898,131
O,1558659192,262840,184
O,1558659193,262792,99
O,1558659193,262765,115
O,1558659194,262744,116
O,1558659194,262753,97
O,1558659195,262776,131
O,1558659195,262812,89
O,1558659196,262838,129
O,1558659196,262793,133
O,1558659197,262766,114
O,1558659198,262783,79
O,1558659198,262754,83
O,1558659199,262772,96
O,1558659199,262774,64
O,1558659200,262740,109
O,1558659200,262719,112
O,1558659201,262719,74
O,1558659202,262586,65
O,1558659202,262622,198
O,1558659203,262670,109
O,1558659203,262604,208
O,1558659204,262585,177
O,1558659204,262602,123
O,1558659205,262660,105
O,1558659206,262711,73
O,1558659206,262711,116
O,1558659207,262703,97
O,1558659207,262786,171
O,1558659208,262704,143
O,1558659208,262744,165
O,1558659209,262790,184
O,1558659209,262805,165
O,1558659210,262657,159
P,1558659211,5386
O,1558659211,262702,253
O,1558659211,262762,78
O,1558659212,262681,126
O,1558659212,262595,178
O,1558659213,262666,118
O,1558659213,262641,124
O,1558659214,262770,134
O,1558659214,262813,79
O,1558659214,262810,78
O,1558659215,262809,133
O,1558659215,262818,121
O,1558659216,262836,122
O,1558659216,262853,156
O,1558659217,262864,151
O,1558659218,262882,79
O,1558659218,262883,124
O,1558659219,262869,100
O,1558659219,262848,138
O,1558659220,262880,117
O,1558659220,262829,108
O,1558659221,401535,62021
T,1558659221,2842
D,1558659222,365824
R,1558659222,700D9DFBA
R,1558659222,700D9DFBA
R,1558659222,700D9DFBA
X,1558659224,554401,5393
X,1558659225,552332,15586
X,1558659225,451755,55271
X,1558659226,263275,697
X,1558659226,263335,325
X,1558659227,263149,176
X,1558659228,263207,252
X,1558659228,263252,151
X,1558659229,263207,95
X,1558659229,263143,107
X,1558659230,263141,90
X,1558659230,263164,131
X,1558659231,263141,132
