H,1559608199,295663
P,1559608199,5287
P,1559608228,5284
P,1559608257,5285
P,1559608287,5287
P,1559608316,5287
P,1559608345,5286
P,1559608374,5285
P,1559608405,5286
P,1559608434,5286
P,1559608463,5287
P,1559608493,5286
P,1559608522,5286
P,1559608551,5285
P,1559608580,5287
P,1559608610,5286
P,1559608639,5285
P,1559608668,5285
P,1559608698,5286
P,1559608728,5285
P,1559608757,5285
P,1559608786,5285
P,1559608816,5285
P,1559608845,5287
P,1559608874,5286
P,1559608903,5287
P,1559608933,5287
P,1559608962,5286
D,1559608982,402176
R,1559608982,700D9DFBA
R,1559608982,700D9DFBA
R,1559608982,700D9DFBA
X,1559608984,601057,8322
X,1559608984,600278,17178
X,1559608985,601126,3972
X,1559608985,601492,4769
X,1559608985,601290,4413
X,1559608985,600975,4027
X,1559608986,601425,4252
X,1559608986,601777,13113
X,1559608987,601574,10630
X,1559608988,601379,22155
X,1559608988,601373,3264
X,1559608989,601590,5786
X,1559608989,601306,9942
X,1559608990,601233,3997
X,1559608990,600963,12310
X,1559608991,601032,7249
P,1559608992,5275
X,1559608992,601107,5483
X,1559608992,601269,4151
X,1559608993,601138,4631
X,1559608993,600293,15732
X,1559608994,601087,3617
X,1559608994,601359,17273
X,1559608995,599790,55090
X,1559608996,600905,62901
X,1559608996,596445,36499
X,1559608997,603134,57675
X,1559608997,596321,24826
X,1559608998,608115,52420
X,1559608998,598396,59802
X,1559608999,600314,22771
X,1559609000,596025,48523
X,1559609000,602393,23549
X,1559609001,596689,9388
X,1559609001,454935,30232
X,1559609002,265378,899
X,1559609002,265150,147
X,1559609003,265383,288
X,1559609003,265702,159
X,1559609004,265694,157
X,1559609005,265481,212
X,1559609005,265400,58
X,1559609006,265438,108
X,1559609006,265478,116
X,1559609007,265428,66
X,1559609007,265386,147
O,1559609008,265390,124
O,1559609009,265405,98
O,1559609009,265411,73
O,1559609010,265385,90
O,1559609010,265385,97
O,1559609011,265389,97
O,1559609011,265397,106
O,1559609012,265412,83
O,1559609013,265397,108
O,1559609013,265415,102
O,1559609014,265416,91
O,1559609014,265424,107
O,1559609015,265381,96
O,1559609015,265373,58
O,1559609016,265373,99
O,1559609017,265389,55
O,1559609017,265402,146
O,1559609018,265373,158
O,1559609018,265374,110
O,1559609019,265396,94
O,1559609019,265404,56
O,1559609020,265384,103
O,1559609020,265350,159
O,1559609021,265364,136
O,1559609022,265365,91
P,1559609022,5276
O,1559609022,265356,139
O,1559609023,265362,103
O,1559609023,552441,15009
T,1559609023,2906
D,1559609025,369408
R,1559609025,700D9DFBA
R,1559609025,700D9DFBA
R,1559609025,700D9DFBA
X,1559609026,556554,4530
X,1559609026,535773,9610
X,1559609027,265654,1462
X,1559609027,266319,654
X,1559609028,266063,478
X,1559609028,265624,282
X,1559609029,265504,144
X,1559609029,265600,108
X,1559609030,265691,153
X,1559609031,265638,106
X,1559609031,265543,129
X,1559609032,265566,66
X,1559609032,265574,154
O,1559609033,265576,87
O,1559609033,265555,95
O,1559609034,265554,90
O,1559609035,265551,112
O,1559609035,265551,93
O,1559609036,265553,90
O,1559609036,265539,165
O,1559609037,265543,95
O,1559609037,265550,110
O,1559609038,265528,79
O,1559609039,265538,73
O,1559609039,265536,110
O,1559609040,265535,58
O,1559609040,265547,98
O,1559609041,265558,103
O,1559609041,265545,100
O,1559609042,265530,99
O,1559609042,265537,100
O,1559609043,265521,94
O,1559609044,265552,132
O,1559609044,265532,91
O,1559609045,265527,88
O,1559609045,265543,123
O,1559609046,265526,56
O,1559609046,265536,70
O,1559609047,265506,93
O,1559609048,265517,114
O,1559609048,265517,59
O,1559609049,265521,128
O,1559609049,265523,116
O,1559609050,265490,73
O,1559609050,265504,142
P,1559609051,5277
O,1559609051,265500,71
O,1559609052,265500,71
O,1559609052,265506,91
O,1559609053,265496,86
O,1559609053,265499,94
O,1559609054,265470,137
O,1559609054,265503,82
O,1559609055,265499,81
O,1559609056,265494,151
O,1559609056,265518,127
O,1559609057,265484,81
O,1559609057,265510,140
O,1559609058,265499,70
O,1559609058,265496,91
O,1559609059,265505,135
O,1559609059,265485,96
O,1559609060,265486,85
O,1559609061,265470,108
O,1559609061,265494,130
O,1559609062,265475,127
O,1559609062,265486,105
O,1559609063,265464,106
O,1559609063,265478,67
O,1559609064,265490,77
