H,1560817558,289363
X,1560817558,578797,1434
X,1560817558,582016,19734
X,1560817559,577287,21056
X,1560817560,579524,3537
X,1560817560,578777,20443
X,1560817561,580828,27668
X,1560817561,579026,39647
X,1560817562,576219,51818
X,1560817562,578976,9954
X,1560817563,579757,14720
X,1560817564,579198,3197
X,1560817564,579246,1569
X,1560817565,579260,1331
X,1560817565,579248,969
P,1560817566,5376
X,1560817566,579338,953
X,1560817566,579443,1813
X,1560817567,579423,1601
X,1560817567,579408,2063
X,1560817568,579406,1522
X,1560817569,579568,872
X,1560817569,579481,842
X,1560817570,579623,7793
X,1560817570,579354,1946
X,1560817571,579612,1757
X,1560817571,579257,1476
X,1560817572,579230,1605
X,1560817573,579273,1548
X,1560817573,579254,1410
X,1560817574,579188,1684
X,1560817574,579256,1334
X,1560817575,579086,7348
X,1560817575,579039,1689
X,1560817576,579193,1937
X,1560817577,578973,1404
X,1560817577,578921,1872
X,1560817578,579093,1251
X,1560817578,579093,1935
X,1560817579,579134,1049
X,1560817579,578866,636
X,1560817580,579216,1670
X,1560817580,579185,1971
X,1560817580,579071,1527
X,1560817581,579116,1732
X,1560817581,579089,2000
X,1560817582,579138,1286
X,1560817582,579049,1243
X,1560817583,579050,1524
X,1560817583,578994,1477
X,1560817584,579040,782
X,1560817585,578934,1797
X,1560817585,579025,1332
X,1560817586,578993,1283
X,1560817586,578860,1640
X,1560817587,579111,1881
X,1560817587,579123,1050
X,1560817588,579230,1517
X,1560817589,579008,1244
X,1560817589,578909,1487
X,1560817590,579056,1535
X,1560817590,579032,1540
X,1560817591,578232,9651
X,1560817591,581157,11342
X,1560817592,579026,1553
X,1560817593,578952,1964
X,1560817593,579040,15479
X,1560817594,578410,9593
X,1560817594,578863,3000
P,1560817595,5385
X,1560817595,578990,4199
X,1560817595,579040,2184
X,1560817596,578679,22617
X,1560817597,579955,8803
X,1560817597,579034,5838
X,1560817598,579062,3945
X,1560817598,578998,2050
X,1560817599,578979,1815
X,1560817599,579018,1008
X,1560817600,579053,1343
X,1560817600,579014,1135
X,1560817601,578846,3056
X,1560817602,579121,1827
X,1560817602,579158,1273
X,1560817603,579020,8725
X,1560817603,580106,29487
X,1560817604,576957,13605
X,1560817604,579152,3637
X,1560817605,579205,2411
X,1560817606,579094,1336
X,1560817606,578744,5856
X,1560817607,579099,29279
X,1560817607,578952,6739
X,1560817608,578965,2659
X,1560817608,579069,2713
X,1560817609,579004,1671
X,1560817610,579153,8718
X,1560817610,579221,3850
X,1560817611,579090,3590
X,1560817611,578964,30396
X,1560817612,578777,2444
X,1560817612,578890,11522
X,1560817613,578964,1446
X,1560817614,578900,1903
X,1560817614,578919,1408
X,1560817615,578917,1909
X,1560817615,578999,1849
X,1560817616,578901,1678
X,1560817616,578890,1277
X,1560817617,578839,8381
X,1560817617,579004,6739
X,1560817618,578935,2188
X,1560817619,578853,2571
X,1560817619,578465,10141
X,1560817620,580424,11294
X,1560817620,577856,11542
X,1560817621,579211,4959
X,1560817621,576747,24707
X,1560817621,578809,8696
X,1560817622,578871,1351
X,1560817622,578922,1466
X,1560817623,579028,988
X,1560817623,578935,1804
P,1560817624,5385
X,1560817624,579060,1717
X,1560817624,579053,1719
X,1560817625,579027,1521
X,1560817626,578574,9762
X,1560817626,579772,8571
X,1560817627,579132,2644
X,1560817627,579452,4898
X,1560817628,576642,16228
X,1560817628,579051,2516
X,1560817629,579029,2309
X,1560817630,579082,1668
X,1560817630,579249,2513
X,1560817631,579196,1361
X,1560817631,579043,1619
X,1560817632,579328,1645
X,1560817632,579367,4218
X,1560817633,579502,8610
X,1560817633,577073,16310
X,1560817634,594353,38019
X,1560817635,310681,18119
X,1560817635,252994,757
X,1560817636,252834,512
X,1560817636,253431,304
X,1560817637,253288,433
X,1560817637,253034,183
X,1560817638,253229,253
X,1560817639,253237,230
X,1560817639,253098,171
X,1560817640,253029,174
X,1560817640,253053,170
O,1560817641,253078,152
O,1560817641,253205,155
O,1560817642,253173,134
O,1560817643,253047,123
O,1560817643,253052,224
O,1560817644,253054,156
O,1560817644,253101,120
O,1560817645,253026,73
O,1560817645,253069,109
O,1560817646,253052,185
O,1560817647,253085,76
O,1560817647,253070,121
O,1560817648,253039,114
O,1560817648,253026,189
O,1560817649,252955,228
O,1560817649,252817,99
O,1560817650,252950,162
O,1560817650,252886,140
