H,1561427154,289363
P,1561427154,5273
P,1561427183,5273
P,1561427213,5273
P,1561427242,5273
P,1561427271,5273
P,1561427301,5271
P,1561427331,5272
P,1561427360,5271
P,1561427389,5272
P,1561427419,5273
P,1561427448,5272
P,1561427477,5271
P,1561427506,5271
P,1561427536,5271
P,1561427565,5273
P,1561427594,5273
P,1561427625,5272
P,1561427654,5269
P,1561427683,5273
P,1561427712,5271
P,1561427742,5273
P,1561427771,5273
P,1561427800,5272
P,1561427830,5270
P,1561427859,5273
P,1561427888,5271
P,1561427918,5273
P,1561427948,5270
P,1561427977,5273
P,1561428006,5271
P,1561428036,5273
P,1561428065,5271
P,1561428094,5273
P,1561428123,5271
P,1561428153,5272
P,1561428182,5272
P,1561428212,5273
P,1561428242,5271
P,1561428271,5273
P,1561428300,5272
P,1561428329,5273
P,1561428359,5272
P,1561428388,5269
P,1561428417,5271
P,1561428447,5272
O,1561428457,249705,2039
O,1561428458,250279,219
O,1561428458,250470,208
O,1561428459,250641,177
O,1561428460,250760,77
O,1561428460,250907,144
O,1561428461,251004,181
O,1561428461,251065,135
O,1561428462,251145,131
O,1561428462,251179,110
O,1561428463,251196,93
O,1561428463,251209,122
O,1561428464,251211,122
O,1561428465,251263,140
O,1561428465,251307,167
O,1561428466,251318,124
O,1561428466,251308,82
O,1561428467,251302,116
O,1561428467,251306,195
O,1561428468,251288,174
O,1561428469,251317,102
O,1561428469,251365,103
O,1561428470,251427,107
O,1561428470,251439,131
O,1561428471,251444,112
O,1561428471,251500,110
O,1561428472,251500,104
O,1561428473,251498,68
O,1561428473,251524,128
O,1561428474,251537,72
O,1561428474,251569,126
O,1561428475,251588,114
O,1561428475,251625,138
O,1561428476,251635,131
P,1561428476,5265
O,1561428476,251613,125
O,1561428477,251650,114
O,1561428478,251627,61
O,1561428478,251624,103
O,1561428479,251612,93
O,1561428479,251625,85
O,1561428480,251632,109
O,1561428480,251629,84
O,1561428481,251654,111
O,1561428482,251686,112
O,1561428482,251637,43
O,1561428483,251699,125
O,1561428483,251710,66
O,1561428484,251737,71
O,1561428484,251724,132
O,1561428485,251758,260
O,1561428486,251726,81
O,1561428486,251734,121
O,1561428487,251743,132
O,1561428487,251838,154
O,1561428488,251872,93
O,1561428488,251884,159
O,1561428489,251867,100
O,1561428490,251855,90
O,1561428490,251856,102
O,1561428490,251859,182
O,1561428490,251869,108
O,1561428491,251860,99
O,1561428491,251862,67
O,1561428492,251861,69
O,1561428492,251851,71
O,1561428493,251855,73
O,1561428494,251849,88
O,1561428494,251844,76
O,1561428495,251816,105
O,1561428495,251833,120
O,1561428496,251798,116
O,1561428496,251758,125
O,1561428497,251787,133
O,1561428498,251817,109
O,1561428498,251806,99
O,1561428499,251778,84
O,1561428499,251799,151
O,1561428500,251872,158
O,1561428500,251984,126
O,1561428501,252003,125
O,1561428502,252052,88
O,1561428502,252026,91
O,1561428503,252037,105
O,1561428503,252039,143
O,1561428504,252059,141
O,1561428504,251973,206
O,1561428505,252038,86
O,1561428506,252043,85
P,1561428506,5264
O,1561428506,251988,85
O,1561428507,252041,159
O,1561428507,252037,72
O,1561428508,252071,117
O,1561428508,252112,120
O,1561428509,252103,125
O,1561428509,252119,100
O,1561428510,252132,91
O,1561428511,252156,134
O,1561428511,252189,75
O,1561428512,252150,92
O,1561428512,252159,119
O,1561428513,252161,117
T,1561428513,2919
P,1561428535,5272
P,1561428565,5271
P,1561428594,5272
P,1561428623,5271
P,1561428653,5272
P,1561428682,5271
P,1561428711,5270
P,1561428740,5273
P,1561428770,5272
P,1561428800,5272
P,1561428829,5273
P,1561428859,5272
P,1561428888,5273
P,1561428917,5272
P,1561428946,5272
P,1561428976,5271
P,1561429005,5273
P,1561429034,5271
P,1561429064,5273
P,1561429094,5273
P,1561429123,5272
P,1561429152,5271
P,1561429182,5270
P,1561429211,5271
P,1561429240,5271
P,1561429269,5272
P,1561429299,5272
P,1561429328,5272
P,1561429357,5272
P,1561429388,5273
P,1561429417,5272
P,1561429446,5269
P,1561429475,5270
P,1561429505,5270
P,1561429534,5273
P,1561429563,5272
P,1561429593,5272
P,1561429622,5272
P,1561429651,5270
P,1561429681,5272
P,1561429711,5272
P,1561429740,5272
P,1561429770,5271
P,1561429800,5272
P,1561429829,5273
P,1561429858,5272
P,1561429887,5272
P,1561429917,5271
P,1561429946,5270
P,1561429976,5271
P,1561430006,5270
P,1561430035,5273
P,1561430064,5270
P,1561430093,5271
P,1561430123,5273
P,1561430152,5269
