H,1558388753,295663
P,1558388753,5441
P,1558388782,5443
P,1558388811,5444
P,1558388841,5444
P,1558388870,5443
P,1558388899,5444
P,1558388928,5442
P,1558388959,5442
P,1558388988,5443
P,1558389017,5444
P,1558389046,5443
P,1558389076,5443
P,1558389105,5442
P,1558389134,5443
P,1558389164,5445
P,1558389193,5444
P,1558389222,5444
P,1558389252,5442
P,1558389282,5442
P,1558389311,5443
P,1558389340,5444
P,1558389370,5443
P,1558389399,5445
P,1558389428,5443
P,1558389457,5444
D,1558389485,418816
R,1558389485,700D9DFBA
R,1558389485,700D9DFBA
X,1558389487,599627,30879
X,1558389487,599672,5374
P,1558389487,5436
X,1558389488,599975,5931
X,1558389488,601118,19978
X,1558389489,600240,52123
X,1558389489,600079,36538
X,1558389490,601596,9554
X,1558389491,603639,23387
X,1558389491,604722,51212
X,1558389492,597479,31794
X,1558389492,602594,17397
X,1558389493,600704,36400
X,1558389493,600141,50027
X,1558389494,600332,61191
X,1558389495,599498,64968
X,1558389495,601902,23320
X,1558389496,597680,56857
X,1558389496,443180,12522
X,1558389497,279238,1610
X,1558389497,281516,1070
X,1558389497,280333,1185
X,1558389498,280550,822
X,1558389498,280558,601
X,1558389499,280370,316
X,1558389499,280381,311
X,1558389500,280215,99
X,1558389500,280248,258
X,1558389501,280173,133
X,1558389502,280254,116
O,1558389502,280242,122
O,1558389503,280298,119
O,1558389503,280145,163
O,1558389504,280163,137
O,1558389504,280112,147
O,1558389505,280159,74
O,1558389505,280169,84
O,1558389506,280061,214
O,1558389507,280019,248
O,1558389507,280065,202
O,1558389508,280145,130
O,1558389508,280234,130
O,1558389509,280279,134
O,1558389509,280266,63
O,1558389510,280236,92
O,1558389511,280227,160
O,1558389511,280243,85
O,1558389512,280282,98
O,1558389512,280272,102
O,1558389513,280123,161
O,1558389513,280163,90
O,1558389514,280126,79
O,1558389515,280153,103
O,1558389515,280164,152
O,1558389516,280142,118
O,1558389516,280100,134
P,1558389516,5433
O,1558389517,280091,93
O,1558389517,280131,117
O,1558389518,280172,70
O,1558389518,280175,82
O,1558389519,280194,78
O,1558389520,280200,51
O,1558389520,280201,115
O,1558389521,280236,69
O,1558389521,280250,96
O,1558389522,280256,126
O,1558389522,280252,64
O,1558389523,280176,127
O,1558389524,280172,109
O,1558389524,280182,160
O,1558389525,280136,100
O,1558389525,280150,120
O,1558389526,280220,90
O,1558389526,280243,174
O,1558389527,280256,144
O,1558389528,280253,97
O,1558389528,280186,199
O,1558389529,280256,139
O,1558389529,280262,146
O,1558389530,280257,162
O,1558389530,280186,81
O,1558389531,280208,127
O,1558389532,280177,85
O,1558389532,280258,94
O,1558389533,280209,126
O,1558389533,280202,152
O,1558389534,280109,76
O,1558389534,280075,123
O,1558389535,280101,127
O,1558389535,280032,104
O,1558389536,280093,199
O,1558389537,280040,80
O,1558389537,280042,88
O,1558389538,280086,89
O,1558389538,280050,64
O,1558389538,280101,59
O,1558389538,280092,97
O,1558389539,280087,73
O,1558389540,280077,97
O,1558389540,280129,97
O,1558389541,280122,140
O,1558389541,280020,98
O,1558389542,399313,6705
T,1558389542,2851
D,1558389543,390400
R,1558389543,700D9DFBA
R,1558389543,700D9DFBA
R,1558389543,700D9DFBA
X,1558389545,575224,3705
P,1558389546,5435
X,1558389546,575473,1463
X,1558389546,576016,15793
X,1558389547,575920,3238
X,1558389547,576994,16677
X,1558389548,571236,44742
X,1558389548,554296,3098
X,1558389549,276499,3643
X,1558389550,277242,2288
X,1558389550,280882,1837
X,1558389551,280521,1618
X,1558389551,279499,571
X,1558389552,280249,402
X,1558389552,279724,202
X,1558389553,280000,271
X,1558389554,279925,214
X,1558389554,279921,206
X,1558389555,279922,73
O,1558389555,279863,132
O,1558389556,279895,106
O,1558389556,279811,149
O,1558389557,279818,114
O,1558389557,279834,124
O,1558389558,279850,151
O,1558389559,279823,97
O,1558389559,279841,154
O,1558389560,279793,70
O,1558389560,279758,86
O,1558389561,279812,104
O,1558389561,279826,122
O,1558389562,279834,111
O,1558389563,279837,154
O,1558389563,279851,164
O,1558389564,279857,116
O,1558389564,279891,140
O,1558389565,279839,131
O,1558389565,279728,188
O,1558389566,279725,103
O,1558389567,279760,116
O,1558389567,279817,74
O,1558389568,279845,78
O,1558389568,279851,148
O,1558389569,279861,136
