H,1559604701,295663
P,1559604701,5288
P,1559604730,5287
P,1559604760,5287
P,1559604789,5289
P,1559604818,5288
P,1559604847,5287
P,1559604878,5286
P,1559604907,5287
P,1559604936,5287
P,1559604966,5285
P,1559604995,5286
P,1559605024,5289
P,1559605053,5289
P,1559605083,5287
P,1559605112,5287
P,1559605141,5289
P,1559605171,5288
P,1559605201,5286
P,1559605230,5288
P,1559605259,5287
P,1559605289,5287
P,1559605318,5287
P,1559605347,5288
D,1559605353,419840
R,1559605353,700D9DFBA
R,1559605353,700D9DFBA
X,1559605355,603405,5564
X,1559605356,603878,23243
X,1559605356,602046,10337
X,1559605357,603928,23978
X,1559605357,590887,47918
X,1559605358,360350,48217
X,1559605358,263724,254
X,1559605359,263864,226
X,1559605360,263605,339
X,1559605360,263219,345
X,1559605361,262880,110
X,1559605361,262940,167
X,1559605362,263208,224
X,1559605362,263210,177
X,1559605363,263188,158
X,1559605364,263113,52
X,1559605364,263166,108
O,1559605365,263213,101
O,1559605365,263254,78
O,1559605366,263237,116
O,1559605366,263227,146
O,1559605367,263199,191
O,1559605368,263142,139
O,1559605368,263146,112
O,1559605369,263127,128
O,1559605369,263191,119
O,1559605370,263175,185
O,1559605370,263170,129
O,1559605371,263161,110
O,1559605371,263111,86
O,1559605372,263149,181
O,1559605373,263175,146
O,1559605373,263125,118
O,1559605374,263164,84
O,1559605374,263157,105
O,1559605375,263187,66
O,1559605375,263233,93
O,1559605376,263193,153
O,1559605376,263192,104
O,1559605376,263169,81
P,1559605376,5277
O,1559605377,263201,137
O,1559605377,263255,117
O,1559605378,263301,153
O,1559605378,263322,61
O,1559605379,263292,65
O,1559605380,263225,119
O,1559605380,263281,90
O,1559605381,263247,74
O,1559605381,263252,127
O,1559605382,459667,7780
T,1559605382,2913
D,1559605383,374016
R,1559605383,700D9DFBA
R,1559605383,700D9DFBA
R,1559605383,700D9DFBA
X,1559605385,263001,1633
X,1559605386,263358,154
X,1559605386,263410,122
X,1559605387,263388,121
X,1559605387,262934,361
X,1559605388,263048,367
X,1559605388,263228,224
X,1559605389,263239,90
X,1559605390,263286,161
X,1559605390,263416,203
X,1559605391,263226,155
O,1559605391,263208,138
O,1559605392,263245,109
O,1559605392,263244,139
O,1559605393,263132,290
O,1559605393,263134,210
O,1559605394,263103,171
O,1559605395,263117,291
O,1559605395,263145,178
O,1559605396,263207,222
O,1559605396,263100,311
O,1559605397,263168,251
O,1559605397,263165,228
O,1559605398,263237,162
O,1559605399,263268,253
O,1559605399,263292,128
O,1559605400,263134,197
O,1559605400,263109,102
O,1559605401,262975,130
O,1559605401,263158,126
O,1559605402,263111,148
O,1559605403,263175,214
O,1559605403,263062,263
O,1559605404,263173,266
O,1559605404,263085,289
O,1559605405,263069,157
O,1559605405,263101,231
O,1559605406,263136,250
P,1559605406,5277
O,1559605406,263164,151
O,1559605407,263175,69
O,1559605408,263256,243
O,1559605408,263230,182
O,1559605409,263379,197
O,1559605409,263574,271
O,1559605410,263278,280
O,1559605410,263319,200
O,1559605411,263188,173
O,1559605412,263267,125
O,1559605412,263321,370
O,1559605413,263250,157
O,1559605413,263295,195
O,1559605414,263359,151
O,1559605414,263213,218
O,1559605415,263184,150
O,1559605416,263239,140
O,1559605416,263161,77
O,1559605417,263086,284
O,1559605417,263058,211
O,1559605417,263082,204
O,1559605417,263102,144
O,1559605418,263285,112
O,1559605419,263229,75
O,1559605419,263201,314
O,1559605420,262997,127
O,1559605420,262981,330
O,1559605421,263106,208
O,1559605421,263049,226
O,1559605422,263112,242
O,1559605422,263098,261
O,1559605423,263260,117
O,1559605424,263260,362
O,1559605424,263116,192
O,1559605425,263186,169
O,1559605425,263125,257
O,1559605426,263292,258
O,1559605426,263542,339
O,1559605427,263347,221
O,1559605428,263320,230
O,1559605428,263212,180
O,1559605429,263059,237
O,1559605429,263128,205
O,1559605430,263162,106
O,1559605430,263040,151
O,1559605431,263038,238
O,1559605432,263007,120
O,1559605432,263100,151
O,1559605433,263236,207
O,1559605433,263193,230
O,1559605434,263139,146
O,1559605434,263295,171
O,1559605435,263299,151
P,1559605435,5280
O,1559605436,263180,341
O,1559605436,263103,241
O,1559605437,263100,219
O,1559605437,262978,299
O,1559605438,263022,398
