H,1558736822,295663
P,1558736822,5387
P,1558736851,5386
P,1558736881,5384
P,1558736910,5387
P,1558736939,5386
P,1558736969,5386
P,1558736999,5386
P,1558737028,5388
P,1558737057,5386
D,1558737072,406528
R,1558737072,700D9DFBA
R,1558737072,700D9DFBA
R,1558737072,700D9DFBA
X,1558737074,268699,1746
X,1558737074,267783,690
X,1558737075,267410,147
X,1558737076,267428,119
X,1558737076,267433,181
X,1558737077,267269,260
X,1558737077,267113,170
X,1558737078,266975,162
X,1558737078,266838,269
X,1558737079,559537,13228
X,1558737080,566592,2157
X,1558737080,566850,8693
X,1558737081,568407,28422
X,1558737081,567157,7260
X,1558737082,563823,39217
X,1558737082,491095,63786
X,1558737083,266813,1907
X,1558737084,267221,543
X,1558737084,267293,261
X,1558737085,267376,106
X,1558737085,267452,155
X,1558737086,267520,144
X,1558737086,267466,74
X,1558737087,267391,148
P,1558737087,5379
X,1558737087,267361,76
X,1558737088,267380,147
X,1558737089,440222,56376
X,1558737089,567425,8994
X,1558737090,568020,10083
X,1558737090,567839,3542
X,1558737090,568003,8953
X,1558737090,565326,14728
X,1558737091,567843,3133
X,1558737092,562265,45718
X,1558737092,507074,26085
X,1558737093,268186,5742
X,1558737093,267650,1377
X,1558737094,267272,279
X,1558737094,267522,173
X,1558737095,267665,112
X,1558737096,267669,100
X,1558737096,267613,164
X,1558737097,267501,130
X,1558737097,267429,112
X,1558737098,267412,169
X,1558737098,267441,140
O,1558737099,267466,84
O,1558737100,267443,114
O,1558737100,267414,82
O,1558737101,267400,92
O,1558737101,267403,71
O,1558737102,267419,108
O,1558737102,267419,85
O,1558737103,267424,111
O,1558737103,267417,89
O,1558737104,267437,94
O,1558737105,267462,106
O,1558737105,267452,90
O,1558737106,267440,67
O,1558737106,267430,109
O,1558737107,267440,100
O,1558737107,267472,105
O,1558737108,267455,105
O,1558737109,267461,58
O,1558737109,267456,103
O,1558737110,267452,49
O,1558737110,267452,93
O,1558737111,267462,84
O,1558737111,267453,80
O,1558737112,267455,156
O,1558737113,267449,137
O,1558737113,267444,67
O,1558737114,267437,39
O,1558737114,267447,130
O,1558737115,267416,84
O,1558737115,267440,82
O,1558737116,267429,84
P,1558737116,5378
O,1558737116,267435,131
O,1558737117,267443,101
O,1558737118,267392,118
O,1558737118,267432,94
O,1558737119,267437,59
O,1558737119,267421,122
O,1558737120,267469,109
O,1558737120,267449,105
O,1558737121,267475,86
O,1558737122,267454,76
O,1558737122,267437,146
O,1558737123,267447,143
O,1558737123,267419,88
O,1558737124,267441,99
O,1558737124,267434,53
O,1558737125,267447,89
O,1558737126,267442,103
O,1558737126,267438,105
O,1558737127,267452,112
O,1558737127,267440,127
O,1558737128,267450,81
O,1558737128,267458,60
O,1558737129,267441,96
O,1558737130,267423,71
O,1558737130,267442,143
O,1558737131,267430,76
O,1558737131,267442,87
O,1558737131,267450,121
O,1558737131,267417,125
O,1558737132,267451,108
O,1558737132,267435,51
O,1558737133,267441,84
O,1558737134,267442,53
O,1558737134,267426,77
O,1558737135,267424,80
O,1558737135,267415,86
O,1558737136,267448,73
O,1558737136,267428,126
O,1558737137,267414,106
O,1558737138,267432,91
O,1558737138,267425,84
O,1558737139,267413,91
O,1558737139,267410,59
O,1558737140,267418,126
O,1558737140,267416,123
O,1558737141,267402,41
O,1558737142,267399,127
O,1558737142,267400,114
O,1558737143,267413,64
O,1558737143,267405,126
O,1558737144,267398,97
O,1558737144,267392,62
O,1558737145,267384,105
P,1558737145,5374
O,1558737146,267402,133
O,1558737146,267386,91
O,1558737147,267412,96
O,1558737147,267466,63
O,1558737148,267434,98
O,1558737148,267434,137
T,1558737149,2892
P,1558737174,5384
P,1558737204,5385
P,1558737233,5384
P,1558737263,5383
P,1558737293,5386
P,1558737322,5386
P,1558737351,5386
P,1558737380,5385
P,1558737410,5385
P,1558737439,5387
P,1558737468,5385
P,1558737498,5387
P,1558737527,5386
P,1558737557,5386
P,1558737586,5385
P,1558737616,5386
P,1558737645,5385
P,1558737674,5387
P,1558737704,5386
P,1558737733,5386
P,1558737762,5387
P,1558737791,5387
P,1558737821,5386
P,1558737851,5386
P,1558737880,5386
P,1558737910,5386
P,1558737939,5385
P,1558737968,5385
P,1558737997,5385
P,1558738027,5387
P,1558738056,5387
P,1558738085,5386
P,1558738115,5385
