,761740,1294
X,1556414836,761822,1332
X,1556414836,760538,14720
X,1556414837,762211,2469
X,1556414837,761846,15638
X,1556414838,761768,3686
X,1556414838,761759,1325
X,1556414839,761691,1022
P,1556414839,5349
X,1556414840,761642,1117
X,1556414840,761605,1607
X,1556414841,761786,1236
X,1556414841,761611,1228
X,1556414842,761729,1286
X,1556414842,761589,1135
X,1556414843,761519,2162
X,1556414844,761466,8867
X,1556414844,761846,4276
X,1556414845,761625,1295
X,1556414845,761588,1340
X,1556414846,761513,1935
X,1556414846,761686,1288
X,1556414847,761775,1081
X,1556414848,761781,895
X,1556414848,761765,831
X,1556414849,761744,764
X,1556414849,761881,1314
X,1556414850,761833,1369
X,1556414850,761767,1404
X,1556414851,761856,1104
X,1556414851,761684,1209
X,1556414852,761781,1365
X,1556414853,761857,1865
X,1556414853,761811,1333
X,1556414854,761818,1143
X,1556414854,761662,1226
X,1556414855,761731,2000
X,1556414855,761883,1416
X,1556414856,761589,5287
X,1556414857,761584,1531
X,1556414857,761524,1025
X,1556414858,761512,1755
X,1556414858,761502,1413
X,1556414859,761360,1435
X,1556414859,761335,1362
X,1556414860,761290,1338
X,1556414861,761276,1401
X,1556414861,761293,1143
X,1556414862,761223,1642
X,1556414862,761086,1365
X,1556414863,761105,1403
X,1556414863,761171,1415
X,1556414864,761464,1422
X,1556414865,761676,1352
X,1556414865,761808,7449
X,1556414866,761497,3008
X,1556414866,761622,1243
X,1556414867,761714,1134
X,1556414867,761765,1804
X,1556414868,761678,1128
X,1556414868,761578,2679
X,1556414869,761591,1549
P,1556414869,5359
X,1556414870,761835,1405
X,1556414870,761630,6086
X,1556414871,761651,1646
X,1556414871,761666,1445
X,1556414872,761677,1648
X,1556414872,761702,2285
X,1556414873,761781,1579
X,1556414874,761709,1582
X,1556414874,761667,1290
X,1556414874,761626,1645
X,1556414874,761724,1862
X,1556414875,761788,1829
X,1556414875,761750,1435
X,1556414876,761686,1103
X,1556414877,761704,1440
X,1556414877,761591,917
X,1556414878,761714,1254
X,1556414878,761699,1716
X,1556414879,761717,1123
X,1556414879,761660,1219
X,1556414880,761566,1374
X,1556414881,761648,1556
X,1556414881,761719,1539
X,1556414882,761612,1390
X,1556414882,761689,1017
X,1556414883,761620,1167
X,1556414883,761738,1949
X,1556414884,761760,1414
X,1556414884,761773,2271
X,1556414885,761714,1059
X,1556414886,761691,1596
X,1556414886,761729,1308
X,1556414887,761781,1510
X,1556414887,761771,1615
X,1556414888,761771,1019
X,1556414888,761726,5141
X,1556414889,761683,1492
X,1556414890,761732,1590
X,1556414890,761796,1336
X,1556414891,761664,1313
X,1556414891,761621,1483
X,1556414892,761647,1718
X,1556414892,761735,1533
X,1556414893,761742,1602
X,1556414894,761830,1677
X,1556414894,761815,1757
X,1556414895,761655,1091
X,1556414895,761745,1912
X,1556414896,761864,1972
X,1556414896,761748,1749
X,1556414897,761813,1324
X,1556414898,761675,1509
X,1556414898,761795,2160
P,1556414898,5357
X,1556414899,761846,1635
X,1556414899,761681,1459
X,1556414900,761681,1419
X,1556414900,761681,1304
X,1556414901,761606,1132
X,1556414901,761867,1683
X,1556414902,761776,1409
X,1556414903,761702,1416
X,1556414903,761640,1025
X,1556414904,761642,1923
X,1556414904,761732,1494
X,1556414905,761672,1375
X,1556414905,761680,1385
X,1556414906,761728,1229
X,1556414907,761730,2203
X,1556414907,761824,1619
X,1556414908,761881,1662
X,1556414908,761745,1577
X,1556414909,761771,1279
X,1556414909,761616,1351
X,1556414910,761796,2464
X,1556414911,761825,1226
X,1556414911,761739,1669
X,1556414912,761730,1126
X,1556414912,761664,1387
X,1556414913,761692,1383
X,1556414913,761717,1678
X,1556414914,761583,1717
X,1556414915,761609,1169
X,1556414915,761530,1151
X,1556414915,761670,940
X,1556414915,761752,1620
X,1556414916,761574,1265
X,1556414916,761622,1498
X,1556414917,761641,1343
X,1556414917,761531,1376
X,1556414918,761617,1415
X,1556414919,761674,1797
X,1556414919,761624,1278
X,1556414920,761699,1355
X,1556414920,761734,1412
X,1556414921,761806,1425
X,1556414921,761872,1798
X,1556414922,761840,1209
X,1556414923,761789,1247
