H,440,757889
U,440,0
E,442,111
P,442,5243
P,472,5099
P,501,5089
D,520,625664
D,522,645632
D,524,648448
D,526,647936
D,528,647936
P,530,5081
D,530,647936
D,533,649216
U,1548408501,0
D,1548408502,646400
R,1548408502,700D98F7B
R,1548408502,700D98F7B
U,1548408503,0
X,1548408503,997849,7131
X,1548408503,998877,794
X,1548408504,997921,1365
X,1548408504,999053,1596
X,1548408505,999454,1420
X,1548408505,999089,3913
X,1548408506,999198,7719
X,1548408507,999003,2238
X,1548408507,999058,1770
X,1548408508,999198,767
X,1548408508,999706,1228
X,1548408509,999627,1993
X,1548408509,998790,1168
X,1548408510,998895,1142
X,1548408511,997546,3097
X,1548408511,999305,1733
X,1548408512,999225,1184
X,1548408512,999674,1637
X,1548408513,999482,3183
X,1548408513,999939,1569
X,1548408514,1000155,3112
X,1548408515,1000069,1593
X,1548408515,1000088,1156
X,1548408516,1000308,662
X,1548408516,999973,2753
X,1548408517,998855,5601
X,1548408517,998913,19797
X,1548408518,953243,23438
X,1548408519,756662,4270
X,1548408519,755871,1519
X,1548408520,755328,1126
X,1548408520,754752,614
X,1548408521,755248,551
X,1548408521,755512,601
X,1548408522,755007,1727
X,1548408523,754407,587
X,1548408523,754829,832
X,1548408524,754055,593
X,1548408524,754618,1071
O,1548408525,755100,563
O,1548408525,755204,333
O,1548408526,755105,546
P,1548408526,5068
O,1548408527,755116,541
O,1548408527,755156,725
O,1548408528,754826,645
O,1548408528,754849,484
O,1548408529,754721,354
O,1548408529,754641,598
O,1548408529,755022,330
O,1548408529,754869,255
O,1548408530,754650,390
O,1548408531,754690,248
O,1548408531,754461,271
C,1548408531,1
O,1548408532,754402,209
O,1548408532,754571,230
O,1548408533,754547,148
O,1548408533,754342,233
O,1548408534,754227,412
O,1548408535,754285,372
O,1548408535,753846,735
O,1548408536,753710,506
O,1548408536,753771,423
O,1548408537,754194,851
O,1548408537,754075,446
O,1548408538,754300,306
O,1548408539,754403,247
O,1548408539,754515,139
O,1548408540,754311,249
O,1548408540,754260,253
O,1548408541,754170,468
O,1548408541,754108,209
O,1548408542,754123,124
O,1548408543,753971,277
O,1548408543,812000,57338
T,1548408543,2705
D,1548408544,565760
X,1548408546,874754,7591
X,1548408547,874967,1264
X,1548408547,875558,1072
X,1548408548,874854,951
X,1548408549,875397,706
X,1548408549,875789,603
X,1548408550,875856,478
X,1548408550,875878,365
X,1548408551,875990,289
X,1548408551,876119,621
X,1548408552,875863,232
X,1548408553,876041,286
X,1548408553,875963,346
X,1548408554,876088,302
X,1548408554,876399,158
X,1548408555,876313,397
P,1548408555,5064
X,1548408555,876250,380
X,1548408556,876273,347
X,1548408557,876104,453
X,1548408557,876188,363
X,1548408558,876100,349
X,1548408558,876159,480
X,1548408559,875938,556
A,1548408559,875978,1545
T,1548408559,2706
U,1548408559,36731
X,1548408561,876009,262
X,1548408561,875895,244
X,1548408562,875983,487
X,1548408562,875957,527
X,1548408563,875979,305
X,1548408564,876165,300
X,1548408564,876087,299
X,1548408565,876016,229
X,1548408565,875933,348
X,1548408566,875829,268
X,1548408566,875886,381
X,1548408567,875670,539
X,1548408568,875279,382
X,1548408568,875124,465
X,1548408569,874900,720
X,1548408569,874526,346
X,1548408570,874969,325
X,1548408570,875278,490
X,1548408570,875186,428
X,1548408571,875364,398
A,1548408571,875601,1639
T,1548408571,2708
U,1548408571,36731
X,1548408573,875871,557
X,1548408573,875476,423
X,1548408574,875419,270
X,1548408574,875356,323
X,1548408575,875419,190
X,1548408575,875239,371
X,1548408576,875155,481
X,1548408576,875320,408
X,1548408577,875296,281
X,1548408578,875408,355
X,1548408578,875410,267
X,1548408579,875185,429
X,1548408579,875039,859
X,1548408580,874370,1022
X,1548408580,874633,1109
X,1548408581,875034,367
X,1548408582,875267,468
C,1548408582,1
X,1548408582,875458,237
X,1548408583,875447,264
X,1548408583,875328,437
X,1548408584,875313,296
P,1548408584,5060
X,1548408584,875169,478
A,1548408585,875330,837
T,1548408585,2709
U,1548408585,36731
X,1548408587,874913,758
X,1548408587,875045,1418
X,1548408588,874541,956
X,1548408588,874291,991
X,1548408589,873873,3481
X,1548408589,874127,2105
X,1548408590,874356,1104
