H,1557886022,301756
D,1557886022,404224
D,1557886024,404992
D,1557886026,406528
D,1557886029,396544
D,1557886031,405248
D,1557886033,412672
D,1557886035,406528
D,1557886037,404480
D,1557886040,411648
D,1557886042,411648
D,1557886044,397056
D,1557886046,404736
D,1557886048,400384
P,1557886049,5315
D,1557886050,413184
D,1557886052,401408
D,1557886054,414208
D,1557886056,411136
D,1557886058,408320
D,1557886061,406784
D,1557886063,404224
D,1557886065,407296
D,1557886067,421632
D,1557886070,409344
D,1557886072,401408
D,1557886074,397568
D,1557886076,410624
D,1557886078,397568
P,1557886079,5315
D,1557886081,404736
D,1557886083,404992
D,1557886085,402688
D,1557886087,384256
D,1557886089,406784
D,1557886091,402176
D,1557886093,390144
D,1557886095,398080
D,1557886097,402688
D,1557886099,399104
D,1557886102,402944
P,1557886108,5316
P,1557886137,5315
P,1557886167,5315
P,1557886197,5316
P,1557886226,5316
P,1557886255,5315
P,1557886285,5315
P,1557886314,5314
D,1557886333,434944
D,1557886335,456192
D,1557886337,465920
R,1557886337,000000000
X,1557886338,679575,33454
X,1557886339,691578,1479
X,1557886340,685721,38030
X,1557886340,677477,30513
X,1557886341,701372,53383
X,1557886341,703204,50238
X,1557886342,715136,7318
X,1557886342,713424,51717
X,1557886343,713109,35966
P,1557886343,5308
X,1557886344,718191,26740
X,1557886344,711784,31366
X,1557886345,708821,40774
X,1557886345,722781,32777
X,1557886346,716057,35064
X,1557886346,713412,33419
X,1557886347,715295,20004
X,1557886347,722204,7428
X,1557886348,723458,37023
X,1557886349,719950,19531
X,1557886349,719278,17636
X,1557886350,719028,16761
X,1557886350,714083,22002
X,1557886351,714411,36071
X,1557886351,725694,40139
X,1557886352,714616,33074
X,1557886353,693958,54468
X,1557886353,700630,2201
X,1557886354,716242,12699
X,1557886354,721235,41395
X,1557886355,710823,37603
X,1557886355,707915,11913
X,1557886356,717422,31974
X,1557886357,712703,21800
X,1557886357,705604,15178
X,1557886358,707549,5585
X,1557886358,710321,33165
X,1557886359,719412,38664
X,1557886359,700227,44034
X,1557886360,689836,27869
X,1557886361,708953,56241
X,1557886361,705445,14719
X,1557886362,711931,33978
X,1557886362,720956,14636
X,1557886363,725069,24120
X,1557886363,726815,11678
X,1557886364,723887,18352
X,1557886364,718831,28468
X,1557886365,720903,22008
X,1557886366,723725,16962
X,1557886366,720211,11775
X,1557886367,726940,17415
X,1557886367,724984,12075
X,1557886368,726559,22960
X,1557886368,728589,13540
X,1557886369,724230,11222
X,1557886370,717284,28344
X,1557886370,720862,23512
X,1557886371,722736,14244
X,1557886371,725948,14104
X,1557886372,700728,15358
X,1557886372,693381,2320
X,1557886373,717176,28820
P,1557886373,5305
X,1557886374,705406,58967
X,1557886374,704268,19396
X,1557886375,714584,32411
X,1557886375,727089,20456
X,1557886376,727573,24074
X,1557886376,721274,39017
X,1557886377,728179,14663
X,1557886377,727732,19321
X,1557886377,718531,42534
X,1557886378,717039,18279
X,1557886378,721622,17539
X,1557886379,723203,12778
X,1557886379,717502,30400
X,1557886380,719065,46902
X,1557886380,717921,33790
X,1557886381,724167,12737
X,1557886382,724755,10586
X,1557886382,723106,22346
X,1557886383,714613,18258
X,1557886383,717786,19040
X,1557886384,714443,58253
X,1557886384,703340,42731
X,1557886385,719533,49424
X,1557886386,675495,41921
X,1557886386,682566,24577
X,1557886387,697277,42251
X,1557886387,710122,36323
X,1557886388,723749,39774
X,1557886388,695101,65495
X,1557886389,725151,9876
X,1557886390,716179,32933
X,1557886390,587327,28462
X,1557886391,313915,14089
X,1557886391,314096,5181
X,1557886392,315574,6302
X,1557886392,315825,3749
X,1557886393,318160,5132
X,1557886393,313923,4765
X,1557886394,316317,2393
X,1557886395,315900,8900
X,1557886395,314349,3908
X,1557886396,313267,8842
X,1557886396,314397,4531
O,1557886397,314300,7285
O,1557886397,317870,1152
O,1557886398,319404,3302
O,1557886399,318398,6332
O,1557886399,317163,4297
O,1557886400,317614,3964
O,1557886400,316983,3731
O,1557886401,318114,981
O,1557886401,318084,3872
O,1557886402,317097,3200
P,1557886402,5308
O,1557886403,317566,3145
O,1557886403,319169,3209
O,1557886404,317846,4102
O,1557886404,316927,3245
O,1557886405,316293,8140
O,1557886405,314667,9101
O,1557886406,315326,3132
O,1557886407,318568,4317
O,1557886407,315872,9892
O,1557886408,313712,9988
O,1557886408,316989,6930
O,1557886409,317528,2442
O,1557886409,316586,3693
O,1557886410,314811,4436
O,1557886410,318161,4802
O,1557886411,317153,6824
O,1557886412,314972,5528
O,1557886412,314672,8002
