H,1558742348,301756
D,1558742348,449280
D,1558742350,450304
D,1558742353,449792
D,1558742355,450816
D,1558742357,450560
D,1558742359,450816
D,1558742361,450560
D,1558742364,451072
D,1558742365,450816
D,1558742367,450304
D,1558742369,450304
D,1558742371,451328
D,1558742374,451072
D,1558742376,451840
P,1558742377,5223
D,1558742378,450816
D,1558742380,450048
D,1558742382,451840
D,1558742385,449536
D,1558742387,450816
D,1558742389,449536
D,1558742391,455936
D,1558742393,454400
D,1558742396,457216
P,1558742406,5221
P,1558742436,5222
P,1558742465,5224
P,1558742494,5223
P,1558742524,5224
P,1558742554,5221
P,1558742583,5223
P,1558742612,5224
P,1558742642,5223
P,1558742671,5224
P,1558742700,5223
P,1558742730,5223
P,1558742759,5223
D,1558742786,413440
R,1558742786,700D9CE41
X,1558742787,625183,19187
X,1558742788,623035,10554
P,1558742788,5215
X,1558742789,623567,14618
X,1558742789,623624,51901
X,1558742790,623283,13669
X,1558742790,623844,8084
X,1558742791,623783,5634
X,1558742791,624279,5723
X,1558742792,623899,15496
X,1558742793,624110,3371
X,1558742793,624051,3673
X,1558742794,623963,23589
X,1558742794,623933,14350
X,1558742795,624527,13486
X,1558742795,623662,2133
X,1558742796,623635,2146
X,1558742797,623666,2377
X,1558742797,623944,2000
X,1558742798,623451,2629
X,1558742798,622936,23471
X,1558742799,623347,2211
X,1558742799,623611,1953
X,1558742800,623617,1927
X,1558742800,623806,2287
X,1558742801,623822,1667
X,1558742802,623721,2318
X,1558742802,623842,2294
X,1558742803,623813,2038
X,1558742803,623714,2288
X,1558742804,623637,1986
X,1558742804,623878,2027
X,1558742805,624207,9302
X,1558742806,624034,2368
X,1558742806,623869,9273
X,1558742807,624026,17272
X,1558742807,623494,7708
X,1558742808,624231,3146
X,1558742808,624324,2816
X,1558742809,624314,2045
X,1558742810,624194,1689
X,1558742810,624357,1923
X,1558742811,624320,2098
X,1558742811,624240,1629
X,1558742812,624281,1704
X,1558742812,624426,1624
X,1558742813,624304,2065
X,1558742814,623027,16144
X,1558742814,623810,5520
X,1558742815,623992,1845
X,1558742815,623941,1903
X,1558742815,624650,7182
X,1558742815,622553,8279
X,1558742816,624172,8298
X,1558742816,623954,3686
X,1558742817,623952,1496
P,1558742817,5216
X,1558742818,624010,2449
X,1558742818,624041,2151
X,1558742819,623951,1570
X,1558742819,623924,1818
X,1558742820,624238,1914
X,1558742820,624282,2718
X,1558742821,623969,1953
X,1558742822,624119,1934
X,1558742822,623992,2873
X,1558742823,624477,2261
X,1558742823,624209,1755
X,1558742824,623749,10659
X,1558742824,624082,8298
X,1558742825,624101,3212
X,1558742826,623806,1639
X,1558742826,623982,2057
X,1558742827,623971,1964
X,1558742827,624026,1753
X,1558742828,624069,1985
X,1558742828,624014,1892
X,1558742829,624422,1449
X,1558742830,623605,5081
X,1558742830,623887,1491
X,1558742831,623982,1806
X,1558742831,623967,1289
X,1558742832,623779,1249
X,1558742832,624009,1852
X,1558742833,624056,2229
X,1558742833,623765,2343
X,1558742834,623896,1331
X,1558742835,623747,1757
X,1558742835,624011,1406
X,1558742836,624120,1633
X,1558742836,623789,1507
X,1558742837,623849,1678
X,1558742837,623809,1168
X,1558742838,624012,1805
X,1558742839,624093,1763
X,1558742839,624017,13961
X,1558742840,623904,1652
X,1558742840,623916,1350
X,1558742841,624090,2278
X,1558742841,624144,1012
X,1558742842,624092,1498
X,1558742843,623802,1588
X,1558742843,624120,1548
X,1558742844,623932,3184
X,1558742844,624153,2189
X,1558742845,624059,2403
X,1558742845,624012,1521
X,1558742846,623801,2337
X,1558742847,623799,2676
X,1558742847,623822,1543
P,1558742848,5218
X,1558742848,623955,1548
X,1558742848,624259,2247
X,1558742849,624005,2256
X,1558742849,624098,2085
X,1558742850,624058,1282
X,1558742850,624245,1885
X,1558742851,624412,2240
X,1558742852,624320,2228
X,1558742852,624244,4594
X,1558742853,623436,26703
X,1558742853,623162,12954
X,1558742854,624118,2368
X,1558742854,624052,4437
X,1558742855,623916,2093
X,1558742856,624024,2428
X,1558742856,624355,2270
X,1558742856,623894,9388
X,1558742856,624191,10248
X,1558742857,624731,13512
X,1558742857,623741,10628
X,1558742858,624349,12803
X,1558742859,624401,2459
X,1558742859,624122,2756
X,1558742860,624044,11285
X,1558742860,624496,6766
X,1558742861,624161,2665
X,1558742861,624330,2865
X,1558742862,624209,1789
X,1558742862,624848,2256
X,1558742863,624628,3168
X,1558742864,624366,5021
X,1558742864,623461,4574
X,1558742865,624286,1978
X,1558742865,623808,1744
