H,1558385196,301756
P,1558385196,5248
P,1558385225,5246
P,1558385254,5247
P,1558385284,5247
P,1558385313,5247
P,1558385342,5245
P,1558385372,5248
P,1558385401,5247
P,1558385430,5247
P,1558385460,5247
P,1558385490,5246
P,1558385519,5247
P,1558385548,5247
P,1558385578,5247
P,1558385607,5247
P,1558385636,5246
P,1558385666,5247
P,1558385696,5248
P,1558385725,5248
P,1558385755,5246
P,1558385785,5248
P,1558385814,5246
P,1558385843,5247
P,1558385872,5245
P,1558385902,5249
P,1558385931,5248
P,1558385960,5246
P,1558385990,5247
P,1558386019,5247
P,1558386049,5245
P,1558386078,5246
P,1558386108,5247
P,1558386137,5246
P,1558386166,5245
P,1558386196,5247
P,1558386225,5247
P,1558386254,5246
P,1558386283,5245
P,1558386313,5247
P,1558386343,5246
P,1558386372,5247
P,1558386402,5246
P,1558386431,5245
P,1558386460,5246
P,1558386489,5248
P,1558386519,5247
P,1558386548,5247
P,1558386577,5247
P,1558386607,5248
P,1558386637,5248
P,1558386666,5248
P,1558386695,5245
P,1558386725,5247
D,1558386736,398080
R,1558386736,700D9CE41
X,1558386737,644441,13779
X,1558386738,647036,30099
X,1558386738,645700,41669
X,1558386739,646696,14248
X,1558386740,648293,17745
X,1558386740,646985,3550
X,1558386741,647040,14093
X,1558386741,646820,3433
X,1558386742,647057,2592
X,1558386742,647006,3253
X,1558386743,647462,3831
X,1558386744,646412,10748
X,1558386744,647079,3247
X,1558386745,647092,2705
X,1558386745,648073,15691
X,1558386746,646989,2688
X,1558386746,647133,2183
X,1558386747,647172,2080
X,1558386748,647736,5506
X,1558386748,646351,14208
X,1558386749,646669,8019
X,1558386749,647199,9196
X,1558386750,646921,2863
X,1558386750,646882,2135
X,1558386751,647110,2750
X,1558386751,647063,14927
X,1558386752,646989,9763
X,1558386753,646783,3688
X,1558386753,647899,10975
X,1558386754,646729,7838
P,1558386754,5241
X,1558386754,647353,3610
X,1558386755,647157,2263
X,1558386755,647012,2180
X,1558386756,647114,1081
X,1558386757,647119,1508
X,1558386757,646906,1240
X,1558386758,647137,1237
X,1558386758,647251,1277
X,1558386759,647358,1021
X,1558386759,647486,1681
X,1558386760,647356,2140
X,1558386761,647405,1351
X,1558386761,647351,1173
X,1558386762,647246,1888
X,1558386762,647272,1646
X,1558386763,647212,1325
X,1558386763,647208,1534
X,1558386764,647189,766
X,1558386765,647269,1884
X,1558386765,647382,1082
X,1558386766,647325,1602
X,1558386766,647214,1373
X,1558386767,647415,3753
X,1558386767,647336,2490
X,1558386768,647315,18438
X,1558386768,647456,4676
X,1558386769,647563,1941
X,1558386770,647352,5180
X,1558386770,647464,5187
X,1558386771,647160,4275
X,1558386771,647329,1543
X,1558386772,647347,1340
X,1558386772,647316,1020
X,1558386772,647358,1274
X,1558386773,647393,1256
X,1558386773,647358,1265
X,1558386774,647392,896
X,1558386774,647026,1525
X,1558386775,647394,1443
X,1558386775,647467,1554
X,1558386776,647681,1243
X,1558386777,647421,1899
X,1558386777,647528,1067
X,1558386778,647293,1314
X,1558386778,647407,1168
X,1558386779,647513,948
X,1558386779,647616,1065
X,1558386780,647611,4649
X,1558386780,647496,1370
X,1558386781,647479,1096
X,1558386782,647652,1673
X,1558386782,647587,1520
X,1558386783,647511,1755
P,1558386783,5239
X,1558386783,647565,1373
X,1558386784,646829,4591
X,1558386784,648138,4830
X,1558386785,647398,505
X,1558386786,647202,1743
X,1558386786,647170,1559
X,1558386787,647222,1357
X,1558386787,647166,1467
X,1558386788,647290,9928
X,1558386788,646970,1719
X,1558386789,647346,1243
X,1558386790,647407,1359
X,1558386790,647446,1235
X,1558386791,647465,753
X,1558386791,647485,1510
X,1558386792,647528,1005
X,1558386792,647603,1207
X,1558386793,647342,1323
X,1558386794,647338,1826
X,1558386794,647271,1521
X,1558386795,647402,1580
X,1558386795,647353,664
X,1558386796,647493,1084
X,1558386796,647339,1094
X,1558386797,647315,1414
X,1558386797,647310,1318
X,1558386798,647382,1321
X,1558386799,647402,1558
X,1558386799,647433,1426
X,1558386800,647425,1463
X,1558386800,647419,1443
X,1558386801,647401,1284
X,1558386801,647363,12353
X,1558386802,647642,2114
X,1558386803,647200,12618
X,1558386803,647642,1392
X,1558386804,647718,5247
X,1558386804,647676,2034
X,1558386805,647877,13307
X,1558386805,647859,4273
X,1558386806,648491,2335
X,1558386807,647641,4734
X,1558386807,647838,1209
X,1558386808,647363,1955
X,1558386808,647621,1124
X,1558386809,647553,1605
X,1558386809,647658,1415
X,1558386810,647365,1671
X,1558386811,647540,2400
