H,1556830519,301756
X,1556830519,661083,2050
X,1556830520,661086,2747
X,1556830520,661595,5775
X,1556830521,661869,5201
X,1556830522,662261,2235
X,1556830522,661294,2661
X,1556830523,661430,2545
X,1556830523,661748,1278
X,1556830524,661601,1291
P,1556830524,5612
X,1556830524,661523,1748
X,1556830525,661689,1573
X,1556830526,661876,1482
X,1556830526,661740,2252
X,1556830527,661713,3384
X,1556830527,660356,4768
X,1556830528,659227,2063
X,1556830528,661128,1753
X,1556830529,661631,1762
X,1556830529,661694,1206
X,1556830530,662228,1225
X,1556830531,661692,1695
X,1556830531,662044,20452
X,1556830532,661912,1893
X,1556830532,661702,858
X,1556830533,661421,1331
X,1556830533,661431,1004
X,1556830534,661734,1817
X,1556830535,662034,1186
X,1556830535,661649,1414
X,1556830536,661811,1811
X,1556830536,660379,2661
X,1556830537,660494,9629
X,1556830537,661021,3955
X,1556830538,660234,4609
X,1556830539,659204,7022
X,1556830539,660540,4501
X,1556830540,660830,3253
X,1556830540,662062,1230
X,1556830541,661395,2234
X,1556830541,660657,2517
X,1556830542,661704,1444
X,1556830543,661500,1195
X,1556830543,661382,1144
X,1556830544,661909,1432
X,1556830544,662617,1585
X,1556830545,661401,1393
X,1556830545,661190,2009
X,1556830546,661648,1189
X,1556830546,662025,1159
X,1556830547,661218,947
X,1556830548,660831,1917
X,1556830548,661462,1393
X,1556830549,661990,1757
X,1556830549,661276,1075
X,1556830550,662021,1365
X,1556830550,661794,1459
X,1556830550,662009,1824
X,1556830551,661793,1507
X,1556830551,661764,2196
X,1556830552,661427,2202
X,1556830552,660863,1659
X,1556830553,660933,1885
P,1556830553,5625
X,1556830553,660879,851
X,1556830554,660641,2189
X,1556830555,661494,2129
X,1556830555,661729,1277
X,1556830556,661700,1150
X,1556830556,661642,855
X,1556830557,661397,1543
X,1556830557,661790,1409
X,1556830558,661584,1571
X,1556830559,661681,1077
X,1556830559,661972,771
A,1556830559,661425,1142
T,1556830559,2826
R,1556830559,700D9CE41
X,1556830561,661566,769
X,1556830562,661340,1356
X,1556830562,661134,1226
X,1556830563,660896,1513
X,1556830563,660626,1312
X,1556830564,660594,1624
X,1556830564,661343,3612
X,1556830565,661465,1747
X,1556830566,661712,1055
X,1556830566,661923,1087
X,1556830567,661579,987
X,1556830567,661623,1103
X,1556830568,661440,1506
X,1556830568,662076,958
X,1556830569,661985,894
X,1556830570,661786,926
X,1556830570,661946,1082
X,1556830571,662403,1338
X,1556830571,662328,982
X,1556830572,661923,1246
X,1556830572,661684,1143
X,1556830573,661797,894
X,1556830574,662449,1469
X,1556830574,662817,1161
X,1556830575,662572,1579
X,1556830575,662483,1342
X,1556830576,661973,1401
X,1556830576,662229,1235
X,1556830577,661710,1106
X,1556830577,661774,1220
X,1556830578,661911,1070
X,1556830579,661826,1047
X,1556830579,661759,911
X,1556830580,661555,1114
X,1556830580,661439,1768
X,1556830581,661865,1480
X,1556830581,661883,1222
X,1556830582,661998,1202
X,1556830583,662557,1280
X,1556830583,662439,1101
P,1556830583,5625
X,1556830584,660643,4788
X,1556830584,660067,11647
X,1556830585,659909,5724
X,1556830585,661090,2232
X,1556830586,658951,13978
X,1556830587,658966,5655
X,1556830587,660153,4436
X,1556830588,661155,2615
X,1556830588,661910,1192
X,1556830589,662012,2084
X,1556830589,662617,949
X,1556830590,662208,1459
X,1556830590,661965,1405
X,1556830591,661677,1681
X,1556830591,662099,831
X,1556830591,662015,1331
X,1556830592,662499,1677
X,1556830592,662826,1215
X,1556830593,661780,1368
X,1556830593,661664,1281
X,1556830594,661993,1659
X,1556830595,662339,1453
X,1556830595,661957,1154
X,1556830596,661488,2183
X,1556830596,661622,3860
X,1556830597,661382,2881
X,1556830597,661632,2259
X,1556830598,662332,1185
X,1556830599,661961,2136
X,1556830599,661766,1372
X,1556830600,661825,1970
X,1556830600,662308,2322
X,1556830601,662199,1805
X,1556830601,661529,1569
X,1556830602,662007,1088
X,1556830603,661821,2909
X,1556830603,661561,2781
X,1556830604,661673,4118
X,1556830604,660598,2879
X,1556830605,660829,1836
X,1556830605,661703,2868
X,1556830606,661114,1288
X,1556830606,661224,3307
X,1556830607,660795,2970
X,1556830608,661398,2559
X,1556830608,661260,1347
X,1556830609,661797,2133
X,1556830609,661732,1491
X,1556830610,661083,2404
X,1556830610,661639,2258
X,1556830611,660574,3445
X,1556830612,659866,5885
X,1556830612,660477,3103
