H,1559694571,312504
P,1559694571,5158
P,1559694601,5159
P,1559694630,5157
P,1559694660,5156
P,1559694689,5159
P,1559694718,5158
P,1559694748,5159
P,1559694777,5158
P,1559694806,5159
P,1559694835,5159
P,1559694865,5159
P,1559694895,5159
P,1559694924,5158
P,1559694954,5159
P,1559694983,5159
P,1559695012,5159
P,1559695041,5158
P,1559695071,5159
P,1559695100,5156
P,1559695129,5158
P,1559695159,5159
P,1559695189,5160
P,1559695218,5159
P,1559695247,5160
P,1559695277,5158
P,1559695306,5159
P,1559695335,5158
P,1559695364,5159
P,1559695394,5159
P,1559695423,5159
P,1559695452,5157
D,1559695461,520704
D,1559695464,446208
D,1559695466,464896
D,1559695468,450304
R,1559695468,700D9CE41
X,1559695470,691027,14032
X,1559695470,691642,4397
X,1559695471,690684,27288
X,1559695472,691485,13600
X,1559695472,690282,50419
X,1559695473,691275,5776
X,1559695473,690954,6950
X,1559695474,690885,2907
X,1559695474,691118,3176
X,1559695475,691788,43131
X,1559695475,691493,9180
X,1559695476,690429,3976
X,1559695477,691012,3659
X,1559695477,691337,5383
X,1559695478,691155,1536
X,1559695478,691333,2599
X,1559695479,691058,7639
X,1559695479,691299,3250
X,1559695480,690760,3893
X,1559695481,691076,6738
X,1559695481,691098,2370
X,1559695482,691003,3063
X,1559695482,690970,3124
P,1559695483,5149
X,1559695483,690253,2944
X,1559695483,690784,3201
X,1559695484,690401,1931
X,1559695485,690513,7543
X,1559695485,690659,2685
X,1559695486,690405,2351
X,1559695486,690933,1911
X,1559695487,690705,3866
X,1559695487,690057,1785
X,1559695487,690511,2389
X,1559695487,691057,2035
X,1559695488,691387,2026
X,1559695489,691028,1402
X,1559695489,691242,10258
X,1559695490,691589,2904
X,1559695490,691361,8943
X,1559695491,691586,16293
X,1559695491,691521,2317
X,1559695492,691606,2660
X,1559695493,691697,19684
X,1559695493,691289,9152
X,1559695494,692707,13344
X,1559695494,689958,14240
X,1559695495,691872,2716
X,1559695495,691844,2148
X,1559695496,691813,2102
X,1559695497,691695,2308
X,1559695497,691578,2686
X,1559695498,691150,13920
X,1559695498,691470,2356
X,1559695499,692246,6139
X,1559695499,691456,5072
X,1559695500,691337,2232
X,1559695501,691549,1962
X,1559695501,691451,1591
X,1559695502,691580,2045
X,1559695502,691810,1716
X,1559695503,691681,8256
X,1559695503,692051,3406
X,1559695504,691395,4288
X,1559695504,691630,2095
X,1559695505,691233,7718
X,1559695506,691465,3818
X,1559695506,691479,2525
X,1559695507,691092,2101
X,1559695507,691323,2137
X,1559695508,691658,2162
X,1559695508,691458,1967
X,1559695509,691509,1612
X,1559695510,691559,2118
X,1559695510,691774,1365
X,1559695511,691677,2383
X,1559695511,691555,1877
P,1559695512,5150
X,1559695512,691424,1476
X,1559695512,692027,3804
X,1559695513,691646,2876
X,1559695514,691750,2603
X,1559695514,691693,1801
X,1559695515,691700,1430
X,1559695515,691534,2251
X,1559695516,691651,2394
X,1559695516,691469,2263
X,1559695517,691651,1824
X,1559695518,691616,3358
X,1559695518,691520,2428
X,1559695519,691571,2180
X,1559695519,691696,1899
X,1559695520,691733,2096
X,1559695520,691783,2618
X,1559695521,691648,1592
X,1559695521,691818,1588
X,1559695522,691781,2958
X,1559695523,691725,2154
X,1559695523,691732,1635
X,1559695524,691713,2951
X,1559695524,691689,3577
X,1559695525,691819,1471
X,1559695525,691767,3475
X,1559695526,691641,1950
X,1559695527,691735,1913
X,1559695527,691739,2306
X,1559695528,691748,1702
X,1559695528,691656,985
X,1559695528,691784,2359
X,1559695528,691685,2168
X,1559695529,691716,1148
X,1559695530,691729,1714
X,1559695530,691844,1778
X,1559695531,691703,1789
X,1559695531,691725,2861
X,1559695532,691690,988
X,1559695532,691659,1582
X,1559695533,691634,2723
X,1559695534,691618,1764
X,1559695534,691686,2229
X,1559695535,691367,4661
X,1559695535,691492,2145
X,1559695536,691601,2096
X,1559695536,691604,2027
X,1559695537,691407,15174
X,1559695537,691700,1581
X,1559695538,691638,2287
X,1559695539,691727,2091
X,1559695539,691691,1278
X,1559695540,691661,1595
X,1559695540,691691,2577
P,1559695541,5153
X,1559695541,691701,2233
X,1559695541,691636,2963
X,1559695542,691735,1191
X,1559695543,691641,2299
X,1559695543,691578,1363
X,1559695544,691610,2030
X,1559695544,691869,2039
X,1559695545,691732,1521
X,1559695545,691747,2131
X,1559695546,691701,1949
X,1559695547,691736,2250
X,1559695547,691726,1939
X,1559695548,691753,1982
X,1559695548,691564,10636
