H,1558381522,301756
P,1558381522,5249
D,1558381523,573184
D,1558381525,465920
D,1558381527,485632
D,1558381530,485376
D,1558381532,479232
D,1558381534,481536
D,1558381536,483328
D,1558381538,474880
D,1558381541,481024
D,1558381543,481792
D,1558381545,480512
D,1558381547,482560
D,1558381549,474368
P,1558381551,5248
D,1558381552,482560
D,1558381554,484352
D,1558381556,483840
D,1558381558,483840
D,1558381560,482048
D,1558381563,481792
D,1558381564,483072
D,1558381566,483072
D,1558381568,483072
D,1558381570,482304
D,1558381573,493568
D,1558381575,488448
D,1558381577,482816
D,1558381579,482560
P,1558381580,5246
D,1558381581,483072
D,1558381584,482560
D,1558381586,483840
D,1558381588,479488
D,1558381590,482048
D,1558381592,483840
D,1558381595,484096
D,1558381597,482304
D,1558381599,483072
D,1558381601,481280
D,1558381603,482816
D,1558381605,483328
D,1558381607,483840
D,1558381609,487936
P,1558381609,5248
D,1558381611,495104
D,1558381613,482816
D,1558381616,498432
P,1558381640,5248
P,1558381669,5247
P,1558381698,5248
D,1558381710,446976
R,1558381710,700D9CE41
R,1558381710,700D9CE41
X,1558381712,635946,51023
X,1558381712,637596,2436
X,1558381713,637981,1931
X,1558381714,637851,1277
X,1558381714,637847,1329
X,1558381715,637889,2213
X,1558381715,637898,2268
X,1558381716,637558,2851
X,1558381716,637707,1797
X,1558381717,638123,1535
X,1558381717,637931,3134
X,1558381718,637159,4222
X,1558381719,638129,2755
X,1558381719,638345,1387
X,1558381720,637793,37493
X,1558381720,638512,57097
X,1558381721,641872,10483
X,1558381721,635951,43538
X,1558381722,636152,31718
X,1558381723,636849,46116
X,1558381723,636976,6294
X,1558381724,635976,10705
X,1558381724,638010,9113
X,1558381725,636695,17986
X,1558381725,637037,7359
X,1558381726,637312,11346
X,1558381727,637093,13741
X,1558381727,636653,9571
X,1558381727,637245,2402
P,1558381727,5242
X,1558381727,637200,3866
X,1558381728,637285,3631
X,1558381728,637987,2232
X,1558381729,636417,8003
X,1558381729,637023,3119
X,1558381730,637174,2367
X,1558381731,637576,2817
X,1558381731,637684,1783
X,1558381732,637838,3152
X,1558381732,637500,2626
X,1558381733,637118,2760
X,1558381733,637418,4668
X,1558381734,637470,4031
X,1558381735,637448,3920
X,1558381735,636982,5553
X,1558381736,637621,5498
X,1558381736,637904,1419
X,1558381737,638176,1830
X,1558381737,637835,2211
X,1558381738,638226,3911
X,1558381739,637933,7558
X,1558381739,637621,2713
X,1558381740,637757,1718
X,1558381740,638190,2226
X,1558381741,638283,1589
X,1558381741,637480,2427
X,1558381742,638317,2318
X,1558381743,637684,34899
X,1558381743,636916,4481
X,1558381744,635242,27286
X,1558381744,639483,16072
X,1558381745,637470,1310
X,1558381745,638365,13054
X,1558381746,635497,8571
X,1558381746,637568,2732
X,1558381747,638458,15852
X,1558381748,637836,5320
X,1558381748,636397,21343
X,1558381749,637255,3217
X,1558381749,637277,2478
X,1558381750,636477,2315
X,1558381750,637051,4526
X,1558381751,636195,2354
X,1558381752,636806,2201
X,1558381752,637597,3105
X,1558381753,638968,11230
X,1558381753,636173,10189
X,1558381754,637575,3087
X,1558381754,637829,1741
X,1558381755,637472,1942
X,1558381756,637720,2656
X,1558381756,638310,2102
X,1558381757,638685,3895
P,1558381757,5240
X,1558381757,637589,13670
X,1558381758,638032,6339
X,1558381758,638134,2464
X,1558381759,638186,1714
X,1558381760,638106,6309
X,1558381760,637874,1802
X,1558381761,637659,1308
X,1558381761,637706,4617
X,1558381762,638053,2516
X,1558381762,637844,2433
X,1558381763,637883,1569
X,1558381763,637841,13520
X,1558381764,637867,5110
X,1558381765,637182,3555
X,1558381765,638954,6460
X,1558381766,638052,23723
X,1558381766,638117,29916
X,1558381767,636178,31523
X,1558381767,637695,18927
X,1558381768,638286,5012
X,1558381768,638095,29642
X,1558381768,638344,2431
X,1558381769,638112,1787
X,1558381769,638163,1724
X,1558381770,638767,9982
X,1558381770,638483,9274
X,1558381771,638183,23361
X,1558381772,638281,2581
X,1558381772,637371,2049
X,1558381773,637250,17870
X,1558381773,636785,20863
X,1558381774,637810,4737
X,1558381774,635881,13817
X,1558381775,636274,2848
X,1558381776,637628,14570
X,1558381776,636928,3162
X,1558381777,637613,2840
X,1558381777,637479,3467
X,1558381778,637590,4178
X,1558381778,636986,8498
X,1558381779,638311,5093
X,1558381779,635962,8641
X,1558381780,632267,21007
X,1558381781,634087,20347
X,1558381781,635030,8968
X,1558381782,636942,2656
X,1558381782,636513,12555
X,1558381783,635319,22415
X,1558381783,640162,19221
