H,1557174626,301756
P,1557174626,5494
D,1557174628,430592
D,1557174630,422912
D,1557174632,429824
D,1557174634,436992
D,1557174636,425216
D,1557174639,429312
D,1557174641,433920
D,1557174643,435968
D,1557174645,431872
D,1557174647,431616
D,1557174650,431104
D,1557174652,431872
D,1557174654,432128
D,1557174656,432640
P,1557174656,5494
D,1557174658,432128
D,1557174661,432384
D,1557174663,432128
D,1557174664,431872
D,1557174666,431360
D,1557174668,432640
D,1557174671,431360
D,1557174673,426240
D,1557174675,429824
D,1557174677,431616
D,1557174679,350976
D,1557174682,431360
D,1557174684,450048
P,1557174685,5492
D,1557174686,433152
D,1557174688,429056
D,1557174690,433920
D,1557174693,431616
D,1557174695,432128
D,1557174697,431872
D,1557174699,436224
D,1557174701,428288
D,1557174704,433152
R,1557174704,700D9CE41
R,1557174704,700D9CE41
X,1557174704,655314,5634
X,1557174705,655813,2626
X,1557174706,655909,1041
X,1557174706,655830,2167
X,1557174707,655777,1629
X,1557174707,655832,9147
X,1557174708,655521,3471
X,1557174708,655706,2078
X,1557174709,655433,5122
X,1557174710,655769,3070
X,1557174710,655896,1805
X,1557174711,655970,1844
X,1557174711,655997,2306
X,1557174712,655820,1660
X,1557174712,655832,2117
X,1557174713,656002,2036
X,1557174714,656023,1812
X,1557174714,655947,2152
P,1557174714,5487
X,1557174715,655929,815
X,1557174715,655738,1633
X,1557174716,655680,1672
X,1557174716,655729,1902
X,1557174717,655637,11480
X,1557174717,655725,1796
X,1557174718,655563,1846
X,1557174719,655762,1719
X,1557174719,655659,1631
X,1557174720,655747,1351
X,1557174720,655756,1484
X,1557174721,655657,1630
X,1557174721,655732,2723
X,1557174722,655760,1730
X,1557174723,655762,2108
X,1557174723,655639,1697
X,1557174724,655731,1585
X,1557174724,655610,1837
X,1557174725,655792,1911
X,1557174725,655770,1484
X,1557174726,655655,1444
X,1557174727,655809,1528
X,1557174727,655728,1168
X,1557174728,655719,1780
X,1557174728,655628,1914
X,1557174729,655918,1411
X,1557174729,655797,1394
X,1557174730,655662,1688
X,1557174731,655781,1835
X,1557174731,655499,608
X,1557174732,655792,2398
X,1557174732,655749,1835
X,1557174733,655549,1741
X,1557174733,655718,1802
X,1557174734,656033,767
X,1557174734,655820,2111
X,1557174735,655811,1410
X,1557174736,655728,1133
X,1557174736,655724,1517
X,1557174737,655696,1455
X,1557174737,655606,1639
X,1557174738,655618,1643
X,1557174738,655874,1306
X,1557174739,655784,1148
X,1557174740,655649,1612
X,1557174740,655701,2082
X,1557174741,655674,1512
X,1557174741,655676,9361
X,1557174742,655614,1684
X,1557174742,655763,1485
X,1557174743,655716,2146
X,1557174744,655625,1806
X,1557174744,655841,1285
P,1557174745,5484
X,1557174745,655744,1719
X,1557174745,655896,1327
X,1557174745,655782,1899
X,1557174745,655855,1631
X,1557174746,656048,3511
X,1557174747,656623,9799
X,1557174747,655819,1673
X,1557174748,656220,6383
X,1557174748,655064,7217
X,1557174749,656244,2277
X,1557174749,656050,3071
X,1557174750,655836,1859
X,1557174750,655752,1409
X,1557174751,655878,1983
X,1557174752,655775,2008
X,1557174752,655881,2194
X,1557174753,656218,3550
X,1557174753,656081,2966
X,1557174754,656120,2005
X,1557174754,655898,1246
X,1557174755,655950,1825
X,1557174756,655768,1834
X,1557174756,655910,1868
X,1557174757,656077,2224
X,1557174757,655849,1581
X,1557174758,656030,1302
X,1557174758,656013,1763
X,1557174759,656395,1965
X,1557174760,656108,2623
X,1557174760,655920,1904
X,1557174761,656211,1763
X,1557174761,656099,1766
X,1557174762,656267,6328
X,1557174762,656233,12304
X,1557174763,655689,7755
X,1557174763,655070,2118
X,1557174764,655589,1886
X,1557174765,655590,4025
X,1557174765,655755,2810
X,1557174766,655836,2096
X,1557174766,655492,2402
X,1557174767,655553,1424
X,1557174767,655787,1258
X,1557174768,655542,1516
X,1557174769,655808,5355
X,1557174769,655678,2121
X,1557174770,655491,2635
X,1557174770,655651,1046
X,1557174771,655831,1174
X,1557174771,655814,1792
X,1557174772,655610,2905
X,1557174773,655752,1949
X,1557174773,655548,1305
P,1557174774,5487
X,1557174774,655654,1307
X,1557174774,655710,1402
X,1557174775,656065,1766
X,1557174775,656137,1868
X,1557174776,655963,1454
X,1557174777,655779,1472
X,1557174777,655862,2243
X,1557174778,655645,1719
X,1557174778,655925,1285
X,1557174779,655841,5512
X,1557174779,655594,2411
X,1557174780,655653,1315
X,1557174780,655519,2242
X,1557174781,655715,1583
X,1557174782,655697,1980
X,1557174782,655964,1569
