H,1558993112,301756
P,1558993112,5212
P,1558993142,5213
P,1558993172,5213
P,1558993201,5213
P,1558993230,5213
P,1558993259,5211
P,1558993289,5213
P,1558993318,5212
P,1558993347,5212
P,1558993377,5213
P,1558993406,5213
P,1558993436,5213
P,1558993465,5212
P,1558993495,5212
P,1558993524,5213
P,1558993553,5212
P,1558993583,5212
P,1558993612,5213
P,1558993641,5213
P,1558993670,5211
P,1558993700,5212
P,1558993730,5212
P,1558993759,5213
P,1558993789,5213
P,1558993818,5214
P,1558993847,5213
P,1558993876,5211
P,1558993906,5213
P,1558993935,5211
P,1558993964,5212
P,1558993994,5213
D,1558994019,396032
R,1558994019,700D9CE41
X,1558994021,632214,35256
X,1558994021,636287,14275
X,1558994022,634689,18011
X,1558994022,635476,8227
X,1558994023,634867,11559
X,1558994024,634875,2050
X,1558994024,634678,3885
P,1558994025,5207
X,1558994025,634288,4146
X,1558994025,634839,3371
X,1558994026,634789,3616
X,1558994026,635043,4249
X,1558994027,634692,2499
X,1558994027,635272,4400
X,1558994028,634716,2811
X,1558994029,634792,3586
X,1558994029,634914,3804
X,1558994030,635033,2286
X,1558994030,634998,2654
X,1558994031,635096,2205
X,1558994031,634984,839
X,1558994032,634781,2262
X,1558994033,635095,2297
X,1558994033,634967,1746
X,1558994034,635033,1740
X,1558994034,635103,1834
X,1558994035,634983,1757
X,1558994035,635162,1572
X,1558994036,634945,3780
X,1558994037,634913,1865
X,1558994037,635093,1111
X,1558994038,635020,1132
X,1558994038,635120,1314
X,1558994038,635021,2509
X,1558994038,635005,2174
X,1558994039,635112,923
X,1558994040,635113,1150
X,1558994040,635104,1634
X,1558994041,635202,2045
X,1558994041,635123,1464
X,1558994042,635106,1287
X,1558994042,635138,830
X,1558994043,635057,1737
X,1558994043,635015,2370
X,1558994044,635099,2163
X,1558994045,635015,1781
X,1558994045,635033,2262
X,1558994046,635223,1919
X,1558994046,635113,1355
X,1558994047,635061,1676
X,1558994047,635214,1663
X,1558994048,635133,1372
X,1558994049,635240,2060
X,1558994049,635208,1732
X,1558994050,635273,1655
X,1558994050,635154,1231
X,1558994051,635044,1142
X,1558994051,635053,1133
X,1558994052,634836,1854
X,1558994053,635037,1716
X,1558994053,635095,906
X,1558994054,635112,1676
P,1558994054,5205
X,1558994054,635209,1017
X,1558994055,635077,1798
X,1558994055,635174,1475
X,1558994056,635155,1805
X,1558994057,635189,1365
X,1558994057,635261,1065
X,1558994058,635198,1480
X,1558994058,635021,1317
X,1558994059,635144,1535
X,1558994059,635166,1494
X,1558994060,635191,1257
X,1558994060,635105,1532
X,1558994061,635073,1884
X,1558994062,634989,1707
X,1558994062,634991,1591
X,1558994063,635071,1084
X,1558994063,635011,1702
X,1558994064,635137,1778
X,1558994064,635022,1073
X,1558994065,635186,3861
X,1558994066,635024,3589
X,1558994066,635559,6031
X,1558994067,635452,4095
X,1558994067,634457,14979
X,1558994068,635339,3916
X,1558994068,634463,8069
X,1558994069,634709,6752
X,1558994070,635084,4391
X,1558994070,635164,1526
X,1558994071,635171,1417
X,1558994071,635172,1251
X,1558994072,635142,1248
X,1558994072,635391,1900
X,1558994073,635247,1355
X,1558994073,635244,1746
X,1558994074,635163,1174
X,1558994075,635192,1658
X,1558994075,635238,2342
X,1558994076,635241,1768
X,1558994076,635255,1031
X,1558994077,635065,921
X,1558994077,635171,1623
X,1558994078,635003,914
X,1558994079,635263,1621
X,1558994079,635112,1660
X,1558994079,635247,1426
X,1558994079,635261,1656
X,1558994080,635249,1501
X,1558994080,635160,924
X,1558994081,635278,1469
X,1558994082,635234,1290
X,1558994082,635214,1178
X,1558994083,635213,1094
P,1558994083,5204
X,1558994083,635203,1640
X,1558994084,635156,1252
X,1558994084,635287,1331
X,1558994085,635163,1058
X,1558994086,635267,1255
X,1558994086,635256,1424
X,1558994087,635188,994
X,1558994087,635334,1767
X,1558994088,635225,1678
X,1558994088,635271,1606
X,1558994089,635200,1632
X,1558994089,635318,993
X,1558994090,635310,1409
X,1558994091,635331,1677
X,1558994091,635344,1461
X,1558994092,635259,1650
X,1558994092,634996,1587
X,1558994093,635104,1261
X,1558994093,635132,1316
X,1558994094,635125,1832
X,1558994095,635289,926
X,1558994095,635130,1564
X,1558994096,635086,1508
X,1558994096,635174,1163
X,1558994097,635251,1305
X,1558994097,635199,999
X,1558994098,635336,2108
X,1558994099,635247,1562
X,1558994099,635274,700
X,1558994100,635179,1247
X,1558994100,635191,1776
X,1558994101,635181,1813
