H,1558487457,301756
D,1558487457,447488
D,1558487459,448000
D,1558487462,446976
D,1558487464,446464
D,1558487466,442880
D,1558487468,446976
P,1558487469,5214
D,1558487470,446720
D,1558487473,446208
D,1558487475,444160
D,1558487477,445440
D,1558487479,441856
D,1558487481,440320
D,1558487484,444672
D,1558487486,444672
D,1558487488,444672
D,1558487490,444416
D,1558487492,443392
P,1558487498,5240
P,1558487528,5242
P,1558487557,5242
P,1558487586,5242
D,1558487615,404736
P,1558487616,5239
D,1558487616,445184
D,1558487618,440320
D,1558487620,440064
D,1558487623,434432
D,1558487625,434688
D,1558487627,436736
D,1558487629,438016
D,1558487631,438784
D,1558487634,444672
D,1558487636,441856
D,1558487638,438272
D,1558487640,435712
D,1558487642,438016
D,1558487645,455936
P,1558487646,5240
D,1558487647,435200
D,1558487649,443904
D,1558487651,434176
D,1558487654,439040
D,1558487656,438784
D,1558487657,441088
D,1558487659,439552
R,1558487659,000000000
X,1558487661,660461,16114
X,1558487661,666831,15732
X,1558487662,672354,7005
X,1558487663,672485,4865
X,1558487663,674263,5954
X,1558487664,674357,5555
X,1558487664,675005,3195
X,1558487665,674947,3151
X,1558487665,674385,2958
X,1558487666,672793,6764
X,1558487667,672143,11533
X,1558487667,674150,6922
X,1558487668,674483,4736
X,1558487668,670722,6293
X,1558487669,672114,5309
X,1558487669,669782,3751
X,1558487670,669842,3913
X,1558487671,672591,10617
X,1558487671,669878,11745
X,1558487672,673825,9070
X,1558487672,675221,18364
X,1558487673,675409,21101
X,1558487673,676685,7220
X,1558487674,675088,7837
X,1558487675,673975,8116
P,1558487675,5233
X,1558487675,673291,11785
X,1558487676,675170,5821
X,1558487676,675960,15158
X,1558487677,676639,5557
X,1558487677,677181,8988
X,1558487678,674038,12095
X,1558487678,673968,12301
X,1558487679,674976,21229
X,1558487680,675216,18794
X,1558487680,676016,11666
X,1558487681,674824,8569
X,1558487681,677864,10866
X,1558487682,676182,8154
X,1558487682,676755,3044
X,1558487683,677749,5958
X,1558487684,677994,25343
X,1558487684,678712,8390
X,1558487685,678620,3645
X,1558487685,678682,4608
X,1558487686,677702,6295
X,1558487686,677346,8251
X,1558487687,677373,5593
X,1558487688,677657,5286
X,1558487688,676694,3157
X,1558487689,675342,18827
X,1558487689,677586,19106
X,1558487690,676635,6509
X,1558487690,677045,5215
X,1558487691,678195,4549
X,1558487692,678637,3973
X,1558487692,677273,3362
X,1558487693,675419,16309
X,1558487693,675364,10744
X,1558487694,673662,10538
X,1558487694,677998,10318
X,1558487695,677683,53848
X,1558487695,677966,15079
X,1558487696,676634,7981
X,1558487697,679700,4732
X,1558487697,675315,21536
X,1558487698,673717,8556
X,1558487698,679076,6401
X,1558487698,680314,18516
X,1558487698,678355,26822
X,1558487699,675293,12950
X,1558487700,677958,6705
X,1558487700,681152,15729
X,1558487701,679050,13026
X,1558487701,681356,24636
X,1558487702,679176,39888
X,1558487702,678247,6072
X,1558487703,678001,2816
X,1558487704,679207,5035
P,1558487704,5236
X,1558487704,678931,3706
X,1558487705,676436,7107
X,1558487705,676683,11637
X,1558487706,677271,9189
X,1558487706,679292,3444
X,1558487707,679579,5366
X,1558487707,678128,5619
X,1558487708,679157,6446
X,1558487709,675972,8898
X,1558487709,675699,5546
X,1558487710,674330,4403
X,1558487710,675169,6128
X,1558487711,677160,5670
X,1558487711,678382,5653
X,1558487712,679781,2456
X,1558487713,679399,9510
X,1558487713,679596,8653
X,1558487714,678782,8848
X,1558487714,675813,3722
X,1558487715,673616,18011
X,1558487715,678827,6776
X,1558487716,678574,6566
X,1558487717,678506,5524
X,1558487717,680539,8890
X,1558487718,681730,3347
X,1558487718,680037,2989
X,1558487719,680541,12198
X,1558487719,679623,3834
X,1558487720,678056,3814
X,1558487721,678049,6563
X,1558487721,677300,8841
X,1558487722,678599,4760
X,1558487722,679722,11159
X,1558487723,681210,1627
X,1558487723,680343,4484
X,1558487724,678095,4670
X,1558487724,680044,4694
X,1558487725,680125,4836
X,1558487726,679662,2590
X,1558487726,677955,5334
X,1558487727,678048,10888
X,1558487727,680519,5529
X,1558487728,682088,8703
X,1558487728,681778,4229
X,1558487729,682200,2750
X,1558487730,682016,4488
X,1558487730,680162,16225
X,1558487731,678860,12649
X,1558487731,677044,3976
X,1558487732,678140,3463
X,1558487732,678660,2382
X,1558487733,680065,11134
X,1558487734,680656,16157
P,1558487734,5235
X,1558487734,682221,8509
X,1558487735,681429,3743
X,1558487735,681467,3326
X,1558487736,679766,9695
X,1558487736,681698,8371
X,1558487737,679795,17922
