H,1557365415,301756
P,1557365415,5413
P,1557365444,5412
P,1557365475,5411
P,1557365504,5412
P,1557365533,5413
P,1557365562,5411
P,1557365592,5413
P,1557365621,5412
P,1557365650,5413
P,1557365680,5409
P,1557365710,5412
P,1557365739,5412
P,1557365769,5413
P,1557365799,5413
P,1557365828,5412
P,1557365857,5411
P,1557365887,5413
P,1557365916,5413
P,1557365945,5412
P,1557365974,5412
P,1557366004,5412
P,1557366033,5413
P,1557366063,5411
P,1557366093,5413
P,1557366122,5412
P,1557366151,5413
P,1557366180,5412
P,1557366210,5413
P,1557366239,5412
P,1557366268,5411
P,1557366298,5412
P,1557366327,5413
P,1557366357,5413
P,1557366386,5412
P,1557366416,5413
P,1557366445,5411
P,1557366474,5413
P,1557366504,5411
P,1557366533,5411
P,1557366562,5412
P,1557366591,5413
P,1557366621,5411
P,1557366651,5413
P,1557366680,5413
P,1557366710,5412
P,1557366739,5413
P,1557366768,5413
P,1557366797,5412
P,1557366827,5413
P,1557366856,5412
P,1557366885,5413
P,1557366915,5411
P,1557366945,5413
P,1557366974,5412
P,1557367003,5413
P,1557367033,5413
P,1557367062,5413
P,1557367091,5412
P,1557367120,5413
P,1557367150,5413
P,1557367179,5412
P,1557367208,5413
P,1557367239,5414
P,1557367268,5413
P,1557367297,5412
P,1557367326,5412
P,1557367356,5412
P,1557367385,5412
P,1557367414,5412
O,1557367427,336184,2151
O,1557367428,336405,146
O,1557367428,336485,133
O,1557367429,336523,146
O,1557367429,336507,75
O,1557367430,336564,130
O,1557367430,336518,100
O,1557367431,336666,202
O,1557367432,336705,204
O,1557367432,336628,262
O,1557367433,336629,175
O,1557367433,336708,117
O,1557367434,336718,295
O,1557367434,336356,242
O,1557367435,336317,156
O,1557367435,336443,150
O,1557367436,336476,140
O,1557367437,336513,94
O,1557367437,336471,156
O,1557367438,336442,103
O,1557367438,336495,119
O,1557367439,336448,183
O,1557367439,336457,135
O,1557367440,336476,71
O,1557367441,336561,85
O,1557367441,336603,125
O,1557367442,336668,138
O,1557367442,336554,177
O,1557367443,336486,101
O,1557367443,336527,186
O,1557367444,336592,86
P,1557367444,5406
O,1557367445,336570,145
O,1557367445,336622,117
O,1557367446,336703,117
O,1557367446,336716,151
O,1557367447,336588,181
O,1557367447,336403,248
O,1557367448,336443,181
O,1557367448,336424,97
O,1557367448,336430,83
O,1557367449,336349,155
O,1557367449,336417,119
O,1557367450,336360,194
O,1557367450,336373,256
O,1557367451,336427,298
O,1557367451,336420,196
O,1557367452,336535,175
O,1557367453,336587,122
O,1557367453,336627,173
O,1557367454,336451,240
O,1557367454,336324,179
O,1557367455,336262,457
O,1557367455,336354,336
O,1557367456,336394,283
O,1557367457,336299,246
O,1557367457,336272,270
O,1557367458,336356,203
O,1557367458,336177,315
O,1557367459,336255,210
O,1557367459,336269,217
O,1557367460,336335,226
O,1557367461,336301,136
O,1557367461,336317,143
O,1557367462,336370,143
O,1557367462,336333,229
O,1557367463,336278,144
O,1557367463,336167,235
O,1557367464,336309,226
O,1557367465,336311,312
O,1557367465,336256,139
O,1557367466,336197,295
O,1557367466,336298,206
O,1557367467,336337,363
O,1557367467,336267,223
O,1557367468,336240,220
O,1557367468,336273,487
O,1557367469,336138,299
O,1557367470,336324,433
O,1557367470,336172,285
O,1557367471,336377,137
O,1557367471,336254,185
O,1557367472,336075,379
O,1557367472,336029,256
O,1557367473,336302,234
P,1557367473,5407
O,1557367474,336199,179
O,1557367474,336232,152
O,1557367475,336315,98
O,1557367475,336293,105
O,1557367476,336340,117
O,1557367476,336321,192
O,1557367477,336268,175
O,1557367478,336126,297
O,1557367478,336043,253
O,1557367479,335983,453
O,1557367479,336097,198
O,1557367480,336212,366
O,1557367480,336178,264
O,1557367481,336190,138
O,1557367481,336341,302
O,1557367482,336292,230
O,1557367483,336429,143
T,1557367483,2784
P,1557367502,5412
P,1557367532,5412
P,1557367562,5412
P,1557367591,5412
P,1557367620,5412
P,1557367650,5411
P,1557367679,5413
P,1557367708,5413
P,1557367737,5412
P,1557367767,5413
P,1557367796,5414
P,1557367826,5412
P,1557367856,5414
P,1557367885,5412
P,1557367914,5413
P,1557367943,5411
P,1557367973,5413
P,1557368002,5413
P,1557368031,5413
P,1557368061,5413
P,1557368090,5412
P,1557368120,5413
P,1557368149,5413
P,1557368179,5413
P,1557368208,5413
P,1557368237,5413
P,1557368267,5413
P,1557368296,5411
P,1557368326,5412
P,1557368355,5413
P,1557368385,5413
P,1557368415,5413
