H,1551647040,347907
X,1551647040,755235,1082
X,1551647040,755232,1355
X,1551647041,755584,1437
X,1551647041,755441,1896
X,1551647042,755323,683
X,1551647042,755221,1241
X,1551647043,755461,1104
X,1551647044,755450,1378
X,1551647044,755821,1501
X,1551647045,755838,1161
X,1551647045,755667,847
X,1551647046,755889,913
X,1551647046,755978,1498
X,1551647047,755959,1019
X,1551647048,756025,780
X,1551647048,756115,1212
X,1551647049,756151,1737
X,1551647049,755975,953
X,1551647050,755649,626
X,1551647050,755901,1516
X,1551647051,756115,909
X,1551647052,756102,993
X,1551647052,756107,981
X,1551647053,756034,974
X,1551647053,756146,1619
X,1551647054,756071,1653
X,1551647054,755823,1092
P,1551647054,5281
X,1551647055,755764,848
X,1551647056,755913,982
X,1551647056,756056,824
X,1551647057,755951,950
X,1551647057,755821,968
X,1551647058,755792,1125
X,1551647058,755937,1329
X,1551647059,755998,924
X,1551647060,756088,1300
X,1551647060,756000,730
X,1551647061,755944,1284
X,1551647061,755908,1522
X,1551647062,755999,916
X,1551647062,755624,1326
X,1551647063,755622,1120
X,1551647063,755602,1134
X,1551647064,755682,1278
X,1551647065,755201,1062
X,1551647065,755558,1681
X,1551647066,755748,1327
X,1551647066,755702,975
X,1551647067,755731,759
A,1551647067,755891,792
T,1551647067,2838
U,1551647067,1
X,1551647069,755593,956
X,1551647069,755249,940
X,1551647070,755329,1586
X,1551647071,755493,1154
X,1551647071,755739,798
X,1551647071,755829,1353
X,1551647071,755721,1352
X,1551647072,755697,822
X,1551647072,755583,785
X,1551647073,755545,1447
X,1551647073,755781,880
X,1551647074,755761,1112
X,1551647075,755713,1274
X,1551647075,755676,1898
X,1551647076,755687,594
X,1551647076,755850,1268
X,1551647077,755588,1090
X,1551647077,755415,1208
X,1551647078,755412,1514
X,1551647079,755082,1351
X,1551647079,755000,976
X,1551647080,755352,953
X,1551647080,755456,1537
X,1551647081,755714,1293
X,1551647081,755455,1024
X,1551647082,755528,981
X,1551647083,755814,563
X,1551647083,755876,1628
P,1551647084,5307
X,1551647084,756075,852
X,1551647084,755883,972
X,1551647085,755946,893
X,1551647085,755974,1046
X,1551647086,755967,1237
X,1551647087,756024,1021
X,1551647087,755996,735
X,1551647088,755877,726
X,1551647088,756046,1457
X,1551647089,756089,1008
X,1551647089,756009,899
X,1551647090,755854,1062
X,1551647091,755905,733
X,1551647091,755912,1874
X,1551647092,755640,1268
X,1551647092,755748,902
X,1551647093,755455,1115
X,1551647093,755851,1113
X,1551647094,755898,1362
X,1551647094,755642,1038
X,1551647095,755442,746
A,1551647095,755695,1075
T,1551647095,2838
U,1551647096,1
X,1551647097,755511,866
X,1551647098,755330,1038
X,1551647098,755679,1238
X,1551647099,755391,1455
X,1551647099,755583,1355
X,1551647100,755855,907
X,1551647100,755618,1408
X,1551647101,755778,1488
X,1551647102,755723,1532
X,1551647102,756076,1177
X,1551647103,755701,1220
X,1551647103,755971,1294
X,1551647104,756015,1620
X,1551647104,755932,714
X,1551647105,755933,1218
X,1551647106,755932,1185
X,1551647106,755973,1262
X,1551647107,755863,967
X,1551647107,755703,1042
X,1551647108,755759,942
X,1551647108,755852,1143
X,1551647109,755941,1099
X,1551647110,755712,1052
X,1551647110,755722,945
X,1551647111,755653,939
X,1551647111,755965,810
X,1551647112,755984,1618
X,1551647112,755016,1064
X,1551647112,755502,662
X,1551647112,755653,1002
P,1551647113,5304
X,1551647113,755344,1016
X,1551647114,755148,1177
X,1551647114,755271,933
X,1551647115,755119,1154
X,1551647115,755323,1323
X,1551647116,755463,1450
X,1551647116,755432,1483
X,1551647117,755361,1018
X,1551647118,755609,1228
X,1551647118,756509,1602
X,1551647119,756024,1274
X,1551647119,754767,1666
X,1551647120,754831,1228
X,1551647120,754578,824
X,1551647121,754503,2458
X,1551647122,755006,1610
X,1551647122,755295,1310
X,1551647123,754689,1156
X,1551647123,755188,1399
X,1551647124,754900,2909
X,1551647124,754997,2433
X,1551647125,755483,992
X,1551647126,755646,1557
X,1551647126,755220,1327
X,1551647127,755214,1144
X,1551647127,755378,1016
X,1551647128,755696,872
X,1551647128,755646,1478
X,1551647129,755947,1357
X,1551647130,756069,1727
X,1551647130,756195,842
X,1551647131,756105,716
X,1551647131,756202,1181
X,1551647132,756079,1832
X,1551647132,756077,1107
X,1551647133,755964,886
