H,1552325937,347907
P,1552325937,5229
P,1552325967,5228
P,1552325996,5228
P,1552326025,5229
P,1552326055,5229
P,1552326084,5229
P,1552326114,5229
P,1552326143,5229
P,1552326173,5229
P,1552326202,5228
P,1552326231,5228
P,1552326261,5228
P,1552326290,5228
P,1552326319,5228
P,1552326348,5228
P,1552326378,5228
P,1552326408,5229
P,1552326437,5227
P,1552326467,5230
P,1552326496,5226
P,1552326525,5228
P,1552326554,5229
P,1552326584,5227
P,1552326613,5229
P,1552326642,5228
P,1552326672,5227
P,1552326702,5228
P,1552326731,5228
P,1552326760,5229
P,1552326790,5227
P,1552326819,5227
P,1552326848,5229
P,1552326878,5228
P,1552326907,5228
P,1552326936,5227
P,1552326965,5228
P,1552326996,5229
P,1552327025,5229
P,1552327054,5228
P,1552327083,5228
P,1552327113,5229
P,1552327142,5229
P,1552327171,5228
P,1552327201,5228
P,1552327231,5228
P,1552327260,5229
P,1552327290,5228
P,1552327320,5229
P,1552327349,5228
P,1552327378,5227
P,1552327408,5229
P,1552327437,5226
P,1552327466,5227
P,1552327495,5227
P,1552327525,5229
P,1552327554,5229
P,1552327584,5229
P,1552327614,5226
P,1552327643,5228
P,1552327672,5228
P,1552327701,5228
P,1552327731,5227
P,1552327760,5229
P,1552327789,5228
P,1552327819,5228
O,1552327840,330402,2131
O,1552327841,330670,93
O,1552327841,330672,98
O,1552327842,330680,97
O,1552327842,330664,91
O,1552327843,330690,145
O,1552327844,330657,112
O,1552327844,330642,76
O,1552327845,330639,70
O,1552327845,330676,110
O,1552327846,330652,131
O,1552327846,330645,107
O,1552327847,330627,154
O,1552327847,330654,152
O,1552327848,330647,106
P,1552327848,5220
O,1552327849,330669,95
O,1552327849,330697,142
O,1552327850,330682,103
O,1552327850,330708,138
O,1552327851,330712,118
O,1552327851,330692,120
O,1552327852,330703,107
O,1552327853,330699,137
O,1552327853,330705,120
O,1552327854,330687,114
O,1552327854,330675,77
O,1552327855,330685,65
O,1552327855,330685,85
O,1552327856,330703,107
O,1552327857,330713,98
O,1552327857,330717,118
O,1552327858,330698,62
O,1552327858,330686,80
O,1552327859,330675,189
O,1552327859,330716,70
O,1552327860,330693,138
O,1552327861,330695,108
O,1552327861,330715,86
O,1552327862,330699,89
O,1552327862,330701,107
O,1552327863,330692,118
O,1552327863,330684,152
O,1552327863,330642,91
O,1552327863,330648,113
O,1552327864,330659,90
O,1552327865,330651,123
O,1552327865,330654,115
O,1552327866,330616,101
O,1552327866,330609,143
O,1552327867,330625,79
O,1552327867,330651,144
O,1552327868,330680,143
O,1552327869,330665,131
O,1552327869,330676,123
O,1552327870,330667,101
O,1552327870,330687,127
O,1552327871,330680,88
O,1552327871,330674,160
O,1552327872,330663,130
O,1552327873,330659,131
O,1552327873,330659,102
O,1552327874,330671,117
O,1552327874,330681,94
O,1552327875,330688,97
O,1552327875,330692,123
O,1552327876,330680,80
O,1552327877,330684,103
O,1552327877,330681,134
P,1552327878,5222
O,1552327878,330691,143
O,1552327878,330695,80
O,1552327879,330693,101
O,1552327879,330692,144
O,1552327880,330678,105
O,1552327881,330698,132
O,1552327881,330690,107
O,1552327882,330693,76
O,1552327882,330679,124
O,1552327883,330697,135
O,1552327883,330708,109
O,1552327884,330711,88
O,1552327884,330677,134
O,1552327885,330685,131
O,1552327886,330693,173
O,1552327886,330696,78
O,1552327887,330722,129
O,1552327887,330720,84
O,1552327888,330701,80
O,1552327888,330707,84
O,1552327889,330702,123
O,1552327890,330721,152
O,1552327890,330721,119
O,1552327891,330722,87
O,1552327891,330731,93
O,1552327892,330728,129
O,1552327892,330733,95
O,1552327893,330723,125
O,1552327894,330729,118
O,1552327894,330740,99
O,1552327895,330731,114
O,1552327895,330708,105
O,1552327896,330733,55
T,1552327896,2751
P,1552327907,5226
P,1552327937,5228
P,1552327966,5226
P,1552327995,5227
P,1552328025,5228
P,1552328054,5227
P,1552328083,5227
P,1552328112,5229
P,1552328142,5226
P,1552328172,5228
P,1552328201,5226
P,1552328231,5229
P,1552328260,5229
P,1552328289,5228
P,1552328318,5229
P,1552328348,5227
P,1552328377,5228
P,1552328406,5228
P,1552328436,5228
P,1552328466,5229
P,1552328495,5228
P,1552328524,5228
P,1552328554,5227
P,1552328583,5227
P,1552328612,5228
P,1552328642,5227
P,1552328671,5229
P,1552328700,5228
P,1552328729,5227
P,1552328760,5228
P,1552328789,5228
P,1552328818,5228
P,1552328847,5227
P,1552328877,5228
P,1552328906,5229
P,1552328935,5228
