H,1558138431,295663
P,1558138431,5516
P,1558138460,5516
P,1558138489,5517
P,1558138520,5518
P,1558138549,5518
P,1558138578,5518
P,1558138607,5516
P,1558138637,5518
P,1558138666,5518
P,1558138695,5517
P,1558138725,5516
P,1558138754,5518
P,1558138783,5517
P,1558138813,5517
P,1558138843,5515
P,1558138872,5518
P,1558138901,5518
P,1558138931,5517
P,1558138960,5518
P,1558138989,5519
P,1558139018,5518
P,1558139048,5517
P,1558139077,5517
P,1558139107,5518
P,1558139137,5518
P,1558139166,5516
P,1558139195,5517
P,1558139224,5517
P,1558139254,5516
P,1558139283,5518
P,1558139312,5518
P,1558139342,5518
P,1558139371,5518
P,1558139401,5517
P,1558139430,5518
P,1558139460,5517
P,1558139489,5519
P,1558139518,5518
P,1558139548,5515
P,1558139577,5517
P,1558139606,5518
P,1558139635,5518
P,1558139665,5516
P,1558139695,5517
P,1558139724,5516
P,1558139754,5517
P,1558139783,5518
P,1558139812,5518
P,1558139841,5517
P,1558139871,5517
P,1558139900,5516
P,1558139929,5517
P,1558139959,5519
D,1558139962,415744
R,1558139962,700D9DFBA
R,1558139962,700D9DFBA
R,1558139962,700D9DFBA
X,1558139964,582753,61114
X,1558139965,588079,62024
X,1558139965,585614,36222
X,1558139966,585187,38647
X,1558139966,611024,4026
X,1558139967,281711,16710
X,1558139967,277032,2136
X,1558139968,276762,1522
X,1558139969,277903,544
X,1558139969,276960,370
X,1558139970,277385,462
X,1558139970,277223,383
X,1558139971,277190,153
X,1558139971,277244,176
X,1558139972,277152,84
X,1558139973,277222,90
O,1558139973,277163,58
O,1558139974,277156,83
O,1558139974,277176,93
O,1558139975,277154,92
O,1558139975,277130,151
O,1558139976,277135,81
O,1558139976,277155,133
O,1558139977,277130,102
O,1558139978,277111,149
O,1558139978,277106,105
O,1558139979,277076,113
O,1558139979,277091,74
O,1558139980,277111,93
O,1558139980,277078,93
O,1558139981,277126,101
O,1558139982,277092,109
O,1558139982,277096,143
O,1558139983,277096,61
O,1558139983,277080,114
O,1558139984,277082,69
O,1558139984,277084,51
O,1558139985,277065,147
O,1558139986,277077,123
O,1558139986,277068,82
O,1558139987,277061,90
O,1558139987,277057,127
O,1558139988,277058,89
O,1558139988,277050,84
P,1558139989,5511
O,1558139989,277052,100
O,1558139990,277042,80
O,1558139990,277068,84
O,1558139991,277052,84
O,1558139991,277057,83
O,1558139992,277036,104
O,1558139992,277041,110
O,1558139993,277052,96
O,1558139993,277074,87
O,1558139994,277080,100
O,1558139995,277046,91
O,1558139995,277041,117
O,1558139996,277068,104
O,1558139996,277054,129
O,1558139997,277037,156
O,1558139997,277057,102
O,1558139998,277023,97
O,1558139999,277053,86
O,1558139999,277036,97
O,1558140000,277033,57
O,1558140000,277040,123
O,1558140000,277063,83
O,1558140000,277044,89
O,1558140001,277049,80
O,1558140002,277040,116
O,1558140002,277041,86
O,1558140003,277055,127
O,1558140003,277026,96
O,1558140004,277049,69
O,1558140004,277042,69
O,1558140005,277049,68
O,1558140006,277035,87
O,1558140006,277031,75
O,1558140007,277048,121
O,1558140007,277033,84
O,1558140008,277036,97
O,1558140008,277038,88
O,1558140009,277037,93
O,1558140009,277036,112
O,1558140010,438541,8242
T,1558140010,2839
D,1558140011,391424
R,1558140011,700D9DFBA
R,1558140012,700D9DFBA
R,1558140012,700D9DFBA
X,1558140013,585716,10299
X,1558140014,577708,50053
X,1558140014,589880,42355
X,1558140015,586692,8546
X,1558140015,586715,4585
X,1558140016,586768,3150
X,1558140017,586557,1991
X,1558140017,586370,12536
P,1558140018,5507
X,1558140018,587074,3846
X,1558140018,586775,1770
X,1558140019,586639,4079
X,1558140019,587150,2849
X,1558140020,586247,3237
X,1558140021,586533,2142
X,1558140021,587042,7966
X,1558140022,586942,11644
X,1558140022,586062,11433
X,1558140023,587285,15909
X,1558140023,586291,13322
X,1558140024,586332,4595
X,1558140025,587944,9220
X,1558140025,586947,4321
X,1558140026,586605,11046
X,1558140026,586878,7308
X,1558140027,586729,4904
X,1558140027,587110,9292
X,1558140028,587029,2365
X,1558140029,586566,2924
X,1558140029,586822,2113
X,1558140030,586882,1741
X,1558140030,586587,1345
X,1558140031,587024,1369
X,1558140031,586884,1894
X,1558140032,586559,4110
X,1558140032,586764,1528
X,1558140033,581845,30139
X,1558140034,335239,63143
X,1558140034,278460,557
X,1558140035,278174,385
X,1558140035,278281,195
X,1558140036,278402,128
X,1558140036,278244,170
