H,1559514951,295663
P,1559514951,5299
P,1559514980,5302
P,1559515009,5300
P,1559515038,5300
P,1559515068,5299
P,1559515097,5298
P,1559515126,5301
P,1559515157,5300
P,1559515186,5300
P,1559515215,5300
P,1559515244,5298
P,1559515274,5299
P,1559515303,5300
P,1559515332,5300
P,1559515362,5298
P,1559515391,5300
P,1559515420,5301
P,1559515450,5300
P,1559515480,5301
P,1559515509,5300
P,1559515538,5301
D,1559515562,421632
R,1559515562,700D9DFBA
R,1559515562,700D9DFBA
R,1559515562,700D9DFBA
X,1559515564,605469,11537
X,1559515565,605906,15593
X,1559515565,606772,8980
X,1559515566,606547,4948
X,1559515566,606763,5535
X,1559515567,606201,4646
X,1559515567,606768,20415
P,1559515567,5292
X,1559515567,606330,3727
X,1559515568,606212,3462
X,1559515568,606520,3323
X,1559515569,606227,2083
X,1559515569,606547,4304
X,1559515570,606507,2335
X,1559515570,606385,4494
X,1559515571,606529,3239
X,1559515572,606402,2581
X,1559515572,606311,4765
X,1559515573,606702,2372
X,1559515573,606434,2324
X,1559515574,606435,3467
X,1559515574,606758,3129
X,1559515575,606667,2523
X,1559515576,606387,11053
X,1559515576,607573,31746
X,1559515577,606526,40546
X,1559515577,606758,5802
X,1559515578,606300,1988
X,1559515578,606228,28933
X,1559515579,607514,23748
X,1559515580,606418,2435
X,1559515580,606245,2840
X,1559515581,606475,2093
X,1559515581,606295,27285
X,1559515582,606610,3062
X,1559515582,606461,1798
X,1559515583,606465,2092
X,1559515583,606567,2985
X,1559515584,606415,1700
X,1559515585,606394,2252
X,1559515585,606371,3685
X,1559515586,606507,1785
X,1559515586,606172,1885
X,1559515587,606501,2255
X,1559515587,606636,1888
X,1559515588,605913,34388
X,1559515589,607081,17306
X,1559515589,606523,5205
X,1559515590,606483,1704
X,1559515590,606614,2690
X,1559515591,606358,1923
X,1559515591,605968,3813
X,1559515592,605261,11364
X,1559515593,606689,18571
X,1559515593,606494,7551
X,1559515594,605742,13363
X,1559515594,609358,54006
X,1559515595,606005,41413
X,1559515595,601499,63695
X,1559515596,429319,17752
X,1559515597,266526,816
P,1559515597,5293
X,1559515597,266432,139
X,1559515598,266352,94
X,1559515598,266392,122
X,1559515599,266469,105
X,1559515599,266466,73
X,1559515600,266455,93
X,1559515600,266451,159
X,1559515601,266405,83
X,1559515602,266356,58
X,1559515602,266370,58
O,1559515603,266384,137
O,1559515603,266373,72
O,1559515604,266351,83
O,1559515604,266342,51
O,1559515605,266341,89
O,1559515606,266342,85
O,1559515606,266317,95
O,1559515607,266335,107
O,1559515607,266341,61
O,1559515608,266335,66
O,1559515608,266316,71
O,1559515608,266309,102
O,1559515609,266307,97
O,1559515609,266292,65
O,1559515610,266305,102
O,1559515610,266296,109
O,1559515611,266299,80
O,1559515611,266307,95
O,1559515612,266280,132
O,1559515613,266287,82
O,1559515613,266281,118
O,1559515614,266282,133
O,1559515614,266281,65
O,1559515615,266264,99
O,1559515615,266263,129
O,1559515616,266268,67
O,1559515616,266238,65
O,1559515617,266245,99
O,1559515618,266245,128
O,1559515618,266267,112
O,1559515619,266254,105
O,1559515619,266220,133
O,1559515620,266251,75
O,1559515620,266239,128
O,1559515621,266241,95
O,1559515622,266240,80
O,1559515622,266251,131
O,1559515623,266229,91
O,1559515623,266219,80
O,1559515624,266220,176
O,1559515624,266222,97
O,1559515625,266236,75
O,1559515626,266218,64
O,1559515626,266227,53
P,1559515626,5289
O,1559515627,266227,87
O,1559515627,266220,148
O,1559515628,266204,121
O,1559515628,266216,94
O,1559515629,266218,80
O,1559515630,266208,124
O,1559515630,266197,99
O,1559515631,266223,67
O,1559515631,266221,62
O,1559515632,266203,84
O,1559515632,266208,59
O,1559515633,266221,154
O,1559515633,266188,103
O,1559515634,266198,91
O,1559515635,266199,117
O,1559515635,266203,121
O,1559515636,266202,142
O,1559515636,266202,146
O,1559515637,266216,72
O,1559515637,266212,101
O,1559515638,266206,84
O,1559515639,266193,97
O,1559515639,266196,48
O,1559515640,266182,122
O,1559515640,266193,119
O,1559515641,266182,80
O,1559515641,266194,54
O,1559515642,266204,116
O,1559515643,266206,94
O,1559515643,266213,98
O,1559515644,266199,55
O,1559515644,266185,74
O,1559515645,266207,70
O,1559515645,266214,90
O,1559515646,266211,89
O,1559515647,266220,123
O,1559515647,266202,67
