H,1548172605,8388607
U,1548172605,0
E,1548172605,1
P,1548172605,5158
U,1548172841,0
P,1548172841,5031
U,1548172842,0
U,1548172844,0
C,1548172860,1
D,1548172861,8388352
X,1548172863,8388607,0
X,1548172863,8388607,0
X,1548172864,8388607,0
X,1548172864,8388607,0
X,1548172865,8388607,0
X,1548172865,8388607,0
X,1548172866,8388607,0
X,1548172867,8388607,0
X,1548172867,8388607,0
X,1548172868,8388607,0
X,1548172868,8388607,0
O,1548172869,8388607,0
O,1548172869,8388607,0
P,1548172870,5016
O,1548172870,8388607,0
O,1548172871,8388607,0
O,1548172871,8388607,0
O,1548172872,8388607,0
O,1548172872,8388607,0
O,1548172873,8388607,0
O,1548172873,8388607,0
O,1548172874,8388607,0
O,1548172874,8388607,0
O,1548172875,8388607,0
O,1548172876,8388607,0
O,1548172876,8388607,0
O,1548172877,8388607,0
O,1548172877,8388607,0
O,1548172878,8388607,0
O,1548172878,8388607,0
O,1548172879,8388607,0
O,1548172880,8388607,0
O,1548172880,8388607,0
O,1548172881,8388607,0
O,1548172881,8388607,0
O,1548172882,8388607,0
O,1548172882,8388607,0
O,1548172883,8388607,0
O,1548172884,8388607,0
O,1548172884,8388607,0
O,1548172885,8388607,0
O,1548172885,8388607,0
O,1548172886,8388607,0
O,1548172886,8388607,0
O,1548172887,8388607,0
O,1548172887,8388607,0
O,1548172888,8388607,0
O,1548172889,8388607,0
O,1548172889,8388607,0
O,1548172890,8388607,0
O,1548172890,8388607,0
O,1548172891,8388607,0
O,1548172891,8388607,0
O,1548172892,8388607,0
O,1548172893,8388607,0
O,1548172893,8388607,0
O,1548172894,8388607,0
O,1548172894,8388607,0
O,1548172894,8388607,0
O,1548172894,8388607,0
O,1548172895,8388607,0
O,1548172896,8388607,0
O,1548172896,8388607,0
O,1548172897,8388607,0
O,1548172897,8388607,0
O,1548172898,8388607,0
O,1548172898,8388607,0
O,1548172899,8388607,0
P,1548172899,5013
O,1548172900,8388607,0
O,1548172900,8388607,0
O,1548172901,8388607,0
O,1548172901,8388607,0
O,1548172902,8388607,0
O,1548172902,8388607,0
O,1548172903,8388607,0
O,1548172903,8388607,0
O,1548172904,8388607,0
O,1548172905,8388607,0
O,1548172905,8388607,0
O,1548172906,8388607,0
O,1548172906,8388607,0
O,1548172907,8388607,0
O,1548172907,8388607,0
O,1548172908,8388607,0
O,1548172909,8388607,0
O,1548172909,8388607,0
O,1548172910,8388607,0
O,1548172910,8388607,0
O,1548172911,8388607,0
O,1548172911,8388607,0
O,1548172912,8388607,0
O,1548172913,8388607,0
O,1548172913,8388607,0
O,1548172914,8388607,0
O,1548172914,8388607,0
O,1548172915,8388607,0
O,1548172915,8388607,0
O,1548172916,8388607,0
O,1548172917,8388607,0
O,1548172917,8388607,0
O,1548172918,8388607,0
O,1548172918,8388607,0
T,1548172918,2786
D,1548172920,8388352
X,1548172921,8388607,0
X,1548172922,8388607,0
X,1548172923,8388607,0
X,1548172923,8388607,0
X,1548172924,8388607,0
X,1548172924,8388607,0
X,1548172925,8388607,0
X,1548172925,8388607,0
X,1548172926,8388607,0
X,1548172926,8388607,0
X,1548172927,8388607,0
O,1548172928,8388607,0
O,1548172928,8388607,0
O,1548172929,8388607,0
P,1548172929,5009
O,1548172929,8388607,0
O,1548172930,8388607,0
O,1548172930,8388607,0
O,1548172931,8388607,0
O,1548172932,8388607,0
O,1548172932,8388607,0
O,1548172933,8388607,0
O,1548172933,8388607,0
O,1548172934,8388607,0
O,1548172934,8388607,0
O,1548172935,8388607,0
O,1548172935,8388607,0
O,1548172935,8388607,0
O,1548172936,8388607,0
O,1548172936,8388607,0
O,1548172937,8388607,0
O,1548172937,8388607,0
O,1548172938,8388607,0
O,1548172938,8388607,0
O,1548172939,8388607,0
O,1548172940,8388607,0
O,1548172940,8388607,0
O,1548172941,8388607,0
O,1548172941,8388607,0
O,1548172942,8388607,0
O,1548172942,8388607,0
C,1548172943,1
O,1548172943,8388607,0
O,1548172944,8388607,0
O,1548172944,8388607,0
O,1548172945,8388607,0
O,1548172945,8388607,0
O,1548172946,8388607,0
O,1548172946,8388607,0
O,1548172947,8388607,0
O,1548172948,8388607,0
O,1548172948,8388607,0
O,1548172949,8388607,0
O,1548172949,8388607,0
O,1548172950,8388607,0
O,1548172950,8388607,0
O,1548172951,8388607,0
O,1548172952,8388607,0
O,1548172952,8388607,0
O,1548172953,8388607,0
O,1548172953,8388607,0
