H,1548694170,274884
P,1548694170,5129
P,1548694199,5129
P,1548694229,5131
P,1548694258,5129
P,1548694287,5130
P,1548694317,5130
P,1548694346,5129
P,1548694375,5129
P,1548694404,5129
P,1548694435,5129
P,1548694464,5130
P,1548694493,5130
P,1548694523,5128
P,1548694552,5130
P,1548694581,5130
P,1548694610,5129
P,1548694640,5130
P,1548694669,5129
P,1548694698,5129
P,1548694729,5129
P,1548694758,5129
P,1548694787,5129
P,1548694816,5128
P,1548694846,5129
P,1548694875,5129
P,1548694904,5129
P,1548694934,5129
P,1548694963,5130
P,1548694992,5129
P,1548695022,5128
P,1548695052,5129
P,1548695081,5131
P,1548695110,5127
P,1548695139,5130
P,1548695169,5130
P,1548695198,5130
P,1548695227,5131
P,1548695257,5129
P,1548695286,5130
P,1548695316,5129
P,1548695345,5129
P,1548695375,5129
P,1548695404,5129
P,1548695433,5129
P,1548695463,5130
P,1548695492,5131
P,1548695521,5131
P,1548695550,5130
P,1548695580,5129
P,1548695610,5130
O,1548695616,263883,1700
O,1548695616,263841,149
O,1548695617,263934,251
O,1548695618,264192,246
O,1548695618,264356,106
O,1548695619,264336,58
O,1548695619,264286,120
O,1548695620,264275,146
O,1548695620,264196,130
O,1548695621,264193,144
O,1548695622,264160,300
O,1548695622,264134,411
O,1548695623,263952,335
O,1548695623,264208,183
O,1548695624,264292,137
O,1548695624,264277,190
O,1548695625,264310,103
O,1548695626,264338,121
O,1548695626,264381,68
O,1548695627,264381,184
O,1548695627,264394,80
O,1548695628,264426,116
O,1548695628,264453,134
O,1548695629,264397,83
O,1548695630,264359,128
O,1548695630,264251,235
O,1548695631,264288,314
O,1548695631,264487,200
O,1548695631,264607,254
O,1548695631,264560,73
O,1548695632,264437,179
O,1548695632,264473,96
O,1548695633,264472,75
O,1548695634,264509,79
O,1548695634,264483,141
O,1548695635,264430,73
O,1548695635,264449,114
O,1548695636,264371,97
O,1548695636,264322,82
O,1548695637,264234,139
O,1548695638,264343,111
O,1548695638,264308,170
P,1548695639,5122
O,1548695639,264279,138
O,1548695639,264328,217
O,1548695640,264424,83
O,1548695640,264407,129
O,1548695641,264361,168
O,1548695642,264393,95
O,1548695642,264463,149
O,1548695643,264507,87
O,1548695643,264537,116
O,1548695644,264538,125
O,1548695644,264525,117
O,1548695645,264500,88
O,1548695646,264421,132
O,1548695646,264384,92
O,1548695647,264409,108
O,1548695647,264432,93
O,1548695648,264365,162
O,1548695648,264355,83
O,1548695649,264324,130
O,1548695649,264238,108
O,1548695650,264295,113
O,1548695651,264361,145
O,1548695651,264255,172
O,1548695652,264222,310
O,1548695652,263747,194
O,1548695653,263972,231
O,1548695653,263890,478
O,1548695654,263580,326
O,1548695655,263831,417
O,1548695655,263994,99
O,1548695656,264002,191
O,1548695656,263895,415
O,1548695657,263988,226
O,1548695657,263999,396
O,1548695658,263911,236
O,1548695659,263905,128
O,1548695659,264061,218
O,1548695660,264154,149
O,1548695660,264205,151
O,1548695661,264221,149
O,1548695661,264163,147
O,1548695662,264146,88
O,1548695662,264230,124
O,1548695663,264238,100
O,1548695664,264222,89
O,1548695664,264207,121
O,1548695665,264203,78
O,1548695665,264176,118
O,1548695666,264188,60
O,1548695666,264254,96
O,1548695667,264308,121
O,1548695668,264364,136
O,1548695668,264371,177
O,1548695669,264365,98
P,1548695669,5120
O,1548695669,264358,114
O,1548695670,264405,133
O,1548695670,264402,128
O,1548695671,264423,90
O,1548695672,264434,99
T,1548695672,2745
P,1548695698,5129
P,1548695727,5129
P,1548695756,5129
P,1548695786,5130
P,1548695815,5128
P,1548695844,5130
P,1548695874,5129
P,1548695904,5129
P,1548695933,5128
P,1548695962,5129
P,1548695992,5129
P,1548696021,5129
P,1548696050,5129
P,1548696080,5130
P,1548696109,5130
P,1548696138,5127
P,1548696167,5130
P,1548696198,5129
P,1548696227,5129
P,1548696256,5129
P,1548696286,5129
P,1548696315,5127
P,1548696344,5129
P,1548696373,5129
P,1548696403,5130
P,1548696432,5130
P,1548696461,5129
P,1548696492,5129
P,1548696522,5130
P,1548696551,5129
P,1548696580,5129
P,1548696610,5129
P,1548696639,5130
P,1548696668,5130
P,1548696698,5130
P,1548696727,5129
P,1548696756,5129
P,1548696786,5130
P,1548696816,5130
P,1548696845,5128
P,1548696874,5130
P,1548696903,5129
P,1548696933,5131
P,1548696962,5128
P,1548696991,5129
P,1548697021,5129
P,1548697050,5129
P,1548697080,5128
P,1548697109,5130
