H,1553401435,241338
X,1553401435,638818,1552
X,1553401435,638883,1903
X,1553401436,638913,1214
X,1553401436,638823,1097
X,1553401437,639023,6627
X,1553401438,638467,5700
X,1553401438,638547,10020
X,1553401439,638709,15295
X,1553401439,638166,16978
X,1553401440,638770,24382
X,1553401440,635785,44136
X,1553401441,638696,44015
X,1553401441,637598,15310
X,1553401442,640667,42656
X,1553401443,637965,23704
X,1553401443,640264,26068
X,1553401444,636765,16865
X,1553401444,638896,49314
X,1553401445,637975,43488
X,1553401445,638594,35337
X,1553401446,638214,26221
X,1553401447,638381,8814
X,1553401447,637446,49850
X,1553401448,638502,28396
X,1553401448,637172,37291
X,1553401449,637792,57554
X,1553401449,637005,30529
X,1553401450,638155,11821
X,1553401451,638774,28821
P,1553401451,5128
X,1553401451,638777,21734
X,1553401452,638289,21840
X,1553401452,637975,22891
X,1553401453,638528,16859
X,1553401453,638677,24684
X,1553401454,638410,21903
X,1553401455,637807,12692
X,1553401455,639315,13873
X,1553401455,638126,22547
X,1553401455,639503,27285
X,1553401456,639108,18118
X,1553401456,639282,22423
X,1553401457,637751,19960
X,1553401458,639413,15187
X,1553401458,639370,17443
X,1553401459,638235,21738
X,1553401459,639191,5266
X,1553401460,638092,15846
X,1553401460,637943,15931
X,1553401461,636922,14956
X,1553401461,638609,16831
X,1553401462,638196,12961
X,1553401463,639276,64857
X,1553401463,639110,11430
X,1553401464,638551,1876
X,1553401464,638327,2656
X,1553401465,638205,12394
X,1553401465,637789,13425
X,1553401466,638290,23897
X,1553401467,638527,25932
X,1553401467,638541,5132
X,1553401468,638288,6529
X,1553401468,638962,19503
X,1553401469,638995,24926
X,1553401469,637529,27047
X,1553401470,636551,24231
X,1553401471,637827,8003
X,1553401471,637766,25422
X,1553401472,638503,13498
X,1553401472,639586,32233
X,1553401473,638306,8832
X,1553401473,638480,2103
X,1553401474,638606,1899
X,1553401475,639022,33925
X,1553401475,639911,22670
X,1553401476,639094,20405
X,1553401476,638338,7069
X,1553401477,638698,21282
X,1553401477,637905,17450
X,1553401478,638836,21791
X,1553401479,639248,17548
X,1553401479,638172,12267
X,1553401480,638975,11418
P,1553401480,5149
X,1553401480,638746,10339
X,1553401481,638198,16094
X,1553401481,638503,2698
X,1553401482,638746,5233
X,1553401482,638810,3700
X,1553401483,639007,2069
X,1553401484,638922,1062
X,1553401484,638915,893
X,1553401485,638971,1419
X,1553401485,638919,1327
X,1553401486,638588,16154
X,1553401486,636484,26858
X,1553401487,638756,39124
X,1553401488,637780,27114
X,1553401488,637723,18941
X,1553401489,636636,40367
X,1553401489,638311,23363
X,1553401490,639019,3368
X,1553401490,639918,14884
X,1553401491,638567,23714
X,1553401492,638391,17583
X,1553401492,637994,33691
X,1553401493,638332,4679
X,1553401493,638398,2960
X,1553401494,639018,4407
X,1553401494,639059,21667
X,1553401495,638894,6695
X,1553401496,639063,23606
X,1553401496,637645,14008
X,1553401496,639887,16459
X,1553401496,639043,15845
X,1553401497,640560,22703
X,1553401497,636657,39989
X,1553401498,638355,24990
X,1553401498,638909,19482
X,1553401499,639156,16584
X,1553401500,638504,24427
X,1553401500,637814,8149
X,1553401501,638864,7655
X,1553401501,638132,7442
X,1553401502,638388,13791
X,1553401502,638364,38226
X,1553401503,640433,62366
X,1553401504,640449,57638
X,1553401504,636249,49365
X,1553401505,638670,25466
X,1553401505,639906,19386
X,1553401506,638190,6475
X,1553401506,638497,4309
X,1553401507,638058,19051
X,1553401508,639190,11200
X,1553401508,638179,12220
X,1553401509,638463,14603
P,1553401509,5149
X,1553401509,638703,22626
X,1553401510,639149,16669
X,1553401510,639015,4127
X,1553401511,638863,4488
X,1553401512,639216,2177
X,1553401512,638782,7699
X,1553401513,639544,7333
X,1553401513,639226,1211
X,1553401514,639291,1446
X,1553401514,639524,2922
X,1553401515,639162,1163
X,1553401516,639047,2382
X,1553401516,639078,1313
X,1553401517,639177,2140
X,1553401517,639229,979
X,1553401518,639213,1944
X,1553401518,639120,1406
X,1553401519,639284,772
X,1553401519,639072,1161
X,1553401520,639290,1588
X,1553401521,639122,2614
X,1553401521,639241,2005
X,1553401522,639105,937
X,1553401522,639306,1278
X,1553401523,639221,1750
X,1553401523,639127,1264
X,1553401524,639195,1417
X,1553401525,639352,1797
X,1553401525,639606,2599
X,1553401526,639352,1903
X,1553401526,639350,1288
X,1553401527,639291,2220
X,1553401527,639282,1684
