H,1552678593,261985
P,1552678593,5666
P,1552678623,5665
P,1552678652,5666
P,1552678681,5666
P,1552678710,5666
P,1552678740,5666
P,1552678769,5667
P,1552678798,5666
P,1552678828,5665
P,1552678858,5665
P,1552678887,5665
P,1552678916,5666
P,1552678946,5666
P,1552678975,5665
P,1552679004,5667
D,1552679029,391936
D,1552679031,398592
D,1552679033,398592
P,1552679034,5665
D,1552679036,397312
D,1552679037,399616
D,1552679039,397568
D,1552679041,400128
D,1552679043,380672
R,1552679043,5C00DDFC90
R,1552679043,5C00DDFC90
R,1552679044,5C00DDFC90
X,1552679045,606248,8601
X,1552679046,607023,20019
X,1552679046,606542,8426
X,1552679047,605155,3823
X,1552679047,603511,4408
X,1552679048,600200,8049
X,1552679049,598783,43184
X,1552679049,604556,3897
X,1552679050,607131,14980
X,1552679050,606633,3752
X,1552679051,610409,28187
X,1552679051,605481,8864
X,1552679052,605995,2441
X,1552679053,606578,1999
X,1552679053,607627,2580
X,1552679054,606395,4287
X,1552679054,606541,3611
X,1552679055,606536,2912
X,1552679055,605892,2954
X,1552679056,604833,4459
X,1552679057,602378,7956
X,1552679057,603457,9495
X,1552679058,606658,3403
X,1552679058,607485,27688
X,1552679059,607522,21973
X,1552679059,607254,3029
X,1552679060,606459,6836
X,1552679061,606701,5735
X,1552679061,605460,4267
X,1552679062,605331,4583
X,1552679062,606505,1606
X,1552679063,606713,3628
P,1552679063,5659
X,1552679063,606664,1364
X,1552679064,605809,22972
X,1552679064,604742,4454
X,1552679065,606170,7341
X,1552679066,606045,1873
X,1552679066,606538,2814
X,1552679067,605933,3349
X,1552679067,606481,1792
X,1552679068,606102,2558
X,1552679068,606234,1768
X,1552679069,606521,3977
X,1552679070,608534,3624
X,1552679070,606060,2592
X,1552679071,606662,1633
X,1552679071,606400,34922
X,1552679072,606761,6675
X,1552679072,603256,4654
X,1552679073,604424,11052
X,1552679074,604992,4037
X,1552679074,601155,7630
X,1552679075,603027,25967
X,1552679075,601857,36263
X,1552679076,604034,12590
X,1552679076,605051,22968
X,1552679077,607180,6339
X,1552679078,607677,2595
X,1552679078,607342,3493
X,1552679078,607414,2363
X,1552679078,607306,13803
X,1552679079,607513,2129
X,1552679079,607266,1243
X,1552679080,607570,1850
X,1552679081,607191,2250
X,1552679081,606014,4098
X,1552679082,603537,41157
X,1552679082,608538,4026
X,1552679083,607576,2544
X,1552679083,608237,2598
X,1552679084,608273,1790
X,1552679085,608069,2398
X,1552679085,607191,15741
X,1552679086,606764,2637
X,1552679086,608936,11106
X,1552679087,608448,3099
X,1552679087,607904,2713
X,1552679088,607627,2266
X,1552679088,607486,2041
X,1552679089,608108,2311
X,1552679090,608164,1763
X,1552679090,608162,9464
X,1552679091,608208,5966
X,1552679091,608209,1532
X,1552679092,608208,1131
P,1552679092,5660
X,1552679092,606999,4660
X,1552679093,606716,37178
X,1552679094,604331,12997
X,1552679094,602402,9394
X,1552679095,605757,5067
X,1552679095,606425,19386
X,1552679096,605998,6528
X,1552679096,607038,1616
X,1552679097,606528,6323
X,1552679098,605645,8040
X,1552679098,604083,4888
X,1552679099,604052,1815
X,1552679099,604740,8425
X,1552679100,605496,7859
X,1552679100,608077,1994
X,1552679101,607568,9343
X,1552679102,605465,27805
X,1552679102,608319,30839
X,1552679103,606572,17564
X,1552679103,607815,23505
X,1552679104,607802,18605
X,1552679104,604360,11458
X,1552679105,603666,13502
X,1552679106,603838,11861
X,1552679106,607031,10656
X,1552679107,607097,9887
X,1552679107,606337,27460
X,1552679108,608200,3830
X,1552679108,608899,8163
X,1552679109,608478,2990
X,1552679109,608861,9500
X,1552679110,609257,15918
X,1552679111,607836,22272
X,1552679111,609145,9175
X,1552679112,608915,3030
X,1552679112,608630,15062
X,1552679113,609882,39082
X,1552679113,608835,25816
X,1552679114,610398,32444
X,1552679115,609929,14199
X,1552679115,608147,63739
X,1552679116,611010,10032
X,1552679116,610282,15307
X,1552679117,610975,1986
X,1552679117,609743,15588
X,1552679118,609986,7812
X,1552679119,609778,7196
X,1552679119,610172,2094
X,1552679119,610762,3386
X,1552679119,610680,7485
X,1552679120,610760,3772
X,1552679120,610347,4525
X,1552679121,610457,1935
P,1552679121,5657
X,1552679122,610596,1598
X,1552679122,610665,1961
X,1552679123,609622,2223
X,1552679123,609578,2165
X,1552679124,610200,1646
X,1552679124,610095,1803
X,1552679125,610328,2446
X,1552679126,609651,27988
X,1552679126,609561,16133
X,1552679127,608391,4175
X,1552679127,607618,20032
