H,1553100115,261985
D,1553100115,353024
D,1553100117,356096
D,1553100119,354816
D,1553100122,371968
D,1553100124,350720
D,1553100126,350208
P,1553100127,5469
D,1553100128,357376
D,1553100130,344064
D,1553100133,351744
D,1553100135,354816
D,1553100137,357120
D,1553100139,352768
D,1553100141,355072
D,1553100144,353536
D,1553100146,352256
D,1553100148,350976
D,1553100150,349440
D,1553100152,341504
D,1553100154,344320
D,1553100156,344576
P,1553100157,5470
D,1553100158,353536
D,1553100160,364800
D,1553100162,360960
D,1553100165,354048
D,1553100167,351232
D,1553100169,355072
D,1553100171,354560
D,1553100173,349440
D,1553100176,352512
D,1553100178,353280
D,1553100180,353024
D,1553100182,354816
D,1553100184,352512
R,1553100185,000000000
X,1553100186,542906,4033
P,1553100187,5464
X,1553100187,542218,2953
X,1553100187,542702,3502
X,1553100188,543692,3599
X,1553100189,543081,2185
X,1553100189,544840,2012
X,1553100190,544783,1667
X,1553100190,544481,4694
X,1553100191,543651,3696
X,1553100191,544284,2666
X,1553100192,543990,2703
X,1553100192,544083,3645
X,1553100193,545665,2875
X,1553100194,545137,7121
X,1553100194,546304,3765
X,1553100194,546671,33719
X,1553100194,543417,52224
X,1553100195,543323,2172
X,1553100195,543984,2547
X,1553100196,543388,2562
X,1553100197,543691,3170
X,1553100197,543632,2094
X,1553100198,543369,4595
X,1553100198,543823,2140
X,1553100199,543000,2186
X,1553100199,543709,1437
X,1553100200,543359,1291
X,1553100201,543666,1787
X,1553100201,543528,2072
X,1553100202,543259,4536
X,1553100202,541298,2411
X,1553100203,542050,5208
X,1553100203,543106,597
X,1553100204,543631,2130
X,1553100205,543848,861
X,1553100205,543978,2955
X,1553100206,543458,2944
X,1553100206,542693,2496
X,1553100207,541539,1558
X,1553100207,543490,2122
X,1553100208,543573,1504
X,1553100209,543674,4338
X,1553100209,543350,3221
X,1553100210,544102,3798
X,1553100210,543948,2216
X,1553100211,543102,1426
X,1553100211,543819,4364
X,1553100212,542707,2387
X,1553100213,543208,1887
X,1553100213,544262,7086
X,1553100214,542826,10712
X,1553100214,539004,18823
X,1553100215,541694,19583
X,1553100215,539454,29472
P,1553100216,5465
X,1553100216,538224,5812
X,1553100216,539206,8398
X,1553100217,541053,19125
X,1553100218,542431,4222
X,1553100218,542219,3631
X,1553100219,542283,3865
X,1553100219,542927,2175
X,1553100220,542799,2082
X,1553100220,542505,5695
X,1553100221,542443,4142
X,1553100222,539047,13745
X,1553100222,542503,3798
X,1553100223,544397,5059
X,1553100223,543724,3670
X,1553100224,541424,6325
X,1553100224,536283,19938
X,1553100225,540194,8228
X,1553100226,540869,23308
X,1553100226,543769,14189
X,1553100227,542602,8562
X,1553100227,543602,12051
X,1553100228,544042,3172
X,1553100228,543007,10212
X,1553100229,544123,34567
X,1553100230,538974,52284
X,1553100230,540909,4099
X,1553100231,543466,5155
X,1553100231,542507,2719
X,1553100232,543171,9202
X,1553100232,543429,1204
X,1553100233,543747,6247
X,1553100234,543344,1781
X,1553100234,542425,5588
X,1553100235,542360,4376
X,1553100235,538534,9552
X,1553100235,543201,4382
X,1553100235,545076,5513
X,1553100236,546296,28524
X,1553100236,544428,8821
X,1553100237,544550,3259
X,1553100238,544350,2842
X,1553100238,543801,3665
X,1553100239,543946,2023
X,1553100239,541728,5505
X,1553100240,542320,3554
X,1553100240,542216,6797
X,1553100241,540951,5648
X,1553100242,538559,11790
X,1553100242,539869,5563
X,1553100243,543787,2098
X,1553100243,542081,6933
X,1553100244,537091,20590
X,1553100244,539600,9330
P,1553100245,5464
X,1553100245,536345,52301
X,1553100246,535990,18125
X,1553100246,539953,12094
X,1553100247,538482,6629
X,1553100247,533709,28640
X,1553100248,535872,10996
X,1553100248,536338,11194
X,1553100249,538917,7653
X,1553100250,538361,17869
X,1553100250,537583,32709
X,1553100251,540980,24060
X,1553100251,535608,38694
X,1553100252,536663,16043
X,1553100252,534762,9749
X,1553100253,536801,11824
X,1553100254,534647,13309
X,1553100254,532266,35507
X,1553100255,542439,7725
X,1553100255,542969,15588
X,1553100256,543161,11091
X,1553100256,540882,42281
X,1553100257,536864,39478
X,1553100258,540138,33314
X,1553100258,540978,38743
X,1553100259,539972,54716
X,1553100259,536433,24016
X,1553100260,536752,7316
X,1553100260,536814,61353
X,1553100261,532090,8164
X,1553100261,530139,7541
X,1553100262,529891,5563
X,1553100263,532062,9194
X,1553100263,536998,5156
X,1553100264,538523,3745
X,1553100264,539927,2859
X,1553100265,540442,2723
