,1553367470,0
X,1553367472,668024,1347
X,1553367472,667981,965
X,1553367473,667935,1089
X,1553367474,667953,856
X,1553367474,668026,985
X,1553367475,668005,581
X,1553367475,667960,986
X,1553367476,667975,1316
X,1553367476,667982,1787
X,1553367477,667751,10814
X,1553367478,668048,2399
X,1553367478,668032,777
X,1553367479,667944,856
X,1553367479,668024,750
X,1553367480,667815,1157
X,1553367480,668022,856
X,1553367481,667828,787
X,1553367481,667973,1384
X,1553367482,667941,961
X,1553367483,667908,617
X,1553367483,667933,727
X,1553367484,667880,865
X,1553367484,667858,1176
X,1553367485,667994,821
X,1553367485,667764,1353
X,1553367486,667847,2033
X,1553367487,667894,917
X,1553367487,667862,797
X,1553367488,668403,4572
X,1553367488,667551,4103
X,1553367489,667761,785
X,1553367489,667893,1413
X,1553367490,667790,851
X,1553367491,667824,1275
X,1553367491,667823,716
A,1553367491,667928,271
T,1553367491,2861
U,1553367492,0
X,1553367493,667810,1323
X,1553367493,667844,1507
X,1553367493,667812,1476
X,1553367494,667827,792
X,1553367494,667792,848
X,1553367495,667787,1051
X,1553367495,667707,705
X,1553367496,667898,1533
X,1553367497,667796,1021
X,1553367497,667778,952
X,1553367498,667854,983
X,1553367498,667795,844
X,1553367499,667795,397
P,1553367499,5380
X,1553367499,667701,1280
X,1553367500,667747,801
X,1553367501,667923,924
X,1553367501,667957,5515
X,1553367502,667785,1524
X,1553367502,667624,1249
X,1553367503,667779,782
X,1553367503,667769,563
X,1553367504,667698,540
X,1553367505,667676,834
X,1553367505,667748,852
X,1553367506,667567,970
X,1553367506,667778,1019
X,1553367507,667529,2188
X,1553367507,667799,1598
X,1553367508,667625,983
X,1553367509,667512,743
X,1553367509,667645,929
X,1553367510,668471,6892
X,1553367510,667115,6476
X,1553367511,667540,1274
X,1553367511,667581,928
X,1553367512,667564,1015
X,1553367513,667519,1124
X,1553367513,667537,603
A,1553367513,667717,411
T,1553367513,2860
U,1553367513,0
X,1553367515,667577,974
X,1553367516,667592,842
X,1553367516,668131,12544
X,1553367517,667680,2823
X,1553367517,667428,1172
X,1553367518,667542,911
X,1553367518,667359,1039
X,1553367519,667444,1153
X,1553367520,667493,875
X,1553367520,667526,670
X,1553367521,667487,925
X,1553367521,667554,1150
X,1553367522,667425,986
X,1553367522,667481,1550
X,1553367523,667483,1128
X,1553367524,667423,576
X,1553367524,667471,1090
X,1553367525,667460,1236
X,1553367525,665441,20172
X,1553367526,668529,16199
X,1553367526,667392,2318
X,1553367527,667322,1379
X,1553367527,667442,1032
X,1553367528,667401,1195
X,1553367529,667375,979
X,1553367529,667348,854
P,1553367529,5380
X,1553367530,667351,580
X,1553367530,667326,1088
X,1553367531,667324,976
X,1553367531,667417,1048
X,1553367532,667339,576
X,1553367533,667282,755
X,1553367533,667317,941
X,1553367534,667309,722
X,1553367534,667306,465
X,1553367534,667311,521
X,1553367534,667277,857
X,1553367535,667363,833
A,1553367535,667398,315
T,1553367535,2860
U,1553367535,0
X,1553367537,667327,851
X,1553367537,667266,667
X,1553367538,667286,550
X,1553367539,667357,851
X,1553367539,667361,909
X,1553367540,667327,559
X,1553367540,667282,683
X,1553367541,667264,561
X,1553367541,667366,3120
X,1553367542,667056,3980
X,1553367543,666911,9287
X,1553367543,667559,18743
X,1553367544,669433,22386
X,1553367544,665225,34406
X,1553367545,667989,8135
X,1553367545,667421,23991
X,1553367546,666640,21920
X,1553367547,665896,36114
X,1553367547,666003,11500
X,1553367548,665427,7119
X,1553367548,665874,6092
X,1553367549,665299,9706
X,1553367549,665881,2283
X,1553367550,665791,1301
X,1553367551,665792,1838
X,1553367551,665840,1230
X,1553367552,665834,673
X,1553367552,665865,930
X,1553367553,665881,1164
X,1553367553,665966,1401
