,646037,585
X,1554061629,645989,640
X,1554061630,646159,806
X,1554061631,645846,570
X,1554061631,645927,1124
X,1554061632,645941,596
X,1554061632,646035,821
A,1554061632,646219,619
T,1554061632,2858
U,1554061633,0
X,1554061634,645523,1318
X,1554061635,645596,1043
X,1554061635,645590,897
X,1554061636,645496,888
X,1554061636,645555,813
X,1554061637,645575,897
X,1554061638,645672,729
X,1554061638,645705,940
X,1554061639,645792,810
X,1554061639,645752,839
P,1554061639,5239
X,1554061640,645448,742
X,1554061640,645387,1060
X,1554061641,645790,650
X,1554061642,645926,992
X,1554061642,646066,846
X,1554061643,645698,1026
X,1554061643,645532,695
X,1554061644,645641,900
X,1554061644,645550,898
X,1554061645,645526,1349
X,1554061646,645679,1195
X,1554061646,645760,1380
X,1554061647,645747,1241
X,1554061647,645830,2016
X,1554061648,645931,1864
X,1554061648,645922,1441
X,1554061649,645925,807
X,1554061650,645882,573
X,1554061650,645885,1043
X,1554061651,645893,897
X,1554061651,645932,1107
X,1554061652,645992,1834
X,1554061652,645909,2177
X,1554061653,646007,1822
X,1554061653,645989,1147
X,1554061654,646065,772
X,1554061655,646059,728
A,1554061655,645745,618
T,1554061655,2858
U,1554061655,0
X,1554061657,646090,1208
X,1554061657,646051,1040
X,1554061658,646128,896
X,1554061658,646213,742
X,1554061659,646064,1479
X,1554061659,646025,879
X,1554061660,645870,997
X,1554061661,646085,900
X,1554061661,646100,974
X,1554061662,646234,703
X,1554061662,646142,843
X,1554061663,645989,383
X,1554061663,646034,1199
X,1554061664,645985,680
X,1554061664,645990,714
X,1554061665,645963,1017
X,1554061666,645888,1114
X,1554061666,645868,535
X,1554061667,645857,873
X,1554061667,645817,836
X,1554061668,645824,599
X,1554061668,645804,741
X,1554061669,645800,660
P,1554061670,5250
X,1554061670,645760,965
X,1554061670,645767,1076
X,1554061671,645510,1416
X,1554061671,645569,768
X,1554061672,645732,1021
X,1554061672,645897,1011
X,1554061673,645933,461
A,1554061673,645949,665
T,1554061673,2858
U,1554061673,0
X,1554061675,645830,582
X,1554061676,645812,848
X,1554061676,645734,597
X,1554061677,645916,756
X,1554061677,645929,638
X,1554061678,645722,691
X,1554061678,645705,1087
X,1554061679,645460,1197
X,1554061679,645670,1153
X,1554061680,645739,849
X,1554061681,645697,610
X,1554061681,645722,871
X,1554061682,645680,766
X,1554061682,645617,652
X,1554061683,645607,781
X,1554061683,645599,685
X,1554061684,645618,798
X,1554061685,645675,809
X,1554061685,645584,693
X,1554061686,645677,878
X,1554061686,645877,1091
X,1554061687,645847,961
X,1554061687,645665,1056
X,1554061688,645794,977
X,1554061689,645874,865
A,1554061689,645733,345
T,1554061689,2857
U,1554061689,0
X,1554061690,645789,633
X,1554061691,645843,767
X,1554061692,645830,669
X,1554061692,645841,715
X,1554061693,645697,612
X,1554061693,645810,804
X,1554061694,645768,896
X,1554061694,645825,1275
X,1554061694,645860,830
X,1554061695,646028,773
X,1554061695,646081,646
X,1554061696,645921,798
X,1554061696,645817,819
X,1554061697,645604,870
X,1554061697,645713,762
X,1554061698,645810,959
X,1554061699,645582,717
P,1554061699,5250
X,1554061699,645606,1049
X,1554061700,645846,993
X,1554061700,645827,940
X,1554061701,645768,826
X,1554061701,645751,764
A,1554061701,645809,499
T,1554061702,2858
U,1554061702,0
X,1554061703,645736,830
X,1554061704,645756,1016
X,1554061704,645716,923
X,1554061705,645724,736
X,1554061706,645707,1347
