H,1553299719,261985
U,1553299719,0
X,1553299721,675679,878
X,1553299721,675731,1023
X,1553299722,675824,1443
X,1553299722,675761,948
X,1553299723,675766,780
X,1553299723,675755,689
X,1553299724,675691,1121
X,1553299725,675648,971
X,1553299725,675717,1293
X,1553299726,676074,2758
X,1553299726,675500,4819
X,1553299727,675640,1683
X,1553299727,675625,1101
X,1553299728,675552,3111
X,1553299729,675722,1172
X,1553299729,675729,1530
X,1553299730,675643,1067
X,1553299730,675664,997
X,1553299731,675685,1189
X,1553299731,675685,738
X,1553299732,675585,645
X,1553299733,675708,1863
X,1553299733,675639,1294
X,1553299734,675740,1139
X,1553299734,675653,1015
X,1553299735,675649,800
X,1553299735,675621,1130
P,1553299736,5389
X,1553299736,675620,760
X,1553299736,675580,1440
X,1553299737,675696,856
X,1553299738,675680,888
X,1553299738,675743,1104
X,1553299739,675716,1030
X,1553299739,675724,1040
X,1553299740,675664,836
X,1553299740,675662,1589
X,1553299741,675695,796
X,1553299742,675682,1108
X,1553299742,675715,777
X,1553299743,675657,952
X,1553299743,675758,728
X,1553299744,675690,1039
X,1553299744,675612,962
X,1553299745,675746,879
X,1553299746,675746,1627
X,1553299746,675613,1673
X,1553299747,675781,825
A,1553299747,675690,196
T,1553299747,2774
U,1553299747,0
X,1553299748,675539,1426
X,1553299748,675779,1354
X,1553299749,675745,1043
X,1553299749,675647,1183
X,1553299750,675763,1196
X,1553299751,675670,951
X,1553299751,675693,880
X,1553299752,675673,750
X,1553299752,675625,1409
X,1553299753,675769,1009
X,1553299753,675759,960
X,1553299754,675771,2492
X,1553299755,675596,1439
X,1553299755,675637,725
X,1553299756,675674,762
X,1553299756,675560,692
X,1553299757,675705,1080
X,1553299757,675615,886
X,1553299758,675683,1298
X,1553299758,675610,996
X,1553299759,675623,934
X,1553299760,675649,2347
X,1553299760,675619,717
X,1553299761,675613,1635
X,1553299761,675694,1205
X,1553299762,675664,1523
X,1553299762,675628,1020
X,1553299763,675620,933
X,1553299764,675629,753
X,1553299764,675658,725
X,1553299765,675586,1012
P,1553299765,5387
X,1553299765,675579,615
X,1553299766,675583,774
X,1553299766,675648,1759
X,1553299767,675580,1110
X,1553299768,675594,935
X,1553299768,675579,953
X,1553299769,675577,730
X,1553299769,675464,1241
X,1553299770,675569,1448
X,1553299770,675528,1146
X,1553299771,675593,584
A,1553299771,675627,199
T,1553299771,2774
U,1553299771,0
X,1553299773,675517,913
X,1553299774,675529,1975
X,1553299774,675624,2078
X,1553299775,675519,10562
X,1553299775,675543,2800
X,1553299776,675480,830
X,1553299776,675504,797
X,1553299777,675497,959
X,1553299777,675489,908
X,1553299778,675539,904
X,1553299779,675355,905
X,1553299779,675582,939
X,1553299780,675582,1461
X,1553299780,675528,1156
X,1553299781,675584,1112
X,1553299781,675553,901
X,1553299782,675567,936
X,1553299783,675488,1822
X,1553299783,675585,1853
X,1553299784,675471,875
X,1553299784,675652,1068
X,1553299785,675551,953
X,1553299785,675509,734
X,1553299786,675577,1167
X,1553299787,675457,1202
X,1553299787,675533,1622
X,1553299788,675501,1592
X,1553299788,675817,4175
X,1553299789,675524,2713
X,1553299789,675520,3632
X,1553299789,675540,2446
X,1553299790,675477,1133
X,1553299790,675582,2391
X,1553299791,675642,859
X,1553299791,675553,883
X,1553299792,675788,1847
X,1553299792,675273,1417
X,1553299793,675528,1014
X,1553299794,675490,694
X,1553299794,675482,1227
P,1553299794,5385
X,1553299795,675592,744
X,1553299795,675613,1359
X,1553299796,675577,1050
X,1553299796,675548,997
X,1553299797,675574,1045
X,1553299798,675537,938
X,1553299798,675561,628
A,1553299798,675526,287
T,1553299798,2774
U,1553299799,0
X,1553299800,675600,1155
X,1553299801,675497,875
X,1553299801,675507,820
X,1553299802,675440,6185
X,1553299802,675703,1390
X,1553299803,675473,884
X,1553299803,675515,930
X,1553299804,675495,1037
X,1553299805,675517,1709
X,1553299805,675544,1235
X,1553299806,675526,728
X,1553299806,675477,939
X,1553299807,675519,997
X,1553299807,675527,798
X,1553299808,675542,1222
X,1553299809,675547,1077
X,1553299809,675502,800
X,1553299810,675555,716
X,1553299810,675440,866
X,1553299811,675521,1532
X,1553299811,675570,1195
X,1553299812,675667,1594
X,1553299813,675532,1058
X,1553299813,675576,3615
X,1553299814,675486,1316
