H,1553562344,261985
P,1553562344,5293
P,1553562373,5293
P,1553562403,5293
P,1553562432,5293
P,1553562462,5294
P,1553562492,5293
P,1553562521,5293
P,1553562550,5294
P,1553562579,5294
P,1553562609,5294
P,1553562638,5294
D,1553562645,416000
D,1553562647,454400
D,1553562650,459008
D,1553562652,466176
D,1553562654,465152
D,1553562656,465664
D,1553562658,466944
D,1553562660,467456
D,1553562662,467456
D,1553562664,471040
D,1553562666,468480
P,1553562667,5293
D,1553562668,466688
D,1553562671,466432
D,1553562673,462592
D,1553562675,463872
D,1553562677,466688
D,1553562679,466432
D,1553562682,465920
D,1553562684,468736
D,1553562686,466176
D,1553562688,460800
D,1553562690,462848
D,1553562693,465920
D,1553562695,467712
D,1553562697,467712
P,1553562697,5292
D,1553562699,467456
D,1553562700,468480
D,1553562703,468992
D,1553562705,469248
D,1553562707,468480
D,1553562709,467968
D,1553562711,469760
D,1553562714,468480
D,1553562716,463616
D,1553562718,473344
D,1553562720,463360
R,1553562720,5C00DDFC90
X,1553562722,688377,22085
X,1553562723,693021,21688
X,1553562723,694676,8058
X,1553562724,692591,12464
X,1553562724,681930,42189
X,1553562725,677687,12243
X,1553562725,693440,22173
X,1553562726,689003,20658
P,1553562726,5285
X,1553562727,681568,9167
X,1553562727,684020,58066
X,1553562728,691392,36336
X,1553562728,678296,23696
X,1553562729,687326,16927
X,1553562729,682841,2974
X,1553562730,682603,48691
X,1553562731,698139,5960
X,1553562731,695935,9231
X,1553562732,692752,12902
X,1553562732,699335,18369
X,1553562733,695948,13080
X,1553562733,697154,13139
X,1553562734,689215,25861
X,1553562734,694642,6221
X,1553562735,698657,7751
X,1553562736,699266,4519
X,1553562736,700124,6641
X,1553562737,699198,6891
X,1553562737,700753,5045
X,1553562738,700145,8568
X,1553562738,696509,17029
X,1553562739,691294,14664
X,1553562740,691377,12600
X,1553562740,696250,6728
X,1553562740,700591,2537
X,1553562740,699273,4545
X,1553562741,698621,2824
X,1553562741,701428,2465
X,1553562742,702792,1433
X,1553562743,702720,1254
X,1553562743,702774,2958
X,1553562744,702706,9283
X,1553562744,703624,5670
X,1553562745,704268,3205
X,1553562745,703813,3106
X,1553562746,704120,3003
X,1553562747,704212,2606
X,1553562747,703687,1472
X,1553562748,703526,1981
X,1553562748,703959,1590
X,1553562749,703950,1519
X,1553562749,702943,2595
X,1553562750,702529,6631
X,1553562751,702782,11080
X,1553562751,700436,4525
X,1553562752,701861,4321
X,1553562752,702599,2588
X,1553562753,702318,3336
X,1553562753,697883,11498
X,1553562754,698156,25962
X,1553562755,702874,9005
X,1553562755,701123,9523
P,1553562756,5284
X,1553562756,699719,9237
X,1553562756,697550,9811
X,1553562757,697079,7415
X,1553562757,698382,7046
X,1553562758,703135,6439
X,1553562758,702910,5510
X,1553562759,703946,4681
X,1553562760,703883,3309
X,1553562760,703012,2617
X,1553562761,701967,2124
X,1553562761,702989,3481
X,1553562762,703880,1979
X,1553562762,704349,4370
X,1553562763,703797,2401
X,1553562764,704510,1415
X,1553562764,704192,6089
X,1553562765,703941,1623
X,1553562765,706021,6569
X,1553562766,704523,4487
X,1553562766,699207,3541
X,1553562767,699213,6558
X,1553562768,699442,4032
X,1553562768,699082,7403
X,1553562769,697368,16473
X,1553562769,693964,10602
X,1553562770,698537,5682
X,1553562770,699748,7517
X,1553562771,702499,7316
X,1553562772,704046,4056
X,1553562772,704333,5589
X,1553562773,701595,2796
X,1553562773,696958,12136
X,1553562774,694840,6514
X,1553562774,697582,8265
X,1553562775,691572,9202
X,1553562776,693750,11730
X,1553562776,692321,18247
X,1553562777,691409,14822
X,1553562777,694036,10542
X,1553562778,700080,10477
X,1553562778,697270,7442
X,1553562779,696022,7987
X,1553562780,693641,9590
X,1553562780,692948,6637
X,1553562781,691931,9029
X,1553562781,699184,9770
X,1553562781,701507,3553
X,1553562781,703808,1525
X,1553562782,702989,2654
X,1553562782,701493,4466
X,1553562783,694495,10935
X,1553562784,700608,7134
X,1553562784,699953,4951
P,1553562785,5286
X,1553562785,701764,4262
X,1553562785,700876,4027
X,1553562786,698630,7726
X,1553562786,695590,18025
X,1553562787,699978,6025
X,1553562788,701865,2128
X,1553562788,702772,3024
X,1553562789,703388,775
X,1553562789,703994,906
X,1553562790,702419,5628
X,1553562790,694215,13266
X,1553562791,695677,8728
X,1553562792,702161,4591
X,1553562792,703799,3996
X,1553562793,704744,4027
X,1553562793,700173,5437
X,1553562794,696747,4248
X,1553562794,697927,9291
X,1553562795,699249,9797
X,1553562796,697359,8429
